Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 673, average 2186, total 1471195
@q1[ksoftirqd/169]: count 64, average 2496, total 159777
@q1[kworker/169:1]: count 6, average 3551, total 21309
@q1[kworker/169:0]: count 1, average 7945, total 7945

@q2[ksoftirqd/169]: count 99, average 733, total 72592
@q2[openssl]: count 1059, average 1615, total 1710949
@q2[kworker/169:1]: count 6, average 4343, total 26059
@q2[kworker/169:0]: count 1, average 5170, total 5170


@q4[ksoftirqd/169]: count 1772, average 956, total 1694042
@q4[openssl]: count 25802, average 959, total 24768540
@q4[kworker/169:1]: count 26, average 1421, total 36970
@q4[kworker/169:0]: count 1, average 23695, total 23695

@q5[openssl]: count 200360, average 434, total 87020991
@q5[ksoftirqd/169]: count 13584, average 442, total 6017360
@q5[kworker/169:1]: count 182, average 510, total 92982
@q5[kworker/169:0]: count 5, average 5398, total 26991

@uc: count 3634, average 27985, total 101698996

@q1[openssl]: count 1318, average 2137, total 2817682
@q1[ksoftirqd/169]: count 152, average 2611, total 396957

@q2[openssl]: count 1810, average 607, total 1100351
@q2[ksoftirqd/169]: count 162, average 841, total 136258


@q4[ksoftirqd/169]: count 1445, average 951, total 1375063
@q4[openssl]: count 35831, average 956, total 34278357

@q5[ksoftirqd/169]: count 10935, average 430, total 4706439
@q5[openssl]: count 278157, average 432, total 120245017

@uc: count 2310, average 5568, total 12862961

@q1[openssl]: count 1314, average 2129, total 2798147
@q1[ksoftirqd/169]: count 169, average 2597, total 438913

@q2[openssl]: count 1796, average 609, total 1095422
@q2[ksoftirqd/169]: count 184, average 817, total 150480


@q4[openssl]: count 35884, average 956, total 34331979
@q4[ksoftirqd/169]: count 1402, average 962, total 1349761

@q5[openssl]: count 278630, average 432, total 120418449
@q5[ksoftirqd/169]: count 10518, average 433, total 4554872

@uc: count 2254, average 7874, total 17749046

@q1[openssl]: count 1322, average 2150, total 2842798
@q1[ksoftirqd/169]: count 154, average 2615, total 402836

@q2[openssl]: count 1802, average 626, total 1128913
@q2[ksoftirqd/169]: count 176, average 659, total 116140


@q4[ksoftirqd/169]: count 1292, average 953, total 1232205
@q4[openssl]: count 35990, average 961, total 34598030

@q5[ksoftirqd/169]: count 9673, average 431, total 4175739
@q5[openssl]: count 279433, average 432, total 120817815

@uc: count 2367, average 6880, total 16286210

@q1[openssl]: count 1318, average 2135, total 2814127
@q1[ksoftirqd/169]: count 139, average 2588, total 359838
@q1[kworker/169:1]: count 1, average 18064, total 18064

@q2[openssl]: count 1831, average 635, total 1163243
@q2[ksoftirqd/169]: count 152, average 686, total 104414
@q2[kworker/169:1]: count 4, average 8308, total 33233


@q4[openssl]: count 35975, average 956, total 34394436
@q4[ksoftirqd/169]: count 1231, average 965, total 1188361
@q4[kworker/169:1]: count 72, average 1487, total 107084

@q5[openssl]: count 279237, average 432, total 120646827
@q5[ksoftirqd/169]: count 9244, average 433, total 4005583
@q5[kworker/169:1]: count 561, average 479, total 268781

@uc: count 1954, average 5961, total 11649452

@q1[openssl]: count 1399, average 2168, total 3033071
@q1[ksoftirqd/169]: count 153, average 2646, total 404990

@q2[openssl]: count 1810, average 617, total 1117157
@q2[ksoftirqd/169]: count 166, average 691, total 114799


@q4[ksoftirqd/169]: count 1191, average 950, total 1131616
@q4[openssl]: count 36113, average 958, total 34596759

@q5[ksoftirqd/169]: count 8912, average 430, total 3836781
@q5[openssl]: count 280216, average 433, total 121343787

@uc: count 1992, average 5326, total 10610192

@q1[openssl]: count 1383, average 2128, total 2943947
@q1[ksoftirqd/169]: count 157, average 2611, total 409946

@q2[openssl]: count 1799, average 618, total 1112513
@q2[ksoftirqd/169]: count 164, average 661, total 108442


@q4[ksoftirqd/169]: count 1334, average 951, total 1269472
@q4[openssl]: count 35955, average 958, total 34458916

@q5[ksoftirqd/169]: count 10027, average 432, total 4332193
@q5[openssl]: count 279015, average 868, total 242252467

@uc: count 1919, average 5555, total 10661507

@q1[openssl]: count 1354, average 2147, total 2907135
@q1[ksoftirqd/169]: count 137, average 2678, total 367002

@q2[openssl]: count 1837, average 615, total 1130725
@q2[ksoftirqd/169]: count 149, average 683, total 101783


@q4[ksoftirqd/169]: count 1102, average 950, total 1047751
@q4[openssl]: count 36181, average 956, total 34596405

@q5[ksoftirqd/169]: count 8258, average 431, total 3564644
@q5[openssl]: count 280792, average 431, total 121287093

@uc: count 2410, average 6843, total 16492224

@q1[openssl]: count 1421, average 2153, total 3059553
@q1[ksoftirqd/169]: count 148, average 2729, total 403987

@q2[openssl]: count 1821, average 618, total 1126277
@q2[ksoftirqd/169]: count 158, average 682, total 107794
@q2[kworker/169:1]: count 2, average 18254, total 36508


@q4[ksoftirqd/169]: count 1228, average 958, total 1176529
@q4[kworker/169:1]: count 46, average 1718, total 79068
@q4[openssl]: count 36039, average 1915, total 69049271

@q5[ksoftirqd/169]: count 9223, average 431, total 3983727
@q5[kworker/169:1]: count 363, average 518, total 188141
@q5[openssl]: count 279562, average 866, total 242324174

@uc: count 1945, average 5932, total 11538222

@q1[openssl]: count 1329, average 2150, total 2858030
@q1[ksoftirqd/169]: count 151, average 2628, total 396856

@q2[openssl]: count 1809, average 626, total 1133982
@q2[ksoftirqd/169]: count 168, average 689, total 115821
@q2[kworker/169:1]: count 2, average 17783, total 35567


@q4[ksoftirqd/169]: count 1411, average 954, total 1346574
@q4[openssl]: count 35832, average 956, total 34266779
@q4[kworker/169:1]: count 40, average 1745, total 69831

@q5[ksoftirqd/169]: count 10653, average 431, total 4596269
@q5[openssl]: count 278116, average 431, total 120023270
@q5[kworker/169:1]: count 316, average 536, total 169437

@uc: count 1962, average 6600, total 12950001

@q1[openssl]: count 1371, average 2165, total 2969556
@q1[ksoftirqd/169]: count 142, average 2615, total 371404

@q2[openssl]: count 1827, average 609, total 1113848
@q2[ksoftirqd/169]: count 155, average 882, total 136809
@q2[kworker/169:1]: count 2, average 17528, total 35056


@q4[ksoftirqd/169]: count 1132, average 954, total 1080968
@q4[openssl]: count 36126, average 960, total 34704443
@q4[kworker/169:1]: count 23, average 2357, total 54231

@q5[ksoftirqd/169]: count 8479, average 430, total 3649771
@q5[openssl]: count 280371, average 431, total 121068659
@q5[kworker/169:1]: count 177, average 618, total 109478

@uc: count 2555, average 14003, total 35778115

@q1[openssl]: count 1313, average 2137, total 2806906
@q1[ksoftirqd/169]: count 148, average 2659, total 393600
@q1[kworker/169:1]: count 5, average 8490, total 42450

@q2[openssl]: count 1796, average 625, total 1123882
@q2[ksoftirqd/169]: count 164, average 670, total 109902
@q2[kworker/169:1]: count 8, average 4709, total 37672


@q4[openssl]: count 35850, average 958, total 34371724
@q4[ksoftirqd/169]: count 1292, average 969, total 1252089
@q4[kworker/169:1]: count 144, average 1142, total 164481

@q5[ksoftirqd/169]: count 9730, average 430, total 4189523
@q5[openssl]: count 278246, average 431, total 120013776
@q5[kworker/169:1]: count 1120, average 457, total 512241

@uc: count 2409, average 6692, total 16122581

@q1[openssl]: count 1306, average 2127, total 2777923
@q1[ksoftirqd/169]: count 152, average 2709, total 411777

@q2[openssl]: count 1817, average 611, total 1110695
@q2[ksoftirqd/169]: count 159, average 854, total 135919
@q2[kworker/169:1]: count 2, average 15859, total 31719


@q4[openssl]: count 71668, average 477, total 34225612
@q4[ksoftirqd/169]: count 1426, average 968, total 1381376
@q4[kworker/169:1]: count 40, average 1575, total 63021

@q5[ksoftirqd/169]: count 10784, average 430, total 4646277
@q5[openssl]: count 278035, average 431, total 119891335
@q5[kworker/169:1]: count 313, average 523, total 163821

@uc: count 2047, average 6058, total 12400841

@q1[openssl]: count 1311, average 2149, total 2818325
@q1[ksoftirqd/169]: count 160, average 2668, total 427019
@q1[kworker/169:1]: count 1, average 21060, total 21060

@q2[openssl]: count 1807, average 621, total 1123024
@q2[ksoftirqd/169]: count 172, average 653, total 112449
@q2[kworker/169:1]: count 2, average 19381, total 38763


@q4[openssl]: count 35807, average 957, total 34298860
@q4[ksoftirqd/169]: count 1405, average 958, total 1347327
@q4[kworker/169:1]: count 67, average 1478, total 99029

@q5[ksoftirqd/169]: count 10584, average 430, total 4561183
@q5[openssl]: count 278005, average 431, total 119907305
@q5[kworker/169:1]: count 529, average 495, total 262377

@uc: count 1963, average 6268, total 12305883

@q1[openssl]: count 1331, average 2129, total 2834334
@q1[ksoftirqd/169]: count 163, average 2737, total 446196

@q2[openssl]: count 1815, average 609, total 1106178
@q2[ksoftirqd/169]: count 167, average 660, total 110363


@q4[ksoftirqd/169]: count 1199, average 949, total 1138645
@q4[openssl]: count 36084, average 956, total 34509265

@q5[ksoftirqd/169]: count 8976, average 430, total 3862916
@q5[openssl]: count 280046, average 431, total 120899255

@uc: count 1972, average 6069, total 11968137

@q1[openssl]: count 1355, average 2123, total 2877424
@q1[ksoftirqd/169]: count 131, average 2683, total 351509

@q2[openssl]: count 1831, average 607, total 1112281
@q2[ksoftirqd/169]: count 143, average 868, total 124180


@q4[ksoftirqd/169]: count 1163, average 952, total 1107526
@q4[openssl]: count 36095, average 956, total 34537561
@q4[kworker/169:1]: count 38, average 1838, total 69881

@q5[ksoftirqd/169]: count 8761, average 431, total 3778768
@q5[openssl]: count 280101, average 431, total 120926136
@q5[kworker/169:1]: count 303, average 535, total 162287

@uc: count 2260, average 5940, total 13424516

@q1[openssl]: count 1398, average 2162, total 3023624
@q1[ksoftirqd/169]: count 163, average 2724, total 444114

@q2[openssl]: count 1802, average 616, total 1111601
@q2[ksoftirqd/169]: count 173, average 674, total 116769


@q4[ksoftirqd/169]: count 1277, average 958, total 1224431
@q4[openssl]: count 36017, average 961, total 34618028

@q5[ksoftirqd/169]: count 9584, average 431, total 4131447
@q5[openssl]: count 279476, average 432, total 120761430

@uc: count 1976, average 6750, total 13338537

@q1[openssl]: count 1363, average 2142, total 2920759
@q1[ksoftirqd/169]: count 148, average 2719, total 402480

@q2[openssl]: count 1812, average 607, total 1101473
@q2[ksoftirqd/169]: count 165, average 847, total 139758


@q4[openssl]: count 35917, average 957, total 34395254
@q4[ksoftirqd/169]: count 1378, average 977, total 1346978

@q5[ksoftirqd/169]: count 10401, average 429, total 4471781
@q5[openssl]: count 278694, average 431, total 120320994

@uc: count 1995, average 6371, total 12711619

@q1[openssl]: count 1343, average 2132, total 2863346
@q1[ksoftirqd/169]: count 159, average 2667, total 424134
@q1[kworker/169:1]: count 1, average 20118, total 20118

@q2[openssl]: count 1809, average 609, total 1102749
@q2[ksoftirqd/169]: count 166, average 843, total 139999
@q2[kworker/169:1]: count 1, average 36508, total 36508


@q4[ksoftirqd/169]: count 963, average 940, total 905910
@q4[openssl]: count 36287, average 955, total 34683932
@q4[kworker/169:1]: count 39, average 1831, total 71444

@q5[ksoftirqd/169]: count 7074, average 431, total 3050427
@q5[openssl]: count 281752, average 431, total 121560504
@q5[kworker/169:1]: count 306, average 543, total 166351

@uc: count 1980, average 6660, total 13187625

@q1[openssl]: count 1424, average 2170, total 3091023
@q1[ksoftirqd/169]: count 151, average 2814, total 425012

