Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[ksoftirqd/169]: count 3476, average 964, total 3351254
@q4[openssl]: count 39644, average 964, total 38245615

@q5[ksoftirqd/169]: count 26731, average 433, total 11589750
@q5[openssl]: count 310965, average 436, total 135636333

@uc: count 3160, average 6688, total 21136250

@q1[openssl]: count 922, average 2542, total 2344644
@q1[ksoftirqd/169]: count 204, average 2600, total 530463

@q2[openssl]: count 1537, average 648, total 997349
@q2[ksoftirqd/169]: count 289, average 681, total 196838


@q4[ksoftirqd/169]: count 3285, average 956, total 3142011
@q4[openssl]: count 39695, average 967, total 38390979
@q4[kworker/169:2]: count 2, average 17974, total 35948

@q5[ksoftirqd/169]: count 25264, average 433, total 10949818
@q5[openssl]: count 311242, average 436, total 135786472
@q5[kworker/169:2]: count 16, average 2413, total 38621

@uc: count 2797, average 8524, total 23844381

@q1[openssl]: count 864, average 2509, total 2168210
@q1[ksoftirqd/169]: count 188, average 2745, total 516116

@q2[openssl]: count 1527, average 655, total 1000805
@q2[ksoftirqd/169]: count 266, average 670, total 178306
@q2[kworker/169:2]: count 2, average 18274, total 36549


@q4[openssl]: count 39970, average 961, total 38444841
@q4[ksoftirqd/169]: count 2906, average 971, total 2821744
@q4[kworker/169:2]: count 52, average 1582, total 82273

@q5[ksoftirqd/169]: count 22327, average 433, total 9689153
@q5[openssl]: count 313564, average 435, total 136565766
@q5[kworker/169:2]: count 412, average 509, total 210116

@uc: count 2736, average 5104, total 13966008

@q1[openssl]: count 919, average 2559, total 2351944
@q1[ksoftirqd/169]: count 195, average 2703, total 527248

@q2[openssl]: count 1518, average 658, total 999081
@q2[ksoftirqd/169]: count 275, average 692, total 190376
@q2[kworker/169:2]: count 1, average 31559, total 31559


@q4[openssl]: count 39705, average 964, total 38301932
@q4[ksoftirqd/169]: count 3337, average 981, total 3275428
@q4[kworker/169:2]: count 8, average 4126, total 33011

@q5[ksoftirqd/169]: count 25731, average 433, total 11150730
@q5[openssl]: count 311408, average 435, total 135654000
@q5[kworker/169:2]: count 63, average 869, total 54752

@uc: count 3099, average 6888, total 21348030

@q1[openssl]: count 895, average 2504, total 2241716
@q1[ksoftirqd/169]: count 208, average 2604, total 541764
@q1[kworker/169:2]: count 1, average 31970, total 31970

@q2[openssl]: count 1546, average 632, total 978060
@q2[ksoftirqd/169]: count 291, average 765, total 222651
@q2[kworker/169:2]: count 1, average 35817, total 35817


@q4[openssl]: count 39557, average 964, total 38166711
@q4[ksoftirqd/169]: count 3346, average 965, total 3231743
@q4[kworker/169:2]: count 50, average 1655, total 82771

@q5[ksoftirqd/169]: count 25696, average 433, total 11139869
@q5[openssl]: count 310176, average 436, total 135252003
@q5[kworker/169:2]: count 394, average 516, total 203656

@uc: count 2781, average 5800, total 16130237

@q1[openssl]: count 876, average 2557, total 2240466
@q1[ksoftirqd/169]: count 179, average 2664, total 477029

@q2[openssl]: count 1508, average 651, total 982398
@q2[ksoftirqd/169]: count 262, average 671, total 175948


@q4[openssl]: count 39640, average 965, total 38288825
@q4[ksoftirqd/169]: count 3140, average 985, total 3095152

@q5[ksoftirqd/169]: count 24185, average 433, total 10479603
@q5[openssl]: count 310976, average 436, total 135671210

@uc: count 2296, average 6842, total 15709816

@q1[openssl]: count 868, average 2559, total 2221336
@q1[ksoftirqd/169]: count 191, average 2647, total 505600

@q2[openssl]: count 1543, average 655, total 1011669
@q2[ksoftirqd/169]: count 277, average 687, total 190521


@q4[ksoftirqd/169]: count 2886, average 962, total 2779126
@q4[openssl]: count 39993, average 964, total 38554068

@q5[ksoftirqd/169]: count 22141, average 433, total 9593847
@q5[openssl]: count 313754, average 436, total 136966534

@uc: count 2328, average 5735, total 13352047

@q1[openssl]: count 879, average 2535, total 2228775
@q1[ksoftirqd/169]: count 191, average 2668, total 509593

@q2[openssl]: count 1522, average 652, total 993467
@q2[ksoftirqd/169]: count 278, average 671, total 186734


@q4[ksoftirqd/169]: count 3094, average 955, total 2956408
@q4[openssl]: count 39815, average 964, total 38419942

@q5[ksoftirqd/169]: count 23804, average 433, total 10308640
@q5[openssl]: count 312387, average 435, total 136086353

@uc: count 2634, average 6579, total 17331286

@q1[openssl]: count 889, average 2554, total 2270630
@q1[ksoftirqd/169]: count 195, average 2746, total 535558

@q2[openssl]: count 1541, average 651, total 1004483
@q2[ksoftirqd/169]: count 270, average 666, total 179859


@q4[ksoftirqd/169]: count 3070, average 963, total 2956451
@q4[openssl]: count 39880, average 964, total 38445946

@q5[ksoftirqd/169]: count 23655, average 433, total 10261361
@q5[openssl]: count 312801, average 435, total 136315372

@uc: count 2685, average 5462, total 14666933

@q1[openssl]: count 852, average 2537, total 2161972
@q1[ksoftirqd/169]: count 193, average 2636, total 508931

@q2[openssl]: count 1514, average 656, total 994325
@q2[ksoftirqd/169]: count 268, average 663, total 177947


@q4[openssl]: count 39674, average 962, total 38191907
@q4[ksoftirqd/169]: count 3058, average 966, total 2956030

@q5[ksoftirqd/169]: count 23515, average 433, total 10186044
@q5[openssl]: count 311272, average 435, total 135680852

@uc: count 2925, average 4944, total 14463228

@q1[openssl]: count 907, average 2549, total 2311987
@q1[ksoftirqd/169]: count 179, average 2702, total 483822
@q1[kworker/169:2]: count 1, average 19397, total 19397

@q2[openssl]: count 1561, average 652, total 1018352
@q2[ksoftirqd/169]: count 250, average 682, total 170720
@q2[kworker/169:2]: count 1, average 37601, total 37601


@q4[openssl]: count 79640, average 482, total 38443149
@q4[ksoftirqd/169]: count 3050, average 973, total 2969875
@q4[kworker/169:2]: count 1, average 34936, total 34936

@q5[ksoftirqd/169]: count 23514, average 432, total 10174276
@q5[openssl]: count 313411, average 435, total 136606592
@q5[kworker/169:2]: count 7, average 4887, total 34212

@uc: count 2603, average 5268, total 13712869

@q1[openssl]: count 902, average 2550, total 2300316
@q1[ksoftirqd/169]: count 185, average 2593, total 479810

@q2[openssl]: count 1520, average 650, total 989046
@q2[ksoftirqd/169]: count 277, average 663, total 183684
@q2[kworker/169:2]: count 1, average 34615, total 34615


@q4[ksoftirqd/169]: count 3180, average 959, total 3052049
@q4[openssl]: count 39722, average 964, total 38303082
@q4[kworker/169:2]: count 10, average 4236, total 42361

@q5[ksoftirqd/169]: count 24465, average 433, total 10599540
@q5[openssl]: count 311525, average 435, total 135696948
@q5[kworker/169:2]: count 78, average 822, total 64135

@uc: count 2826, average 12378, total 34980322

@q1[openssl]: count 918, average 2557, total 2348153
@q1[ksoftirqd/169]: count 171, average 2596, total 443933
@q1[kworker/169:2]: count 1, average 20158, total 20158

@q2[openssl]: count 1547, average 637, total 985599
@q2[ksoftirqd/169]: count 278, average 775, total 215687
@q2[kworker/169:2]: count 2, average 18374, total 36749


@q4[openssl]: count 39606, average 961, total 38064664
@q4[ksoftirqd/169]: count 3185, average 967, total 3082282
@q4[kworker/169:2]: count 49, average 1279, total 62678

@q5[ksoftirqd/169]: count 24517, average 432, total 10611392
@q5[openssl]: count 310589, average 435, total 135324159
@q5[kworker/169:2]: count 386, average 481, total 186042

@uc: count 3112, average 10689, total 33267061

@q1[openssl]: count 862, average 2538, total 2187836
@q1[ksoftirqd/169]: count 178, average 2712, total 482898
@q1[kworker/169:2]: count 2, average 11181, total 22363

@q2[openssl]: count 1497, average 651, total 975018
@q2[ksoftirqd/169]: count 272, average 671, total 182594
@q2[kworker/169:2]: count 2, average 18284, total 36569


@q4[openssl]: count 39232, average 965, total 37859966
@q4[ksoftirqd/169]: count 3215, average 984, total 3165306
@q4[kworker/169:2]: count 48, average 1693, total 81270

@q5[ksoftirqd/169]: count 24786, average 434, total 10757506
@q5[openssl]: count 307753, average 444, total 136948977
@q5[kworker/169:2]: count 378, average 523, total 197791

@uc: count 2646, average 7481, total 19796666

@q1[openssl]: count 886, average 2529, total 2241458
@q1[ksoftirqd/169]: count 184, average 2602, total 478856

@q2[openssl]: count 1554, average 648, total 1007896
@q2[ksoftirqd/169]: count 266, average 660, total 175748


@q4[ksoftirqd/169]: count 2813, average 957, total 2693347
@q4[openssl]: count 40053, average 964, total 38619053

@q5[ksoftirqd/169]: count 21575, average 433, total 9348888
@q5[openssl]: count 314076, average 435, total 136718343

@uc: count 2413, average 6098, total 14714548

@q1[openssl]: count 857, average 2530, total 2168399
@q1[ksoftirqd/169]: count 171, average 2663, total 455472

@q2[openssl]: count 1548, average 652, total 1009882
@q2[ksoftirqd/169]: count 269, average 670, total 180335


@q4[ksoftirqd/169]: count 2800, average 965, total 2702033
@q4[openssl]: count 39794, average 966, total 38448770

@q5[ksoftirqd/169]: count 21493, average 434, total 9341699
@q5[openssl]: count 312147, average 435, total 135961472

@uc: count 2614, average 6301, total 16472111

@q1[openssl]: count 867, average 2581, total 2237810
@q1[ksoftirqd/169]: count 153, average 2599, total 397734
@q1[kworker/169:2]: count 1, average 16471, total 16471

@q2[openssl]: count 1529, average 654, total 1000765
@q2[ksoftirqd/169]: count 255, average 680, total 173433
@q2[kworker/169:2]: count 1, average 32942, total 32942


@q4[openssl]: count 39354, average 965, total 37981063
@q4[ksoftirqd/169]: count 3146, average 986, total 3102590
@q4[kworker/169:2]: count 2, average 14116, total 28233

@q5[ksoftirqd/169]: count 24321, average 433, total 10551194
@q5[openssl]: count 308644, average 436, total 134611881
@q5[kworker/169:2]: count 15, average 2315, total 34735

@uc: count 2422, average 6907, total 16730478

@q1[openssl]: count 848, average 2515, total 2133364
@q1[ksoftirqd/169]: count 171, average 2685, total 459292

@q2[openssl]: count 1523, average 651, total 992130
@q2[ksoftirqd/169]: count 265, average 668, total 177032


@q4[ksoftirqd/169]: count 2867, average 963, total 2762615
@q4[openssl]: count 39568, average 965, total 38217393

@q5[ksoftirqd/169]: count 22051, average 433, total 9557041
@q5[openssl]: count 310364, average 435, total 135302477

@uc: count 2255, average 13807, total 31135686

@q1[openssl]: count 866, average 2525, total 2187319
@q1[ksoftirqd/169]: count 172, average 2660, total 457560

@q2[openssl]: count 1523, average 655, total 998755
@q2[ksoftirqd/169]: count 268, average 663, total 177791


@q4[openssl]: count 39536, average 963, total 38094745
@q4[ksoftirqd/169]: count 3054, average 971, total 2966874
@q4[kworker/169:2]: count 1, average 32641, total 32641

@q5[ksoftirqd/169]: count 23518, average 433, total 10186992
@q5[openssl]: count 310099, average 435, total 135099818
@q5[kworker/169:2]: count 8, average 4164, total 33312

@uc: count 2359, average 6297, total 14854655

@q1[openssl]: count 840, average 2488, total 2090050
@q1[ksoftirqd/169]: count 146, average 2714, total 396384
@q1[kworker/169:2]: count 1, average 16080, total 16080

@q2[openssl]: count 1543, average 651, total 1004529
@q2[ksoftirqd/169]: count 245, average 677, total 166099
@q2[kworker/169:2]: count 1, average 33923, total 33923


@q4[openssl]: count 39255, average 964, total 37842170
@q4[ksoftirqd/169]: count 2675, average 974, total 2606053
@q4[kworker/169:2]: count 1, average 47369, total 47369

@q5[ksoftirqd/169]: count 20576, average 433, total 8928825
@q5[openssl]: count 307748, average 436, total 134237111
@q5[kworker/169:2]: count 4, average 7684, total 30738

@uc: count 2656, average 6258, total 16622974

@q1[openssl]: count 842, average 2470, total 2080561
@q1[ksoftirqd/169]: count 152, average 2668, total 405614

@q2[openssl]: count 1532, average 649, total 995340
@q2[ksoftirqd/169]: count 254, average 683, total 173676


@q4[ksoftirqd/169]: count 2780, average 960, total 2671304
@q4[openssl]: count 39286, average 961, total 37766187

@q5[ksoftirqd/169]: count 21396, average 434, total 9290141
@q5[openssl]: count 307923, average 436, total 134306887

@uc: count 2281, average 6771, total 15446824

@q1[openssl]: count 820, average 2447, total 2006644
@q1[ksoftirqd/169]: count 142, average 2647, total 375929

@q2[openssl]: count 1507, average 651, total 981923
@q2[ksoftirqd/169]: count 239, average 671, total 160530


@q4[ksoftirqd/169]: count 2749, average 965, total 2655213
@q4[openssl]: count 39114, average 966, total 37805414

@q5[ksoftirqd/169]: count 21172, average 434, total 9199493
@q5[openssl]: count 306641, average 436, total 133859130

@uc: count 2193, average 6295, total 13806805

@q1[openssl]: count 836, average 2459, total 2056552
@q1[ksoftirqd/169]: count 155, average 2637, total 408871

@q2[openssl]: count 1535, average 650, total 998392
@q2[ksoftirqd/169]: count 259, average 668, total 173189


@q4[openssl]: count 39166, average 963, total 37736301
@q4[ksoftirqd/169]: count 2812, average 973, total 2737932

@q5[ksoftirqd/169]: count 21630, average 433, total 9372441
@q5[openssl]: count 307062, average 436, total 133928170

@uc: count 2667, average 11025, total 29404796

@q1[openssl]: count 913, average 2561, total 2338597
@q1[ksoftirqd/169]: count 171, average 2625, total 448887

@q2[openssl]: count 1538, average 650, total 1000046
@q2[ksoftirqd/169]: count 273, average 666, total 182064


@q4[openssl]: count 39268, average 965, total 37905371
@q4[ksoftirqd/169]: count 3200, average 977, total 3126504

@q5[ksoftirqd/169]: count 24654, average 434, total 10715014
@q5[openssl]: count 307758, average 436, total 134324821

@uc: count 3056, average 8147, total 24898289

@q1[openssl]: count 867, average 2516, total 2181810
@q1[ksoftirqd/169]: count 171, average 2828, total 483731
@q1[kworker/169:2]: count 1, average 9959, total 9959

@q2[openssl]: count 1545, average 652, total 1007389
@q2[ksoftirqd/169]: count 260, average 672, total 174772
@q2[kworker/169:2]: count 3, average 8105, total 24316


@q4[openssl]: count 39530, average 964, total 38125669
@q4[ksoftirqd/169]: count 3044, average 980, total 2984053
@q4[kworker/169:2]: count 46, average 1262, total 58072

@q5[ksoftirqd/169]: count 23491, average 433, total 10187405
@q5[openssl]: count 310030, average 436, total 135192810
@q5[kworker/169:2]: count 360, average 477, total 171889

@uc: count 2662, average 7005, total 18648192

@q1[openssl]: count 874, average 2527, total 2209018
@q1[ksoftirqd/169]: count 177, average 2664, total 471534

@q2[openssl]: count 1560, average 650, total 1014892
@q2[ksoftirqd/169]: count 257, average 665, total 171005


@q4[openssl]: count 39867, average 964, total 38464677
@q4[ksoftirqd/169]: count 2867, average 967, total 2773528

@q5[ksoftirqd/169]: count 22055, average 433, total 9553553
@q5[openssl]: count 312601, average 436, total 136395995

@uc: count 2273, average 5613, total 12759750

@q1[openssl]: count 907, average 2598, total 2356625
@q1[ksoftirqd/169]: count 187, average 2736, total 511663
@q1[kworker/169:2]: count 1, average 18655, total 18655

@q2[openssl]: count 1552, average 652, total 1013407
@q2[ksoftirqd/169]: count 268, average 668, total 179086
@q2[kworker/169:2]: count 1, average 35808, total 35808


@q4[openssl]: count 40082, average 964, total 38646651
@q4[ksoftirqd/169]: count 2955, average 966, total 2854890
@q4[kworker/169:2]: count 1, average 34856, total 34856

@q5[ksoftirqd/169]: count 22726, average 433, total 9858476
@q5[openssl]: count 314408, average 436, total 137269964
@q5[kworker/169:2]: count 3, average 11151, total 33453

@uc: count 2293, average 5665, total 12991230

@q1[openssl]: count 868, average 2525, total 2192238
@q1[ksoftirqd/169]: count 190, average 2708, total 514578

@q2[openssl]: count 1513, average 647, total 980373
@q2[ksoftirqd/169]: count 286, average 678, total 194023


@q4[openssl]: count 39604, average 966, total 38271299
@q4[ksoftirqd/169]: count 3163, average 977, total 3091229

@q5[ksoftirqd/169]: count 24311, average 435, total 10588584
@q5[openssl]: count 310625, average 436, total 135517989

@uc: count 2615, average 6454, total 16878748

@q1[openssl]: count 873, average 2549, total 2226085
@q1[ksoftirqd/169]: count 178, average 2621, total 466587

@q2[openssl]: count 1549, average 659, total 1020938
@q2[ksoftirqd/169]: count 277, average 678, total 187829


@q4[ksoftirqd/169]: count 2879, average 956, total 2755059
@q4[openssl]: count 39973, average 964, total 38552550
@q4[kworker/169:2]: count 1, average 34335, total 34335

@q5[ksoftirqd/169]: count 22101, average 432, total 9569106
@q5[openssl]: count 313544, average 435, total 136614443
@q5[kworker/169:2]: count 8, average 4504, total 36036

@uc: count 2800, average 5133, total 14373308

@q1[openssl]: count 898, average 2556, total 2295314
@q1[ksoftirqd/169]: count 167, average 2663, total 444767
@q1[kworker/169:2]: count 1, average 20759, total 20759

@q2[openssl]: count 1574, average 656, total 1032714
@q2[ksoftirqd/169]: count 251, average 676, total 169761
@q2[kworker/169:2]: count 1, average 36899, total 36899


@q4[openssl]: count 39938, average 963, total 38487061
@q4[ksoftirqd/169]: count 2902, average 978, total 2839310
@q4[kworker/169:2]: count 9, average 4962, total 44665

@q5[ksoftirqd/169]: count 22363, average 433, total 9703774
@q5[openssl]: count 313204, average 436, total 136629467
@q5[kworker/169:2]: count 71, average 896, total 63682

@uc: count 2213, average 6900, total 15271386

@q1[openssl]: count 910, average 2527, total 2300452
@q1[ksoftirqd/169]: count 183, average 2758, total 504823
@q1[kworker/169:2]: count 1, average 21220, total 21220

@q2[openssl]: count 1529, average 638, total 976533
@q2[ksoftirqd/169]: count 271, average 666, total 180677
@q2[kworker/169:2]: count 1, average 37250, total 37250


@q4[openssl]: count 40279, average 963, total 38828808
@q4[ksoftirqd/169]: count 2742, average 971, total 2664002
@q4[kworker/169:2]: count 1, average 36839, total 36839

@q5[ksoftirqd/169]: count 21025, average 432, total 9097485
@q5[openssl]: count 315917, average 435, total 137721620
@q5[kworker/169:2]: count 7, average 5112, total 35787

@uc: count 2274, average 5671, total 12896321

@q1[openssl]: count 887, average 2542, total 2254760
@q1[ksoftirqd/169]: count 183, average 2627, total 480807

@q2[openssl]: count 1543, average 647, total 999017
@q2[ksoftirqd/169]: count 282, average 683, total 192833
@q2[kworker/169:2]: count 2, average 18254, total 36509


@q4[ksoftirqd/169]: count 2843, average 951, total 2706271
@q4[openssl]: count 39915, average 964, total 38503611
@q4[kworker/169:2]: count 52, average 1645, total 85581

@q5[ksoftirqd/169]: count 21793, average 433, total 9448444
@q5[openssl]: count 313066, average 435, total 136464045
@q5[kworker/169:2]: count 409, average 515, total 211031

@uc: count 2524, average 6271, total 15829995

@q1[openssl]: count 900, average 2561, total 2305063
@q1[ksoftirqd/169]: count 168, average 2612, total 438911

@q2[openssl]: count 1556, average 654, total 1018674
@q2[ksoftirqd/169]: count 249, average 671, total 167106


@q4[ksoftirqd/169]: count 2519, average 960, total 2418722
@q4[openssl]: count 40327, average 962, total 38810678

@q5[ksoftirqd/169]: count 19309, average 433, total 8376331
@q5[openssl]: count 316329, average 435, total 137801387

@uc: count 2466, average 6484, total 15991593

@q1[openssl]: count 943, average 2570, total 2424065
@q1[ksoftirqd/169]: count 165, average 2621, total 432564

@q2[openssl]: count 1573, average 654, total 1029879
@q2[ksoftirqd/169]: count 243, average 667, total 162206


@q4[openssl]: count 40208, average 963, total 38757902
@q4[ksoftirqd/169]: count 2603, average 977, total 2544209
@q4[kworker/169:2]: count 1, average 34494, total 34494

@q5[ksoftirqd/169]: count 20006, average 433, total 8668324
@q5[openssl]: count 315264, average 436, total 137459991
@q5[kworker/169:2]: count 8, average 4464, total 35718

@uc: count 2973, average 13401, total 39843499

@q1[openssl]: count 968, average 2586, total 2504178
@q1[ksoftirqd/169]: count 178, average 2783, total 495382

@q2[openssl]: count 1587, average 653, total 1036873
@q2[ksoftirqd/169]: count 262, average 666, total 174509


@q4[ksoftirqd/169]: count 2706, average 961, total 2602076
