Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 635, average 2673, total 1697986
@q1[ksoftirqd/169]: count 66, average 2722, total 179676
@q1[kworker/169:2]: count 5, average 5003, total 25018

@q2[openssl]: count 1032, average 1903, total 1964785
@q2[kworker/169:2]: count 5, average 12379, total 61895
@q2[ksoftirqd/169]: count 125, average 64600, total 8075077


@q4[openssl]: count 28796, average 960, total 27660148
@q4[ksoftirqd/169]: count 3664, average 961, total 3522868
@q4[kworker/169:2]: count 21, average 1883, total 39556

@q5[ksoftirqd/169]: count 28635, average 432, total 12371392
@q5[openssl]: count 225501, average 436, total 98339052
@q5[kworker/169:2]: count 157, average 579, total 90998

@uc: count 3961, average 21655, total 85777197

@q1[openssl]: count 1219, average 2539, total 3095300
@q1[ksoftirqd/169]: count 142, average 2764, total 392602

@q2[openssl]: count 1742, average 638, total 1112005
@q2[ksoftirqd/169]: count 194, average 665, total 129159


@q4[openssl]: count 41685, average 958, total 39958201
@q4[ksoftirqd/169]: count 2179, average 971, total 2116985

@q5[ksoftirqd/169]: count 16776, average 428, total 7195421
@q5[openssl]: count 326246, average 434, total 141840577

@uc: count 2197, average 5400, total 11865694

@q1[openssl]: count 1278, average 2574, total 3290383
@q1[ksoftirqd/169]: count 157, average 2744, total 430813

@q2[openssl]: count 1714, average 621, total 1065639
@q2[ksoftirqd/169]: count 214, average 801, total 171536


@q4[ksoftirqd/169]: count 2213, average 950, total 2103293
@q4[openssl]: count 42048, average 957, total 40251086

@q5[ksoftirqd/169]: count 16977, average 429, total 7287509
@q5[openssl]: count 329202, average 434, total 143042904

@uc: count 1962, average 5637, total 11060310

@q1[openssl]: count 1250, average 2549, total 3186278
@q1[ksoftirqd/169]: count 141, average 2801, total 395019

@q2[openssl]: count 1719, average 625, total 1075471
@q2[ksoftirqd/169]: count 201, average 817, total 164295


@q4[openssl]: count 41763, average 963, total 40224632
@q4[ksoftirqd/169]: count 2215, average 989, total 2191532

@q5[ksoftirqd/169]: count 17064, average 432, total 7379036
@q5[openssl]: count 326883, average 435, total 142241282

@uc: count 2431, average 6922, total 16827850

@q1[openssl]: count 1212, average 2637, total 3196126
@q1[ksoftirqd/169]: count 144, average 2715, total 391050

@q2[openssl]: count 1675, average 646, total 1082683
@q2[ksoftirqd/169]: count 210, average 659, total 138566


@q4[openssl]: count 41819, average 962, total 40268874
@q4[ksoftirqd/169]: count 2356, average 963, total 2270580

@q5[ksoftirqd/169]: count 18144, average 429, total 7790860
@q5[openssl]: count 327627, average 434, total 142501766

@uc: count 1949, average 5456, total 10633772

@q1[openssl]: count 1090, average 2611, total 2846777
@q1[ksoftirqd/169]: count 139, average 2728, total 379271

@q2[openssl]: count 1592, average 652, total 1039034
@q2[ksoftirqd/169]: count 215, average 684, total 147093


@q4[openssl]: count 42265, average 962, total 40687989
@q4[ksoftirqd/169]: count 2548, average 973, total 2479455

@q5[ksoftirqd/169]: count 19670, average 429, total 8444006
@q5[openssl]: count 331487, average 434, total 144128844

@uc: count 2278, average 4696, total 10698241

@q1[openssl]: count 1098, average 2644, total 2903651
@q1[ksoftirqd/169]: count 135, average 2704, total 365099
@q1[kworker/169:2]: count 1, average 20879, total 20879

@q2[openssl]: count 1721, average 656, total 1130395
@q2[ksoftirqd/169]: count 221, average 666, total 147249
@q2[kworker/169:2]: count 3, average 13021, total 39064


@q4[openssl]: count 42439, average 962, total 40838619
@q4[ksoftirqd/169]: count 2496, average 980, total 2447570
@q4[kworker/169:2]: count 58, average 1590, total 92244

@q5[ksoftirqd/169]: count 19238, average 432, total 8311019
@q5[openssl]: count 332805, average 434, total 144665702
@q5[kworker/169:2]: count 457, average 505, total 231137

@uc: count 2015, average 4908, total 9891035

@q1[openssl]: count 1030, average 2591, total 2669574
@q1[ksoftirqd/169]: count 139, average 2621, total 364449

@q2[openssl]: count 1577, average 628, total 990537
@q2[ksoftirqd/169]: count 222, average 797, total 177078


@q4[openssl]: count 42259, average 959, total 40561768
@q4[ksoftirqd/169]: count 2656, average 960, total 2549813

@q5[ksoftirqd/169]: count 20509, average 429, total 8806367
@q5[openssl]: count 331494, average 434, total 144151762

@uc: count 2429, average 6111, total 14845928

@q1[openssl]: count 52, average 3131, total 162862
@q1[ksoftirqd/169]: count 4, average 4338, total 17353

@q2[openssl]: count 78, average 702, total 54804
@q2[ksoftirqd/169]: count 8, average 5202, total 41616


@q4[openssl]: count 2029, average 973, total 1975221
@q4[ksoftirqd/169]: count 20952, average 1242, total 26038584

@q5[ksoftirqd/169]: count 166639, average 430, total 71666696
@q5[openssl]: count 15928, average 438, total 6976988

@uc: count 7755, average 10495, total 81395605




@q4[ksoftirqd/169]: count 21123, average 1251, total 26426873

@q5[ksoftirqd/169]: count 168051, average 429, total 72211833

