Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 515, average 2670, total 1375163
@q1[ksoftirqd/169]: count 72, average 2797, total 201448
@q1[kworker/169:2]: count 1, average 17252, total 17252

@q2[openssl]: count 959, average 2066, total 1981355
@q2[kworker/169:2]: count 2, average 16997, total 33994
@q2[ksoftirqd/169]: count 170, average 85293, total 14499964


@q4[openssl]: count 27861, average 969, total 27004831
@q4[ksoftirqd/169]: count 4255, average 973, total 4142136
@q4[kworker/169:2]: count 14, average 2509, total 35135
@q4[kworker/169:0]: count 17, average 2535, total 43110
@q4[kworker/169:1]: count 8, average 4707, total 37659

@q5[openssl]: count 218412, average 433, total 94572817
@q5[ksoftirqd/169]: count 33191, average 434, total 14411610
@q5[kworker/169:0]: count 134, average 611, total 81995
@q5[kworker/169:2]: count 108, average 671, total 72478
@q5[kworker/169:1]: count 64, average 968, total 62003

@uc: count 4528, average 29782, total 134856116

@q1[openssl]: count 886, average 2534, total 2246004
@q1[ksoftirqd/169]: count 180, average 2542, total 457628

@q2[openssl]: count 1511, average 657, total 992808
@q2[ksoftirqd/169]: count 282, average 663, total 187169


@q4[openssl]: count 39760, average 959, total 38134048
@q4[ksoftirqd/169]: count 3223, average 964, total 3109172

@q5[openssl]: count 311869, average 431, total 134432166
@q5[ksoftirqd/169]: count 24782, average 433, total 10742041

@uc: count 2043, average 6292, total 12855327

@q1[openssl]: count 896, average 2528, total 2265679
@q1[ksoftirqd/169]: count 195, average 2701, total 526856

@q2[openssl]: count 1536, average 659, total 1013601
@q2[ksoftirqd/169]: count 278, average 677, total 188430


@q4[openssl]: count 40342, average 959, total 38715811
@q4[ksoftirqd/169]: count 2959, average 965, total 2858029

@q5[openssl]: count 316518, average 431, total 136555130
@q5[ksoftirqd/169]: count 22741, average 433, total 9867036

@uc: count 1976, average 6964, total 13761630

@q1[ksoftirqd/169]: count 183, average 2497, total 457022
@q1[openssl]: count 839, average 2518, total 2113138
@q1[kworker/169:2]: count 1, average 18875, total 18875

@q2[openssl]: count 1526, average 669, total 1021602
@q2[ksoftirqd/169]: count 281, average 679, total 190848
@q2[kworker/169:2]: count 3, average 12086, total 36259


@q4[openssl]: count 39897, average 959, total 38274893
@q4[ksoftirqd/169]: count 3004, average 960, total 2885721
@q4[kworker/169:2]: count 91, average 1352, total 123049

@q5[openssl]: count 313075, average 431, total 134966781
@q5[ksoftirqd/169]: count 23038, average 433, total 9978163
@q5[kworker/169:2]: count 719, average 476, total 342673

@uc: count 1942, average 5897, total 11453493

@q1[openssl]: count 876, average 2480, total 2173324
@q1[ksoftirqd/169]: count 176, average 2560, total 450715
@q1[kworker/169:2]: count 1, average 18174, total 18174

@q2[openssl]: count 1562, average 657, total 1027129
@q2[ksoftirqd/169]: count 261, average 693, total 180878
@q2[kworker/169:2]: count 1, average 35347, total 35347


@q4[openssl]: count 40119, average 960, total 38515098
@q4[ksoftirqd/169]: count 2867, average 962, total 2760393
@q4[kworker/169:2]: count 1, average 34455, total 34455

@q5[openssl]: count 314637, average 431, total 135711491
@q5[ksoftirqd/169]: count 22041, average 434, total 9582249
@q5[kworker/169:2]: count 1, average 31740, total 31740

@uc: count 2468, average 7435, total 18350259

@q1[openssl]: count 958, average 2605, total 2496256
@q1[ksoftirqd/169]: count 185, average 2724, total 504027

@q2[openssl]: count 1554, average 657, total 1021752
@q2[ksoftirqd/169]: count 265, average 672, total 178212


@q4[openssl]: count 40633, average 959, total 38987550
@q4[ksoftirqd/169]: count 2973, average 979, total 2912336
@q4[kworker/169:2]: count 1, average 25147, total 25147

@q5[openssl]: count 318774, average 431, total 137440716
@q5[ksoftirqd/169]: count 22874, average 433, total 9909189
@q5[kworker/169:2]: count 8, average 3943, total 31548

@uc: count 1966, average 6389, total 12561548

@q1[ksoftirqd/169]: count 184, average 2509, total 461687
@q1[openssl]: count 942, average 2578, total 2429148

@q2[openssl]: count 1583, average 662, total 1048535
@q2[ksoftirqd/169]: count 258, average 663, total 171145


@q4[ksoftirqd/169]: count 2790, average 958, total 2675014
@q4[openssl]: count 40675, average 960, total 39054757

@q5[openssl]: count 319111, average 431, total 137609842
@q5[ksoftirqd/169]: count 21385, average 432, total 9249342

@uc: count 1931, average 5413, total 10454183

@q1[openssl]: count 943, average 2540, total 2395398
@q1[ksoftirqd/169]: count 228, average 2599, total 592697

@q2[ksoftirqd/169]: count 307, average 659, total 202470
@q2[openssl]: count 1531, average 660, total 1011733


@q4[openssl]: count 40230, average 956, total 38496776
@q4[ksoftirqd/169]: count 3605, average 973, total 3509499

@q5[openssl]: count 315574, average 431, total 136111018
@q5[ksoftirqd/169]: count 27712, average 432, total 11997772

@uc: count 2021, average 5730, total 11581031

@q1[openssl]: count 864, average 2510, total 2168641
@q1[ksoftirqd/169]: count 195, average 2531, total 493683

@q2[openssl]: count 1556, average 665, total 1035325
@q2[ksoftirqd/169]: count 272, average 690, total 187680


@q4[openssl]: count 40308, average 959, total 38677449
@q4[ksoftirqd/169]: count 2939, average 960, total 2822073

@q5[ksoftirqd/169]: count 22528, average 432, total 9747367
@q5[openssl]: count 316207, average 432, total 136610294

@uc: count 2430, average 6139, total 14919212

@q1[openssl]: count 885, average 2538, total 2246513
@q1[ksoftirqd/169]: count 200, average 2629, total 525802
@q1[kworker/169:2]: count 1, average 20539, total 20539

@q2[ksoftirqd/169]: count 290, average 662, total 192087
@q2[openssl]: count 1527, average 662, total 1012140
