Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 158, average 1525, total 241041
@q1[ksoftirqd/169]: count 9, average 1748, total 15740

@q2[ksoftirqd/169]: count 36, average 732, total 26378
@q2[openssl]: count 371, average 51032, total 18933189


@q4[openssl]: count 11211, average 969, total 10869150
@q4[ksoftirqd/169]: count 180, average 1087, total 195835

@q5[openssl]: count 86730, average 432, total 37492818
@q5[ksoftirqd/169]: count 1200, average 458, total 550600

@uc: count 2159, average 29848, total 64442198

@q1[openssl]: count 335, average 1370, total 459250
@q1[ksoftirqd/169]: count 17, average 1575, total 26780
@q1[kworker/169:2]: count 2, average 5395, total 10790

@q2[openssl]: count 504, average 607, total 306014
@q2[ksoftirqd/169]: count 79, average 660, total 52154
@q2[kworker/169:2]: count 3, average 7748, total 23244


@q4[ksoftirqd/169]: count 230, average 889, total 204631
@q4[openssl]: count 15130, average 970, total 14682461
@q4[kworker/169:2]: count 13, average 2081, total 27060

@q5[openssl]: count 117565, average 431, total 50736669
@q5[ksoftirqd/169]: count 1394, average 434, total 606298
@q5[kworker/169:2]: count 85, average 657, total 55907

@uc: count 2174, average 6434, total 13987569

@q1[openssl]: count 339, average 1395, total 473163
@q1[ksoftirqd/169]: count 18, average 1745, total 31419

@q2[openssl]: count 542, average 600, total 325738
@q2[ksoftirqd/169]: count 70, average 642, total 44956


@q4[ksoftirqd/169]: count 198, average 893, total 176834
@q4[openssl]: count 15201, average 968, total 14722564

@q5[openssl]: count 117821, average 431, total 50874319
@q5[ksoftirqd/169]: count 1200, average 440, total 529124

@uc: count 2649, average 6542, total 17331206

@q1[openssl]: count 343, average 1466, total 502945
@q1[ksoftirqd/169]: count 13, average 1508, total 19611

@q2[openssl]: count 483, average 614, total 296990
@q2[ksoftirqd/169]: count 51, average 693, total 35355


@q4[ksoftirqd/169]: count 142, average 908, total 129022
@q4[openssl]: count 15174, average 966, total 14672363
@q4[kworker/169:2]: count 22, average 2463, total 54192

@q5[openssl]: count 117983, average 430, total 50837344
@q5[ksoftirqd/169]: count 854, average 442, total 377828
@q5[kworker/169:2]: count 175, average 763, total 133539

@uc: count 2143, average 6236, total 13364325

@q1[openssl]: count 343, average 1501, total 514918
@q1[ksoftirqd/169]: count 11, average 1558, total 17142

@q2[openssl]: count 478, average 614, total 293821
@q2[ksoftirqd/169]: count 60, average 660, total 39603
@q2[kworker/169:2]: count 1, average 31929, total 31929


@q4[ksoftirqd/169]: count 201, average 914, total 183768
@q4[openssl]: count 15130, average 967, total 14632205
@q4[kworker/169:2]: count 12, average 3167, total 38011

@q5[openssl]: count 117657, average 431, total 50737635
@q5[ksoftirqd/169]: count 1275, average 433, total 552519
@q5[kworker/169:2]: count 91, average 736, total 66980

@uc: count 2099, average 5855, total 12291073

@q1[openssl]: count 342, average 1430, total 489315
@q1[ksoftirqd/169]: count 11, average 1801, total 19817

@q2[openssl]: count 507, average 607, total 308046
@q2[ksoftirqd/169]: count 54, average 697, total 37652


@q4[ksoftirqd/169]: count 163, average 942, total 153607
@q4[openssl]: count 15193, average 968, total 14713991

@q5[openssl]: count 118026, average 431, total 50876660
@q5[ksoftirqd/169]: count 1017, average 437, total 445366

@uc: count 2076, average 6661, total 13830026

@q1[openssl]: count 342, average 1404, total 480349
@q1[ksoftirqd/169]: count 17, average 1471, total 25017

@q2[openssl]: count 500, average 614, total 307356
