Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 202, average 1378, total 278502
@q1[ksoftirqd/169]: count 9, average 1754, total 15791
@q1[kworker/169:2]: count 1, average 10219, total 10219

@q2[ksoftirqd/169]: count 39, average 770, total 30038
@q2[kworker/169:2]: count 3, average 8957, total 26871
@q2[openssl]: count 921, average 9558, total 8803479


@q4[ksoftirqd/169]: count 197, average 937, total 184749
@q4[openssl]: count 9743, average 956, total 9321398
@q4[kworker/169:2]: count 14, average 2668, total 37359

@q5[openssl]: count 73826, average 429, total 31712194
@q5[ksoftirqd/169]: count 1373, average 431, total 591895
@q5[kworker/169:2]: count 96, average 692, total 66435

@uc: count 2180, average 30719, total 66969483

@q1[openssl]: count 362, average 1213, total 439224
@q1[ksoftirqd/169]: count 10, average 2117, total 21178
@q1[kworker/169:2]: count 1, average 12614, total 12614

@q2[openssl]: count 1632, average 628, total 1025635
@q2[ksoftirqd/169]: count 50, average 768, total 38431
@q2[kworker/169:2]: count 4, average 8340, total 33363


@q4[openssl]: count 13336, average 955, total 12742969
@q4[ksoftirqd/169]: count 111, average 965, total 107214
@q4[kworker/169:2]: count 32, average 1754, total 56134

@q5[openssl]: count 101059, average 428, total 43331699
@q5[ksoftirqd/169]: count 760, average 437, total 332736
@q5[kworker/169:2]: count 240, average 535, total 128464

@uc: count 2078, average 6459, total 13422432

@q1[openssl]: count 361, average 1184, total 427731
@q1[ksoftirqd/169]: count 13, average 1710, total 22241
@q1[kworker/169:2]: count 3, average 4969, total 14907

@q2[openssl]: count 1633, average 634, total 1036800
@q2[ksoftirqd/169]: count 50, average 787, total 39360
@q2[kworker/169:2]: count 4, average 8871, total 35485
@q2[kworker/169:0]: count 1, average 17393, total 17393


@q4[openssl]: count 13358, average 957, total 12788790
@q4[ksoftirqd/169]: count 103, average 976, total 100541
@q4[kworker/169:0]: count 11, average 1926, total 21190
@q4[kworker/169:2]: count 6, average 5742, total 34454

@q5[openssl]: count 101276, average 429, total 43455656
@q5[ksoftirqd/169]: count 686, average 439, total 301789
@q5[kworker/169:0]: count 83, average 580, total 48192
@q5[kworker/169:2]: count 21, average 1862, total 39112

@uc: count 2099, average 6613, total 13881462

@q1[openssl]: count 359, average 1201, total 431503
@q1[ksoftirqd/169]: count 18, average 1705, total 30705

@q2[openssl]: count 1629, average 625, total 1018812
@q2[ksoftirqd/169]: count 56, average 774, total 43381


@q4[openssl]: count 13347, average 955, total 12752975
@q4[ksoftirqd/169]: count 117, average 999, total 116969

@q5[openssl]: count 101207, average 429, total 43450736
@q5[ksoftirqd/169]: count 766, average 445, total 341007

@uc: count 2544, average 6658, total 16940080

@q1[openssl]: count 361, average 1254, total 452962
@q1[ksoftirqd/169]: count 13, average 1684, total 21900
@q1[kworker/169:0]: count 1, average 28373, total 28373

@q2[openssl]: count 1637, average 646, total 1058027
@q2[ksoftirqd/169]: count 49, average 780, total 38229
@q2[kworker/169:0]: count 3, average 12236, total 36709


@q4[openssl]: count 13353, average 957, total 12780193
@q4[ksoftirqd/169]: count 108, average 966, total 104368
@q4[kworker/169:0]: count 21, average 2462, total 51715

@q5[openssl]: count 101219, average 429, total 43465450
@q5[ksoftirqd/169]: count 723, average 438, total 317364
@q5[kworker/169:0]: count 157, average 618, total 97054

@uc: count 2099, average 6233, total 13083386

@q1[openssl]: count 364, average 1210, total 440752
@q1[ksoftirqd/169]: count 13, average 1672, total 21740

