Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 12647, average 1417, total 17930608
@q4[kworker/169:0]: count 27, average 1779, total 48051
@q4[openssl]: count 1789, average 1867, total 3341082

@q5[ksoftirqd/169]: count 100546, average 433, total 43577411
@q5[openssl]: count 13664, average 442, total 6049255
@q5[kworker/169:0]: count 194, average 475, total 92154

@uc: count 3326, average 31790, total 105735662




@q4[ksoftirqd/169]: count 17575, average 1296, total 22788828

@q5[ksoftirqd/169]: count 139802, average 437, total 61110191

@uc: count 6821, average 6323, total 43130978




@q4[ksoftirqd/169]: count 17405, average 1277, total 22233088

@q5[ksoftirqd/169]: count 138415, average 436, total 60436591

@uc: count 7781, average 2682, total 20872975




@q4[ksoftirqd/169]: count 17414, average 1302, total 22689354

@q5[ksoftirqd/169]: count 138553, average 439, total 60906717

@uc: count 9348, average 2550, total 23838981




@q4[ksoftirqd/169]: count 17043, average 1273, total 21701792

@q5[ksoftirqd/169]: count 135539, average 441, total 59782140

@uc: count 8501, average 2609, total 22186361




@q4[ksoftirqd/169]: count 17374, average 1288, total 22394244

@q5[ksoftirqd/169]: count 138227, average 438, total 60650695

@uc: count 6810, average 3204, total 21821811




@q4[ksoftirqd/169]: count 17436, average 1316, total 22956973

@q5[ksoftirqd/169]: count 138656, average 438, total 60778092

@uc: count 6702, average 2741, total 18370857




@q4[ksoftirqd/169]: count 17227, average 1280, total 22066805

@q5[ksoftirqd/169]: count 137058, average 438, total 60055594

@uc: count 7392, average 2836, total 20969390




@q4[ksoftirqd/169]: count 17166, average 1287, total 22099540

@q5[ksoftirqd/169]: count 136559, average 438, total 59879821

@uc: count 7392, average 3295, total 24358189




@q4[ksoftirqd/169]: count 17179, average 1286, total 22094605

@q5[ksoftirqd/169]: count 136614, average 438, total 59931317

@uc: count 7034, average 3039, total 21382527




@q4[ksoftirqd/169]: count 17532, average 1279, total 22425043

@q5[ksoftirqd/169]: count 139484, average 438, total 61150885

@uc: count 8561, average 3767, total 32254194




@q4[ksoftirqd/169]: count 17326, average 1275, total 22098609

@q5[ksoftirqd/169]: count 137782, average 438, total 60381320

@uc: count 7055, average 6036, total 42588011




@q4[ksoftirqd/169]: count 17368, average 1286, total 22337127

@q5[ksoftirqd/169]: count 138131, average 439, total 60674696

@uc: count 7047, average 5792, total 40822387




@q4[ksoftirqd/169]: count 17909, average 1275, total 22849060

@q5[ksoftirqd/169]: count 142482, average 436, total 62212908

@uc: count 6659, average 4465, total 29732540




@q4[ksoftirqd/169]: count 17915, average 1271, total 22784311

@q5[ksoftirqd/169]: count 142527, average 437, total 62424753

@uc: count 7647, average 2855, total 21838835




@q4[ksoftirqd/169]: count 17723, average 1277, total 22637685

@q5[ksoftirqd/169]: count 140946, average 438, total 61833602

@uc: count 6406, average 2955, total 18931725




