Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 149, average 2491, total 371265
@q1[openssl]: count 864, average 2494, total 2155374

@q2[openssl]: count 1591, average 650, total 1035705
@q2[ksoftirqd/169]: count 229, average 654, total 149926
@q2[kworker/169:2]: count 2, average 6196, total 12393


@q4[ksoftirqd/169]: count 2769, average 950, total 2633278
@q4[openssl]: count 40058, average 958, total 38377381
@q4[kworker/169:2]: count 45, average 1147, total 51630

@q5[ksoftirqd/169]: count 21333, average 433, total 9251933
@q5[openssl]: count 314140, average 433, total 136174678
@q5[kworker/169:2]: count 356, average 461, total 164221

@uc: count 1917, average 5844, total 11203916

@q1[openssl]: count 1000, average 2534, total 2534706
@q1[ksoftirqd/169]: count 142, average 2700, total 383419

@q2[openssl]: count 1647, average 648, total 1068767
@q2[ksoftirqd/169]: count 202, average 656, total 132698


@q4[openssl]: count 40340, average 956, total 38574633
@q4[ksoftirqd/169]: count 2977, average 979, total 2917098

@q5[ksoftirqd/169]: count 23081, average 433, total 9996988
@q5[openssl]: count 316025, average 433, total 137112282

@uc: count 2732, average 15084, total 41209863

@q1[openssl]: count 928, average 2526, total 2344610
@q1[ksoftirqd/169]: count 162, average 2669, total 432392

@q2[openssl]: count 1545, average 652, total 1008587
@q2[ksoftirqd/169]: count 243, average 676, total 164471


@q4[openssl]: count 39873, average 957, total 38190010
@q4[ksoftirqd/169]: count 3008, average 960, total 2888976

@q5[ksoftirqd/169]: count 23237, average 433, total 10069890
@q5[openssl]: count 312641, average 433, total 135452577

@uc: count 2233, average 6107, total 13638272

@q1[openssl]: count 912, average 2492, total 2273344
@q1[ksoftirqd/169]: count 130, average 2537, total 329847

@q2[openssl]: count 1600, average 648, total 1036856
@q2[ksoftirqd/169]: count 213, average 661, total 140873


@q4[openssl]: count 40128, average 955, total 38322963
@q4[ksoftirqd/169]: count 2641, average 961, total 2538199

@q5[ksoftirqd/169]: count 20370, average 433, total 8826899
@q5[openssl]: count 314564, average 433, total 136314935

@uc: count 2089, average 5809, total 12136192

@q1[openssl]: count 894, average 2469, total 2207693
@q1[ksoftirqd/169]: count 136, average 2668, total 362859

@q2[openssl]: count 1593, average 648, total 1032559
@q2[ksoftirqd/169]: count 207, average 655, total 135619
@q2[kworker/169:2]: count 1, average 36488, total 36488


@q4[ksoftirqd/169]: count 2715, average 956, total 2596122
@q4[openssl]: count 40056, average 958, total 38377244
@q4[kworker/169:2]: count 50, average 1651, total 82573

@q5[ksoftirqd/169]: count 21003, average 433, total 9101211
@q5[openssl]: count 314055, average 433, total 136172085
@q5[kworker/169:2]: count 397, average 516, total 204858

@uc: count 2009, average 6245, total 12546485

@q1[openssl]: count 881, average 2505, total 2206954
@q1[ksoftirqd/169]: count 141, average 2680, total 378012

@q2[openssl]: count 1582, average 648, total 1026537
@q2[ksoftirqd/169]: count 216, average 674, total 145703


@q4[ksoftirqd/169]: count 2522, average 957, total 2415731
@q4[openssl]: count 40335, average 958, total 38659071

@q5[ksoftirqd/169]: count 19426, average 433, total 8413622
@q5[openssl]: count 316330, average 433, total 137231314

@uc: count 1904, average 5945, total 11321004

@q1[openssl]: count 901, average 2475, total 2230022
@q1[ksoftirqd/169]: count 160, average 2666, total 426647

@q2[openssl]: count 1575, average 648, total 1021421
@q2[ksoftirqd/169]: count 231, average 683, total 157818


@q4[ksoftirqd/169]: count 2720, average 955, total 2598665
@q4[openssl]: count 40424, average 959, total 38775504

@q5[ksoftirqd/169]: count 20929, average 434, total 9097800
@q5[openssl]: count 316988, average 434, total 137584523

@uc: count 2151, average 6073, total 13063723

@q1[openssl]: count 932, average 2502, total 2332592
@q1[ksoftirqd/169]: count 144, average 2667, total 384082
@q1[kworker/169:2]: count 1, average 21070, total 21070

@q2[openssl]: count 1602, average 650, total 1042622
@q2[ksoftirqd/169]: count 211, average 660, total 139294
@q2[kworker/169:2]: count 1, average 37440, total 37440


@q4[openssl]: count 40367, average 955, total 38588268
@q4[ksoftirqd/169]: count 2593, average 961, total 2493944
@q4[kworker/169:2]: count 1, average 36979, total 36979

@q5[openssl]: count 316462, average 433, total 137206595
@q5[ksoftirqd/169]: count 20014, average 434, total 8701000
@q5[kworker/169:2]: count 7, average 5189, total 36329

@uc: count 2101, average 6296, total 13227944

@q1[openssl]: count 890, average 2487, total 2213923
@q1[ksoftirqd/169]: count 153, average 2681, total 410312

@q2[openssl]: count 1587, average 646, total 1026701
@q2[ksoftirqd/169]: count 231, average 680, total 157226


@q4[ksoftirqd/169]: count 2841, average 950, total 2701331
@q4[openssl]: count 40226, average 956, total 38474036

@q5[ksoftirqd/169]: count 21924, average 433, total 9501193
@q5[openssl]: count 315400, average 433, total 136606965

@uc: count 1959, average 5370, total 10521199

@q1[openssl]: count 911, average 2447, total 2229592
@q1[ksoftirqd/169]: count 152, average 2699, total 410338
@q1[kworker/169:2]: count 1, average 17903, total 17903

@q2[openssl]: count 1594, average 648, total 1034117
@q2[ksoftirqd/169]: count 213, average 655, total 139575
@q2[kworker/169:2]: count 3, average 2524, total 7574


@q4[openssl]: count 40043, average 955, total 38272102
@q4[ksoftirqd/169]: count 2763, average 956, total 2642306
@q4[kworker/169:2]: count 83, average 1063, total 88252

@q5[ksoftirqd/169]: count 21330, average 433, total 9249523
@q5[openssl]: count 313866, average 433, total 135969329
@q5[kworker/169:2]: count 652, average 451, total 294544

@uc: count 2043, average 6231, total 12731350

@q1[openssl]: count 861, average 2459, total 2117344
@q1[ksoftirqd/169]: count 131, average 2633, total 345031
@q1[kworker/169:2]: count 1, average 19236, total 19236

@q2[openssl]: count 1592, average 647, total 1031502
@q2[ksoftirqd/169]: count 220, average 687, total 151276
@q2[kworker/169:2]: count 1, average 36318, total 36318


@q4[openssl]: count 39928, average 955, total 38168540
@q4[ksoftirqd/169]: count 2698, average 971, total 2622416
@q4[kworker/169:2]: count 47, average 1713, total 80523

@q5[ksoftirqd/169]: count 20846, average 432, total 9025551
