Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 433, average 2548, total 1103301
@q1[ksoftirqd/169]: count 36, average 2695, total 97041

@q2[openssl]: count 1350, average 3209, total 4332952
@q2[ksoftirqd/169]: count 111, average 74399, total 8258335


@q4[openssl]: count 30184, average 965, total 29136725
@q4[ksoftirqd/169]: count 1462, average 983, total 1437564

@q5[openssl]: count 235668, average 434, total 102354777
@q5[ksoftirqd/169]: count 11216, average 436, total 4900834

@uc: count 4763, average 21497, total 102394209

@q1[openssl]: count 929, average 2453, total 2278894
@q1[ksoftirqd/169]: count 61, average 2827, total 172497
@q1[kworker/169:1]: count 1, average 19086, total 19086

@q2[openssl]: count 2444, average 645, total 1578440
@q2[ksoftirqd/169]: count 149, average 702, total 104672
@q2[kworker/169:1]: count 1, average 37831, total 37831


@q4[ksoftirqd/169]: count 969, average 960, total 930967
@q4[openssl]: count 41558, average 961, total 39938949
@q4[kworker/169:1]: count 1, average 34064, total 34064

@q5[ksoftirqd/169]: count 7348, average 432, total 3174696
@q5[openssl]: count 324023, average 432, total 140153126
@q5[kworker/169:1]: count 7, average 5284, total 36991

@uc: count 3561, average 4255, total 15152087

@q1[openssl]: count 914, average 2424, total 2215594
@q1[ksoftirqd/169]: count 63, average 2718, total 171246
@q1[kworker/169:1]: count 1, average 20648, total 20648

@q2[openssl]: count 2435, average 650, total 1582801
@q2[ksoftirqd/169]: count 149, average 690, total 102840
@q2[kworker/169:1]: count 2, average 19016, total 38032


@q4[openssl]: count 41020, average 964, total 39555862
@q4[ksoftirqd/169]: count 1060, average 1002, total 1062945
@q4[kworker/169:1]: count 32, average 2082, total 66634

@q5[openssl]: count 319763, average 432, total 138369154
@q5[ksoftirqd/169]: count 8054, average 434, total 3499992
@q5[kworker/169:1]: count 252, average 572, total 144392

@uc: count 3939, average 5321, total 20961160

@q1[openssl]: count 910, average 2413, total 2196202
@q1[ksoftirqd/169]: count 68, average 2645, total 179922

@q2[openssl]: count 2475, average 657, total 1626211
@q2[ksoftirqd/169]: count 161, average 718, total 115599


@q4[ksoftirqd/169]: count 1028, average 962, total 989623
@q4[openssl]: count 40946, average 964, total 39496482

@q5[ksoftirqd/169]: count 7731, average 431, total 3332065
@q5[openssl]: count 319043, average 433, total 138148551

@uc: count 3139, average 4729, total 14845052

@q1[openssl]: count 905, average 2387, total 2161067
@q1[ksoftirqd/169]: count 65, average 2564, total 166670
@q1[kworker/169:1]: count 1, average 17713, total 17713

@q2[openssl]: count 2448, average 647, total 1584241
@q2[ksoftirqd/169]: count 154, average 701, total 108102
@q2[kworker/169:1]: count 1, average 35106, total 35106


@q4[ksoftirqd/169]: count 964, average 953, total 918726
@q4[openssl]: count 41272, average 961, total 39678170
@q4[kworker/169:1]: count 1, average 31489, total 31489

@q5[ksoftirqd/169]: count 7240, average 431, total 3125650
@q5[openssl]: count 321617, average 432, total 139068613
@q5[kworker/169:1]: count 7, average 4923, total 34465

@uc: count 3147, average 4552, total 14325912

@q1[openssl]: count 924, average 2501, total 2311800
@q1[ksoftirqd/169]: count 52, average 2752, total 143106

@q2[openssl]: count 2489, average 653, total 1626794
@q2[ksoftirqd/169]: count 137, average 755, total 103556
@q2[kworker/169:1]: count 1, average 35808, total 35808


@q4[ksoftirqd/169]: count 988, average 957, total 945934
