Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 736, average 2208, total 1625644
@q1[ksoftirqd/169]: count 32, average 2598, total 83166
@q1[kworker/169:0]: count 4, average 5307, total 21228

@q2[openssl]: count 1059, average 627, total 664388
@q2[ksoftirqd/169]: count 72, average 751, total 54091
@q2[kworker/169:0]: count 5, average 3935, total 19679


@q4[openssl]: count 12897, average 965, total 12451185
@q4[ksoftirqd/169]: count 618, average 968, total 598517
@q4[kworker/169:0]: count 9, average 2043, total 18394

@q5[ksoftirqd/169]: count 4702, average 432, total 2034866
@q5[openssl]: count 98593, average 434, total 42789415
@q5[kworker/169:0]: count 56, average 695, total 38929

@uc: count 2493, average 54444, total 135729378

@q1[openssl]: count 730, average 2021, total 1475493
@q1[ksoftirqd/169]: count 102, average 2442, total 249117

@q2[openssl]: count 1505, average 618, total 930887
@q2[ksoftirqd/169]: count 189, average 656, total 124042


@q4[ksoftirqd/169]: count 1586, average 958, total 1520021
@q4[openssl]: count 33405, average 963, total 32194865

@q5[ksoftirqd/169]: count 12001, average 431, total 5180916
@q5[openssl]: count 260089, average 433, total 112693957

@uc: count 2730, average 10407, total 28413580

@q1[openssl]: count 721, average 2064, total 1488792
@q1[ksoftirqd/169]: count 94, average 2409, total 226472
@q1[kworker/169:0]: count 2, average 11832, total 23665

@q2[openssl]: count 1448, average 622, total 900913
@q2[ksoftirqd/169]: count 193, average 663, total 128134
@q2[kworker/169:0]: count 2, average 18419, total 36839


@q4[ksoftirqd/169]: count 1500, average 956, total 1434266
@q4[openssl]: count 33448, average 962, total 32201087
@q4[kworker/169:0]: count 2, average 18620, total 37240

@q5[ksoftirqd/169]: count 11335, average 431, total 4887829
@q5[openssl]: count 260754, average 432, total 112896061
@q5[kworker/169:0]: count 12, average 3221, total 38652

@uc: count 2142, average 5913, total 12666596

@q1[openssl]: count 724, average 2094, total 1516555
@q1[ksoftirqd/169]: count 89, average 2341, total 208414

@q2[openssl]: count 1513, average 631, total 954944
@q2[ksoftirqd/169]: count 181, average 659, total 119309
@q2[kworker/169:0]: count 2, average 32551, total 65102


@q4[ksoftirqd/169]: count 1590, average 955, total 1519153
@q4[openssl]: count 33354, average 964, total 32178834
@q4[kworker/169:0]: count 41, average 1760, total 72164

@q5[ksoftirqd/169]: count 12061, average 430, total 5193011
@q5[openssl]: count 259796, average 433, total 112625771
@q5[kworker/169:0]: count 319, average 529, total 168753

@uc: count 2154, average 6571, total 14155280

@q1[openssl]: count 725, average 2039, total 1478718
@q1[ksoftirqd/169]: count 93, average 2418, total 224940

@q2[openssl]: count 1516, average 622, total 944222
@q2[ksoftirqd/169]: count 182, average 664, total 120881


@q4[openssl]: count 33377, average 960, total 32050481
@q4[ksoftirqd/169]: count 1596, average 965, total 1540780

@q5[ksoftirqd/169]: count 12119, average 431, total 5226117
@q5[openssl]: count 259838, average 434, total 112912852

@uc: count 2198, average 5546, total 12191232

@q1[openssl]: count 731, average 2062, total 1507573
@q1[ksoftirqd/169]: count 89, average 2373, total 211235

@q2[openssl]: count 1543, average 620, total 957422
@q2[ksoftirqd/169]: count 184, average 693, total 127611


@q4[ksoftirqd/169]: count 1703, average 960, total 1635597
@q4[openssl]: count 33295, average 964, total 32127644

@q5[ksoftirqd/169]: count 12981, average 430, total 5588241
@q5[openssl]: count 259143, average 434, total 112597103

@uc: count 2364, average 6043, total 14286731

@q1[openssl]: count 722, average 2082, total 1503326
@q1[ksoftirqd/169]: count 90, average 2428, total 218546
@q1[kworker/169:0]: count 1, average 19376, total 19376

@q2[openssl]: count 1500, average 625, total 938274
@q2[ksoftirqd/169]: count 180, average 665, total 119849
@q2[kworker/169:0]: count 1, average 36979, total 36979


@q4[ksoftirqd/169]: count 1594, average 961, total 1532963
@q4[openssl]: count 33375, average 962, total 32121618
@q4[kworker/169:0]: count 2, average 6572, total 13144

@q5[ksoftirqd/169]: count 12104, average 429, total 5201434
@q5[openssl]: count 259942, average 434, total 112897365
@q5[kworker/169:0]: count 15, average 1259, total 18895

@uc: count 2069, average 5508, total 11396140

@q1[openssl]: count 711, average 2071, total 1472585
@q1[ksoftirqd/169]: count 111, average 2475, total 274745
@q1[kworker/169:0]: count 1, average 18304, total 18304

@q2[openssl]: count 1433, average 626, total 898243
@q2[ksoftirqd/169]: count 209, average 675, total 141282
@q2[kworker/169:0]: count 1, average 36188, total 36188


