Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@uc: count 6234, average 2681, total 16718414




@q4[ksoftirqd/169]: count 21302, average 1257, total 26777947

@q5[ksoftirqd/169]: count 169406, average 432, total 73333326

@uc: count 6555, average 2302, total 15095006




@q4[ksoftirqd/169]: count 21925, average 1253, total 27473376

@q5[ksoftirqd/169]: count 174446, average 431, total 75355544

@uc: count 6264, average 2349, total 14719243




@q4[ksoftirqd/169]: count 21402, average 1261, total 26993366

@q5[ksoftirqd/169]: count 170205, average 433, total 73769682

@uc: count 6613, average 2658, total 17582890




@q4[ksoftirqd/169]: count 21554, average 1259, total 27151235

@q5[ksoftirqd/169]: count 171496, average 432, total 74243102

@uc: count 6266, average 2950, total 18489915




@q4[ksoftirqd/169]: count 21368, average 1263, total 27001232

@q5[ksoftirqd/169]: count 170001, average 432, total 73535257

@uc: count 5813, average 12540, total 72895855




@q4[ksoftirqd/169]: count 21060, average 1266, total 26665941

@q5[ksoftirqd/169]: count 167487, average 433, total 72685207

@uc: count 9144, average 3162, total 28918168




@q4[ksoftirqd/169]: count 21048, average 1268, total 26704689

@q5[ksoftirqd/169]: count 167399, average 433, total 72492460

@uc: count 5975, average 4204, total 25121925




@q4[ksoftirqd/169]: count 21293, average 1262, total 26882528

@q5[ksoftirqd/169]: count 169420, average 432, total 73340207

@uc: count 4304, average 3561, total 15326619




@q4[ksoftirqd/169]: count 21247, average 1259, total 26757666

@q5[ksoftirqd/169]: count 169036, average 434, total 73488896

@uc: count 8661, average 4393, total 38052508




@q4[ksoftirqd/169]: count 21083, average 1260, total 26575317

@q5[ksoftirqd/169]: count 167661, average 433, total 72600323

@uc: count 8690, average 2025, total 17598303




@q4[ksoftirqd/169]: count 20808, average 1270, total 26427246

@q5[ksoftirqd/169]: count 165491, average 434, total 71876832

@uc: count 10340, average 2000, total 20683019




@q4[ksoftirqd/169]: count 20848, average 1270, total 26487682

@q5[ksoftirqd/169]: count 165880, average 433, total 71957912

@uc: count 11281, average 1869, total 21084670




@q4[ksoftirqd/169]: count 20628, average 1271, total 26235301

@q5[ksoftirqd/169]: count 164118, average 433, total 71168531

@uc: count 10344, average 1810, total 18731157




@q4[ksoftirqd/169]: count 20954, average 1265, total 26518872

@q5[ksoftirqd/169]: count 330769, average 218, total 72419955

@uc: count 9008, average 2000, total 18016151




@q4[ksoftirqd/169]: count 20824, average 1260, total 26253118

@q5[ksoftirqd/169]: count 165618, average 433, total 71774708

@uc: count 9980, average 1970, total 19664203




@q4[ksoftirqd/169]: count 21096, average 1272, total 26835758

@q5[ksoftirqd/169]: count 167781, average 433, total 72761202

@uc: count 5120, average 3063, total 15686803




@q4[ksoftirqd/169]: count 20808, average 1268, total 26404325

@q5[ksoftirqd/169]: count 165490, average 433, total 71748268

@uc: count 6881, average 2532, total 17429170




@q4[ksoftirqd/169]: count 21605, average 1269, total 27417859

@q5[ksoftirqd/169]: count 171893, average 432, total 74390427

@uc: count 5447, average 7057, total 38443813




@q4[ksoftirqd/169]: count 20963, average 1258, total 26381171

@q5[ksoftirqd/169]: count 166710, average 432, total 72107292

@uc: count 5024, average 3626, total 18221367




@q4[ksoftirqd/169]: count 21452, average 1263, total 27108792

@q5[ksoftirqd/169]: count 170677, average 432, total 73819180

@uc: count 7599, average 3992, total 30338403




@q4[ksoftirqd/169]: count 21038, average 1271, total 26744350

@q5[ksoftirqd/169]: count 167398, average 433, total 72623964

@uc: count 5608, average 6977, total 39132182

@q1[iperf]: count 300, average 2208, total 662459
@q1[swapper/169]: count 169, average 2964, total 501054
@q1[ksoftirqd/169]: count 33, average 3135, total 103473
@q1[kworker/169:0]: count 2, average 6507, total 13014

@q2[iperf]: count 301, average 625, total 188214
@q2[swapper/169]: count 281, average 669, total 188077
@q2[ksoftirqd/169]: count 56, average 1320, total 73946
@q2[kworker/169:0]: count 3, average 2240, total 6722


@q4[iperf]: count 310, average 781, total 242235
@q4[swapper/169]: count 6996, average 1036, total 7254470
@q4[ksoftirqd/169]: count 23486, average 1290, total 30315626
@q4[kworker/169:0]: count 8, average 1574, total 12594

@q5[iperf]: count 1371, average 445, total 610473
@q5[swapper/169]: count 55010, average 462, total 25432191
@q5[ksoftirqd/169]: count 186633, average 497, total 92847307
@q5[kworker/169:0]: count 60, average 516, total 30998

@uc: count 14218, average 4063, total 57777070
