Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 628, average 2693, total 1691263
@q1[ksoftirqd/169]: count 102, average 2750, total 280549
@q1[kworker/169:0]: count 1, average 14547, total 14547

@q2[openssl]: count 994, average 1482, total 1473606
@q2[ksoftirqd/169]: count 180, average 27932, total 5027776
@q2[kworker/169:0]: count 1, average 31099, total 31099


@q4[openssl]: count 27806, average 967, total 26897409
@q4[ksoftirqd/169]: count 4792, average 982, total 4707134
@q4[kworker/169:0]: count 12, average 2297, total 27571

@q5[ksoftirqd/169]: count 37412, average 432, total 16164437
@q5[openssl]: count 217836, average 432, total 94135688
@q5[kworker/169:0]: count 88, average 671, total 59070

@uc: count 4211, average 21228, total 89392406

@q1[openssl]: count 1174, average 2585, total 3035866
@q1[ksoftirqd/169]: count 214, average 2819, total 603466

@q2[openssl]: count 1591, average 655, total 1043453
@q2[ksoftirqd/169]: count 292, average 680, total 198741
@q2[kworker/169:0]: count 2, average 4759, total 9519


@q4[openssl]: count 40376, average 959, total 38734797
@q4[ksoftirqd/169]: count 3564, average 974, total 3471426
@q4[kworker/169:0]: count 45, average 1095, total 49287

@q5[openssl]: count 316364, average 431, total 136396013
@q5[ksoftirqd/169]: count 27520, average 432, total 11889937
@q5[kworker/169:0]: count 353, average 457, total 161495

@uc: count 2929, average 5508, total 16133070

@q1[openssl]: count 1237, average 2636, total 3261815
@q1[ksoftirqd/169]: count 185, average 2683, total 496499
@q1[kworker/169:0]: count 6, average 4760, total 28563

@q2[openssl]: count 1761, average 657, total 1158669
@q2[ksoftirqd/169]: count 279, average 665, total 185643
@q2[kworker/169:0]: count 6, average 4910, total 29465


@q4[openssl]: count 40596, average 958, total 38891925
@q4[ksoftirqd/169]: count 3667, average 1006, total 3690512
@q4[kworker/169:0]: count 20, average 1820, total 36400

@q5[openssl]: count 317765, average 430, total 136830787
@q5[ksoftirqd/169]: count 28367, average 431, total 12239852
@q5[kworker/169:0]: count 148, average 595, total 88069

@uc: count 3426, average 5500, total 18845594

@q1[openssl]: count 1114, average 2559, total 2850727
@q1[ksoftirqd/169]: count 202, average 2748, total 555269

@q2[openssl]: count 1603, average 654, total 1049909
@q2[ksoftirqd/169]: count 273, average 667, total 182183


@q4[openssl]: count 40685, average 957, total 38945543
@q4[ksoftirqd/169]: count 3302, average 973, total 3214009

@q5[ksoftirqd/169]: count 25478, average 430, total 10973741
@q5[openssl]: count 318736, average 430, total 137340310

@uc: count 2058, average 6153, total 12663328

@q1[openssl]: count 680, average 2534, total 1723794
@q1[ksoftirqd/169]: count 134, average 2715, total 363898

@q2[openssl]: count 998, average 667, total 666301
@q2[ksoftirqd/169]: count 172, average 672, total 115703


@q4[openssl]: count 24906, average 959, total 23899574
@q4[ksoftirqd/169]: count 10068, average 1201, total 12100356

@q5[ksoftirqd/169]: count 79595, average 430, total 34280615
@q5[openssl]: count 195039, average 430, total 84003272

@uc: count 4137, average 3957, total 16373633




@q4[ksoftirqd/169]: count 19835, average 1275, total 25303702

@q5[ksoftirqd/169]: count 157736, average 434, total 68523453

@uc: count 5626, average 5448, total 30651452




@q4[ksoftirqd/169]: count 17856, average 1268, total 22646164

@q5[ksoftirqd/169]: count 142013, average 436, total 61993578

@uc: count 5689, average 3834, total 21812046




@q4[ksoftirqd/169]: count 17888, average 1268, total 22690615

@q5[ksoftirqd/169]: count 142267, average 435, total 62006709

@uc: count 7104, average 3058, total 21725936




@q4[ksoftirqd/169]: count 17674, average 1276, total 22561146

@q5[ksoftirqd/169]: count 140605, average 437, total 61572447

@uc: count 6255, average 3205, total 20052560




@q4[ksoftirqd/169]: count 17982, average 1280, total 23025581

@q5[ksoftirqd/169]: count 143070, average 439, total 62850077

@uc: count 6661, average 3157, total 21032197




@q4[ksoftirqd/169]: count 17628, average 1285, total 22662534

@q5[ksoftirqd/169]: count 140183, average 438, total 61505194

@uc: count 7245, average 7954, total 57629522




@q4[ksoftirqd/169]: count 18040, average 1299, total 23447745

@q5[ksoftirqd/169]: count 143476, average 438, total 62915421

@uc: count 6523, average 3906, total 25483254




@q4[ksoftirqd/169]: count 18120, average 1273, total 23072411

@q5[ksoftirqd/169]: count 144170, average 439, total 63374268

@uc: count 7365, average 2638, total 19429198




@q4[ksoftirqd/169]: count 17433, average 1297, total 22620268

@q5[ksoftirqd/169]: count 138638, average 441, total 61276227

@uc: count 7510, average 3194, total 23989478




@q4[ksoftirqd/169]: count 17920, average 1272, total 22798697

@q5[ksoftirqd/169]: count 142521, average 437, total 62354130

@uc: count 7252, average 3218, total 23340962




@q4[ksoftirqd/169]: count 17872, average 1267, total 22645646

@q5[ksoftirqd/169]: count 142140, average 437, total 62185964

@uc: count 6241, average 2992, total 18675051




@q4[ksoftirqd/169]: count 17921, average 1265, total 22685818

@q5[ksoftirqd/169]: count 142586, average 436, total 62177313

@uc: count 6525, average 2882, total 18811228




@q4[ksoftirqd/169]: count 17831, average 1272, total 22697593

@q5[ksoftirqd/169]: count 141869, average 437, total 62117518

@uc: count 6867, average 3135, total 21528899




@q4[ksoftirqd/169]: count 17730, average 1295, total 22963667

@q5[ksoftirqd/169]: count 140995, average 438, total 61844338

@uc: count 6802, average 3359, total 22851598




@q4[ksoftirqd/169]: count 17829, average 1277, total 22781308

@q5[ksoftirqd/169]: count 141853, average 438, total 62197964

@uc: count 6403, average 2990, total 19146651




