Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 539, average 2609, total 1406663
@q1[ksoftirqd/169]: count 89, average 2647, total 235614

@q2[ksoftirqd/169]: count 153, average 688, total 105407
@q2[openssl]: count 963, average 2917, total 2809932


@q4[openssl]: count 28245, average 971, total 27432562
@q4[ksoftirqd/169]: count 3909, average 980, total 3832277
@q4[kworker/169:1]: count 2, average 9353, total 18706
@q4[kworker/169:2]: count 9, average 20192, total 181732

@q5[openssl]: count 221300, average 430, total 95261725
@q5[ksoftirqd/169]: count 30432, average 436, total 13280642
@q5[kworker/169:2]: count 70, average 705, total 49376
@q5[kworker/169:1]: count 13, average 1966, total 25559

@uc: count 4112, average 24669, total 101440278

@q1[openssl]: count 947, average 2482, total 2350575
@q1[ksoftirqd/169]: count 178, average 2618, total 466093

@q2[openssl]: count 1614, average 651, total 1052051
@q2[ksoftirqd/169]: count 247, average 676, total 167114
@q2[kworker/169:1]: count 2, average 10159, total 20319


@q4[ksoftirqd/169]: count 2468, average 957, total 2361935
@q4[openssl]: count 40887, average 962, total 39361791
@q4[kworker/169:1]: count 47, average 1235, total 58079

@q5[openssl]: count 320501, average 430, total 137824131
@q5[ksoftirqd/169]: count 18886, average 431, total 8143970
@q5[kworker/169:1]: count 371, average 473, total 175659

@uc: count 2280, average 5874, total 13394223

@q1[openssl]: count 930, average 2477, total 2304129
@q1[ksoftirqd/169]: count 180, average 2718, total 489365

@q2[openssl]: count 1602, average 653, total 1046632
@q2[ksoftirqd/169]: count 256, average 667, total 170754


@q4[openssl]: count 40774, average 963, total 39283760
@q4[ksoftirqd/169]: count 2553, average 969, total 2474539

@q5[openssl]: count 319679, average 429, total 137429760
@q5[ksoftirqd/169]: count 19567, average 431, total 8449953

@uc: count 1989, average 6179, total 12290362

@q1[openssl]: count 969, average 2439, total 2363907
@q1[ksoftirqd/169]: count 193, average 2697, total 520647

@q2[openssl]: count 1629, average 650, total 1059196
@q2[ksoftirqd/169]: count 252, average 666, total 167871


@q4[openssl]: count 40996, average 962, total 39439118
@q4[ksoftirqd/169]: count 2441, average 963, total 2352889

@q5[openssl]: count 321243, average 430, total 138260495
@q5[ksoftirqd/169]: count 18674, average 432, total 8075247

@uc: count 2065, average 5670, total 11709529

@q1[openssl]: count 1006, average 2538, total 2553412
@q1[ksoftirqd/169]: count 200, average 2618, total 523618
@q1[kworker/169:1]: count 1, average 18885, total 18885

@q2[ksoftirqd/169]: count 280, average 654, total 183255
@q2[openssl]: count 1603, average 654, total 1049194
@q2[kworker/169:1]: count 1, average 35246, total 35246


@q4[openssl]: count 40637, average 961, total 39088188
@q4[ksoftirqd/169]: count 2944, average 966, total 2845581
@q4[kworker/169:1]: count 54, average 1611, total 87002

@q5[openssl]: count 318603, average 430, total 137039935
@q5[ksoftirqd/169]: count 22561, average 432, total 9751148
@q5[kworker/169:1]: count 426, average 570, total 242959

@uc: count 2546, average 6585, total 16766564

@q1[ksoftirqd/169]: count 196, average 2439, total 478209
@q1[openssl]: count 899, average 2473, total 2223972

@q2[ksoftirqd/169]: count 270, average 648, total 175030
@q2[openssl]: count 1584, average 658, total 1042460
@q2[kworker/169:1]: count 2, average 17843, total 35687


@q4[ksoftirqd/169]: count 2697, average 955, total 2577876
@q4[openssl]: count 40680, average 963, total 39205118
@q4[kworker/169:1]: count 52, average 1579, total 82133

@q5[ksoftirqd/169]: count 20575, average 429, total 8840546
@q5[openssl]: count 319128, average 430, total 137277096
@q5[kworker/169:1]: count 408, average 505, total 206220

@uc: count 2093, average 5771, total 12080601

@q1[openssl]: count 926, average 2477, total 2294483
@q1[ksoftirqd/169]: count 135, average 2707, total 365480

@q2[openssl]: count 1642, average 657, total 1079879
@q2[ksoftirqd/169]: count 218, average 687, total 149848


@q4[openssl]: count 41002, average 962, total 39464281
@q4[ksoftirqd/169]: count 2406, average 977, total 2352019

@q5[openssl]: count 321515, average 429, total 138150653
@q5[ksoftirqd/169]: count 18554, average 432, total 8024403

@uc: count 1938, average 5615, total 10883063

@q1[openssl]: count 921, average 2520, total 2321674
@q1[ksoftirqd/169]: count 185, average 2591, total 479439

@q2[ksoftirqd/169]: count 261, average 657, total 171657
@q2[openssl]: count 1613, average 657, total 1061252


@q4[ksoftirqd/169]: count 2554, average 961, total 2455889
@q4[openssl]: count 40855, average 963, total 39346038

@q5[openssl]: count 320471, average 430, total 137841400
@q5[ksoftirqd/169]: count 19536, average 431, total 8421056

@uc: count 2017, average 6225, total 12556860

@q1[openssl]: count 946, average 2505, total 2370477
@q1[ksoftirqd/169]: count 165, average 2733, total 450987
@q1[kworker/169:1]: count 1, average 14247, total 14247

@q2[ksoftirqd/169]: count 226, average 658, total 148821
@q2[openssl]: count 1607, average 659, total 1059018
@q2[kworker/169:1]: count 2, average 15113, total 30226


@q4[openssl]: count 40876, average 962, total 39331588
@q4[ksoftirqd/169]: count 2524, average 973, total 2457185
@q4[kworker/169:1]: count 31, average 1769, total 54852

@q5[openssl]: count 320600, average 429, total 137748626
@q5[ksoftirqd/169]: count 19396, average 430, total 8354934
@q5[kworker/169:1]: count 244, average 552, total 134732

@uc: count 2620, average 5287, total 13854328

@q1[openssl]: count 944, average 2496, total 2356342
@q1[ksoftirqd/169]: count 172, average 2556, total 439673

@q2[openssl]: count 1610, average 656, total 1057723
@q2[ksoftirqd/169]: count 264, average 660, total 174265


@q4[openssl]: count 40719, average 962, total 39206525
@q4[ksoftirqd/169]: count 2723, average 971, total 2646158

@q5[openssl]: count 319230, average 430, total 137276785
@q5[ksoftirqd/169]: count 20886, average 433, total 9061462

@uc: count 2107, average 6137, total 12931345

@q1[openssl]: count 898, average 2469, total 2218035
@q1[ksoftirqd/169]: count 186, average 2589, total 481580

@q2[openssl]: count 1594, average 659, total 1051607
@q2[ksoftirqd/169]: count 260, average 686, total 178564


@q4[openssl]: count 40723, average 963, total 39228801
@q4[ksoftirqd/169]: count 2693, average 985, total 2654241
@q4[kworker/169:1]: count 1, average 22002, total 22002

@q5[ksoftirqd/169]: count 20636, average 430, total 8876301
@q5[openssl]: count 319510, average 430, total 137417689
@q5[kworker/169:1]: count 8, average 3610, total 28883

@uc: count 2599, average 14322, total 37223732

@q1[openssl]: count 915, average 2484, total 2273583
@q1[ksoftirqd/169]: count 146, average 2758, total 402699

@q2[ksoftirqd/169]: count 227, average 660, total 149996
@q2[openssl]: count 1629, average 667, total 1086998


@q4[openssl]: count 40743, average 962, total 39231105
@q4[ksoftirqd/169]: count 2670, average 964, total 2574420

@q5[openssl]: count 319477, average 429, total 137165818
@q5[ksoftirqd/169]: count 20572, average 432, total 8893638

@uc: count 1901, average 6027, total 11457841

@q1[openssl]: count 906, average 2489, total 2255658
@q1[ksoftirqd/169]: count 201, average 2526, total 507758

@q2[ksoftirqd/169]: count 278, average 659, total 183210
@q2[openssl]: count 1593, average 664, total 1059300
@q2[kworker/169:1]: count 1, average 30558, total 30558


@q4[openssl]: count 40631, average 963, total 39143060
@q4[ksoftirqd/169]: count 2750, average 966, total 2658526
@q4[kworker/169:1]: count 51, average 1472, total 75088

@q5[openssl]: count 318673, average 429, total 136807832
@q5[ksoftirqd/169]: count 21010, average 431, total 9062798
@q5[kworker/169:1]: count 404, average 499, total 201679

@uc: count 2290, average 6293, total 14412769

@q1[openssl]: count 916, average 2515, total 2304509
@q1[ksoftirqd/169]: count 168, average 2656, total 446262

@q2[ksoftirqd/169]: count 234, average 659, total 154367
@q2[openssl]: count 1596, average 662, total 1057135


@q4[openssl]: count 40559, average 963, total 39064770
@q4[ksoftirqd/169]: count 2844, average 985, total 2803180

@q5[openssl]: count 318228, average 429, total 136829429
@q5[ksoftirqd/169]: count 21910, average 430, total 9424585

@uc: count 2449, average 5592, total 13694809

@q1[openssl]: count 933, average 2476, total 2310838
@q1[ksoftirqd/169]: count 169, average 2806, total 474276
@q1[kworker/169:1]: count 1, average 19847, total 19847

@q2[openssl]: count 1626, average 659, total 1072496
@q2[ksoftirqd/169]: count 246, average 673, total 165770
@q2[kworker/169:1]: count 1, average 37821, total 37821


@q4[openssl]: count 40840, average 961, total 39266532
@q4[ksoftirqd/169]: count 2591, average 970, total 2515200
@q4[kworker/169:1]: count 1, average 34374, total 34374

@q5[openssl]: count 320291, average 429, total 137479028
@q5[ksoftirqd/169]: count 19883, average 431, total 8582651
@q5[kworker/169:1]: count 7, average 5218, total 36529

@uc: count 2038, average 5940, total 12107201

@q1[openssl]: count 908, average 2481, total 2253214
@q1[ksoftirqd/169]: count 180, average 2509, total 451705
@q1[kworker/169:1]: count 1, average 12955, total 12955

@q2[ksoftirqd/169]: count 264, average 650, total 171665
@q2[openssl]: count 1596, average 661, total 1055393
@q2[kworker/169:1]: count 1, average 27532, total 27532


@q4[openssl]: count 40446, average 964, total 38997040
@q4[ksoftirqd/169]: count 2924, average 970, total 2837484
@q4[kworker/169:1]: count 43, average 1440, total 61931

@q5[ksoftirqd/169]: count 22439, average 429, total 9640312
@q5[openssl]: count 317222, average 429, total 136301288
@q5[kworker/169:1]: count 338, average 501, total 169642

@uc: count 1907, average 6063, total 11563387

@q1[openssl]: count 936, average 2521, total 2360538
@q1[ksoftirqd/169]: count 167, average 2656, total 443624
@q1[kworker/169:1]: count 1, average 18755, total 18755

@q2[openssl]: count 1602, average 658, total 1054365
@q2[ksoftirqd/169]: count 238, average 661, total 157542
@q2[kworker/169:1]: count 1, average 36238, total 36238


@q4[openssl]: count 40642, average 965, total 39247716
@q4[ksoftirqd/169]: count 2731, average 966, total 2638886
@q4[kworker/169:1]: count 55, average 1620, total 89115

@q5[openssl]: count 318722, average 429, total 137029112
@q5[ksoftirqd/169]: count 21017, average 432, total 9094106
@q5[kworker/169:1]: count 434, average 511, total 221977

@uc: count 2171, average 6516, total 14148347

@q1[openssl]: count 912, average 2521, total 2299605
@q1[ksoftirqd/169]: count 209, average 2547, total 532520

@q2[ksoftirqd/169]: count 275, average 655, total 180351
@q2[openssl]: count 1577, average 661, total 1043336


