Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 158, average 1456, total 230051
@q1[ksoftirqd/169]: count 9, average 1971, total 17743

@q2[ksoftirqd/169]: count 32, average 812, total 25996
@q2[openssl]: count 399, average 59994, total 23937728


@q4[ksoftirqd/169]: count 147, average 914, total 134468
@q4[openssl]: count 11274, average 965, total 10887484

@q5[openssl]: count 87060, average 432, total 37686177
@q5[ksoftirqd/169]: count 919, average 439, total 403995

@uc: count 2116, average 26791, total 56690774

@q1[openssl]: count 345, average 1278, total 441099
@q1[ksoftirqd/169]: count 6, average 2363, total 14178

@q2[openssl]: count 740, average 540, total 399865
@q2[ksoftirqd/169]: count 41, average 911, total 37384


@q4[openssl]: count 15414, average 959, total 14792230
@q4[ksoftirqd/169]: count 115, average 965, total 111068

@q5[openssl]: count 118259, average 429, total 50746688
@q5[ksoftirqd/169]: count 717, average 437, total 314039

@uc: count 2449, average 6634, total 16247575

@q1[openssl]: count 343, average 1421, total 487429
@q1[ksoftirqd/169]: count 9, average 1716, total 15451

@q2[openssl]: count 507, average 561, total 284496
@q2[ksoftirqd/169]: count 40, average 757, total 30285


@q4[ksoftirqd/169]: count 116, average 944, total 109558
@q4[openssl]: count 15245, average 966, total 14731001

@q5[openssl]: count 118356, average 429, total 50776636
@q5[ksoftirqd/169]: count 712, average 439, total 312804

@uc: count 2522, average 6204, total 15648247

@q1[openssl]: count 341, average 1406, total 479547
@q1[ksoftirqd/169]: count 10, average 2023, total 20238

@q2[openssl]: count 501, average 566, total 283933
@q2[ksoftirqd/169]: count 37, average 704, total 26068


@q4[ksoftirqd/169]: count 100, average 952, total 95231
@q4[openssl]: count 15251, average 963, total 14701458

@q5[openssl]: count 118473, average 429, total 50852328
@q5[ksoftirqd/169]: count 590, average 444, total 262456

@uc: count 2170, average 5978, total 12973564

@q1[openssl]: count 343, average 1390, total 477034
@q1[ksoftirqd/169]: count 9, average 2133, total 19205

@q2[openssl]: count 495, average 574, total 284332
@q2[ksoftirqd/169]: count 37, average 752, total 27852


@q4[ksoftirqd/169]: count 103, average 942, total 97125
@q4[openssl]: count 15236, average 965, total 14708375

@q5[openssl]: count 118390, average 429, total 50807762
@q5[ksoftirqd/169]: count 628, average 444, total 278859

@uc: count 2145, average 6050, total 12978636

@q1[openssl]: count 340, average 1420, total 482976
@q1[ksoftirqd/169]: count 10, average 1631, total 16310
@q1[kworker/169:2]: count 1, average 9338, total 9338

@q2[openssl]: count 498, average 573, total 285754
@q2[ksoftirqd/169]: count 38, average 705, total 26810
