Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[openssl]: count 2973, average 1011, total 3006607
@q4[ksoftirqd/169]: count 14485, average 1298, total 18807486

@q5[ksoftirqd/169]: count 115111, average 440, total 50674126
@q5[openssl]: count 23412, average 440, total 10310330

@uc: count 3774, average 26315, total 99316256




@q4[ksoftirqd/169]: count 21032, average 1266, total 26647122

@q5[ksoftirqd/169]: count 167272, average 437, total 73142324

@uc: count 5600, average 8719, total 48830904




@q4[ksoftirqd/169]: count 20883, average 1260, total 26330856

@q5[ksoftirqd/169]: count 166158, average 438, total 72838889

@uc: count 5033, average 7307, total 36778135




@q4[ksoftirqd/169]: count 20551, average 1273, total 26168132

@q5[ksoftirqd/169]: count 163518, average 437, total 71500083

@uc: count 6273, average 2660, total 16686414




@q4[ksoftirqd/169]: count 20844, average 1262, total 26310314

@q5[ksoftirqd/169]: count 165760, average 437, total 72502654

@uc: count 5569, average 4708, total 26219644




@q4[ksoftirqd/169]: count 21040, average 1267, total 26667460

@q5[ksoftirqd/169]: count 167336, average 437, total 73176424

@uc: count 5817, average 5944, total 34579762




@q4[ksoftirqd/169]: count 20680, average 1253, total 25923635

@q5[ksoftirqd/169]: count 164472, average 435, total 71680505

@uc: count 4672, average 2895, total 13528981




@q4[ksoftirqd/169]: count 20702, average 1265, total 26202628

@q5[ksoftirqd/169]: count 164727, average 437, total 71998744

@uc: count 7500, average 2204, total 16536816




@q4[ksoftirqd/169]: count 20870, average 1258, total 26257348

@q5[ksoftirqd/169]: count 166042, average 436, total 72447943

@uc: count 7698, average 2146, total 16524962




@q4[ksoftirqd/169]: count 21291, average 1251, total 26656208

@q5[ksoftirqd/169]: count 169390, average 435, total 73739653

@uc: count 5814, average 4497, total 26146053




@q4[ksoftirqd/169]: count 21051, average 1260, total 26537478

@q5[ksoftirqd/169]: count 167496, average 436, total 73093999

@uc: count 5795, average 6017, total 34871566




@q4[ksoftirqd/169]: count 20875, average 1259, total 26300557

@q5[ksoftirqd/169]: count 166080, average 436, total 72489738

@uc: count 5034, average 3481, total 17524143




@q4[ksoftirqd/169]: count 21109, average 1256, total 26515432

@q5[ksoftirqd/169]: count 167876, average 435, total 73140112

@uc: count 4473, average 3036, total 13584127




@q4[ksoftirqd/169]: count 21027, average 1262, total 26552907

@q5[ksoftirqd/169]: count 167306, average 436, total 73069453

@uc: count 6511, average 4881, total 31785722




@q4[ksoftirqd/169]: count 21036, average 1261, total 26541408

@q5[ksoftirqd/169]: count 167288, average 436, total 73103799

@uc: count 4594, average 5491, total 25229940




@q4[ksoftirqd/169]: count 20808, average 1268, total 26395468

@q5[ksoftirqd/169]: count 165490, average 437, total 72375067

@uc: count 5043, average 5328, total 26870463




@q4[ksoftirqd/169]: count 20585, average 1262, total 25986622

@q5[ksoftirqd/169]: count 163789, average 437, total 71679113

@uc: count 6870, average 3386, total 23268497




@q4[ksoftirqd/169]: count 20758, average 1259, total 26143532

@q5[ksoftirqd/169]: count 165085, average 436, total 72034253

@uc: count 5913, average 3133, total 18528547




@q4[ksoftirqd/169]: count 21247, average 1254, total 26652883

@q5[ksoftirqd/169]: count 169054, average 436, total 73711890

@uc: count 4053, average 3519, total 14266163




@q4[ksoftirqd/169]: count 20648, average 1265, total 26138271

@q5[ksoftirqd/169]: count 164204, average 437, total 71763099

@uc: count 4760, average 5334, total 25393087




@q4[ksoftirqd/169]: count 20953, average 1261, total 26430976

@q5[ksoftirqd/169]: count 166708, average 436, total 72811775

@uc: count 5165, average 3799, total 19625879




@q4[ksoftirqd/169]: count 20472, average 1258, total 25766731

@q5[ksoftirqd/169]: count 162844, average 436, total 71096393

@uc: count 5478, average 8044, total 44066848




@q4[ksoftirqd/169]: count 21074, average 1259, total 26546472

@q5[ksoftirqd/169]: count 167662, average 437, total 73270003

@uc: count 4581, average 3120, total 14296024




@q4[ksoftirqd/169]: count 20975, average 1259, total 26418392

@q5[ksoftirqd/169]: count 166882, average 435, total 72736771

@uc: count 4628, average 5893, total 27274565




@q4[ksoftirqd/169]: count 21059, average 1263, total 26613887

@q5[ksoftirqd/169]: count 167478, average 436, total 73121706

@uc: count 4330, average 3133, total 13567276




@q4[ksoftirqd/169]: count 20888, average 1263, total 26395251

@q5[ksoftirqd/169]: count 166127, average 437, total 72604508

@uc: count 4941, average 3502, total 17307266




@q4[ksoftirqd/169]: count 20765, average 1264, total 26248383

@q5[ksoftirqd/169]: count 165189, average 436, total 72111909

@uc: count 6024, average 2479, total 14938699




@q4[ksoftirqd/169]: count 21256, average 1262, total 26835896

@q5[ksoftirqd/169]: count 169121, average 436, total 73752663

@uc: count 4074, average 3524, total 14359177




