Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 144, average 1426, total 205480
@q1[ksoftirqd/169]: count 3, average 4558, total 13676

@q2[openssl]: count 885, average 7709, total 6823275
@q2[ksoftirqd/169]: count 25, average 792608, total 19815215


@q4[openssl]: count 9818, average 963, total 9462529
@q4[ksoftirqd/169]: count 134, average 976, total 130860

@q5[openssl]: count 74686, average 431, total 32241418
@q5[ksoftirqd/169]: count 992, average 436, total 432893

@uc: count 1956, average 36808, total 71997546

@q1[openssl]: count 294, average 1184, total 348176
@q1[ksoftirqd/169]: count 7, average 2250, total 15750

@q2[openssl]: count 1576, average 627, total 989301
@q2[ksoftirqd/169]: count 37, average 786, total 29086


@q4[openssl]: count 13333, average 954, total 12730617
@q4[ksoftirqd/169]: count 90, average 986, total 88773

@q5[openssl]: count 101432, average 430, total 43715288
@q5[ksoftirqd/169]: count 630, average 442, total 278892

@uc: count 2319, average 7019, total 16279026

@q1[openssl]: count 291, average 1187, total 345700
@q1[ksoftirqd/169]: count 12, average 2351, total 28212

@q2[openssl]: count 1581, average 630, total 996070
@q2[ksoftirqd/169]: count 46, average 748, total 34444


@q4[ksoftirqd/169]: count 88, average 957, total 84238
@q4[openssl]: count 13324, average 957, total 12758958

@q5[openssl]: count 101427, average 430, total 43624200
@q5[ksoftirqd/169]: count 576, average 441, total 254148

@uc: count 2051, average 6609, total 13556402

@q1[openssl]: count 294, average 1221, total 359085
@q1[ksoftirqd/169]: count 9, average 1942, total 17482
@q1[kworker/169:1]: count 1, average 8586, total 8586

@q2[openssl]: count 1580, average 627, total 991673
@q2[ksoftirqd/169]: count 38, average 796, total 30248
@q2[kworker/169:1]: count 2, average 3511, total 7023


@q4[openssl]: count 13317, average 957, total 12752368
@q4[ksoftirqd/169]: count 82, average 983, total 80669
@q4[kworker/169:1]: count 12, average 2630, total 31561

@q5[openssl]: count 101414, average 431, total 43715542
@q5[ksoftirqd/169]: count 562, average 438, total 246302
@q5[kworker/169:1]: count 87, average 601, total 52350

@uc: count 2140, average 6742, total 14428561

@q1[openssl]: count 298, average 1244, total 370889
@q1[ksoftirqd/169]: count 8, average 2534, total 20279

@q2[openssl]: count 1581, average 624, total 987918
@q2[ksoftirqd/169]: count 41, average 765, total 31379


@q4[openssl]: count 13336, average 955, total 12740231
