Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 544, average 2652, total 1442991
@q1[ksoftirqd/169]: count 79, average 3035, total 239820
@q1[kworker/169:1]: count 5, average 5390, total 26951

@q2[ksoftirqd/169]: count 140, average 698, total 97808
@q2[openssl]: count 941, average 1214, total 1142677
@q2[kworker/169:1]: count 6, average 2412, total 14476


@q4[ksoftirqd/169]: count 4369, average 965, total 4216965
@q4[openssl]: count 27842, average 973, total 27115145
@q4[kworker/169:1]: count 54, average 1336, total 72196

@q5[openssl]: count 218132, average 435, total 94952202
@q5[ksoftirqd/169]: count 34154, average 441, total 15087517
@q5[kworker/169:1]: count 409, average 479, total 196251

@uc: count 3997, average 31916, total 127572103

@q1[openssl]: count 972, average 2508, total 2438030
@q1[ksoftirqd/169]: count 180, average 2736, total 492500

@q2[openssl]: count 1604, average 632, total 1013752
@q2[ksoftirqd/169]: count 230, average 699, total 160860
@q2[kworker/169:1]: count 1, average 16832, total 16832


@q4[openssl]: count 40881, average 964, total 39418690
@q4[ksoftirqd/169]: count 2256, average 969, total 2187039
@q4[kworker/169:1]: count 50, average 1694, total 84743

@q5[openssl]: count 320509, average 434, total 139155432
@q5[ksoftirqd/169]: count 17262, average 436, total 7535594
@q5[kworker/169:1]: count 395, average 516, total 203860

@uc: count 2030, average 5311, total 10782748

@q1[openssl]: count 954, average 2509, total 2394411
@q1[ksoftirqd/169]: count 201, average 2634, total 529601

@q2[openssl]: count 1600, average 629, total 1006616
@q2[ksoftirqd/169]: count 248, average 665, total 165012


@q4[ksoftirqd/169]: count 2314, average 949, total 2198190
@q4[openssl]: count 40776, average 966, total 39430320

@q5[openssl]: count 319681, average 433, total 138703217
@q5[ksoftirqd/169]: count 17632, average 435, total 7671956

@uc: count 2071, average 5902, total 12224211

@q1[openssl]: count 1069, average 2509, total 2682754
@q1[ksoftirqd/169]: count 164, average 2735, total 448620

@q2[openssl]: count 1654, average 632, total 1045943
@q2[ksoftirqd/169]: count 233, average 709, total 165377


@q4[ksoftirqd/169]: count 2291, average 956, total 2190769
@q4[openssl]: count 41061, average 968, total 39756227

@q5[openssl]: count 321613, average 434, total 139702956
@q5[ksoftirqd/169]: count 17541, average 438, total 7692425

@uc: count 2472, average 6443, total 15927589

@q1[openssl]: count 1038, average 2511, total 2606837
@q1[ksoftirqd/169]: count 177, average 2688, total 475883

@q2[openssl]: count 1611, average 639, total 1030988
@q2[ksoftirqd/169]: count 240, average 659, total 158322


@q4[openssl]: count 41046, average 966, total 39652718
@q4[ksoftirqd/169]: count 2491, average 981, total 2444334
@q4[kworker/169:1]: count 1, average 37972, total 37972

@q5[openssl]: count 321662, average 434, total 139609453
@q5[ksoftirqd/169]: count 19110, average 436, total 8339256
@q5[kworker/169:1]: count 8, average 4752, total 38021

@uc: count 2708, average 4632, total 12545712

@q1[openssl]: count 1234, average 2633, total 3249396
@q1[ksoftirqd/169]: count 168, average 2690, total 452013

@q2[openssl]: count 1678, average 627, total 1052882
@q2[ksoftirqd/169]: count 243, average 706, total 171728
@q2[kworker/169:1]: count 2, average 8716, total 17433


@q4[ksoftirqd/169]: count 2191, average 953, total 2088610
@q4[openssl]: count 41694, average 967, total 40335465
@q4[kworker/169:1]: count 51, average 1700, total 86712

@q5[openssl]: count 326591, average 434, total 141762165
@q5[ksoftirqd/169]: count 16691, average 436, total 7282680
@q5[kworker/169:1]: count 401, average 516, total 207154

@uc: count 1924, average 5532, total 10644464

@q1[openssl]: count 1191, average 2548, total 3035303
@q1[ksoftirqd/169]: count 188, average 2812, total 528788

@q2[openssl]: count 1656, average 637, total 1055554
@q2[ksoftirqd/169]: count 239, average 666, total 159313
@q2[kworker/169:1]: count 1, average 15499, total 15499


@q4[openssl]: count 41481, average 964, total 40019467
@q4[ksoftirqd/169]: count 2226, average 965, total 2150300
@q4[kworker/169:1]: count 10, average 4542, total 45423

@q5[openssl]: count 324933, average 434, total 141073187
@q5[ksoftirqd/169]: count 17023, average 437, total 7441431
@q5[kworker/169:1]: count 76, average 833, total 63358

@uc: count 1985, average 5908, total 11728585

@q1[openssl]: count 1181, average 2589, total 3058757
@q1[ksoftirqd/169]: count 170, average 2735, total 465027

@q2[openssl]: count 1661, average 635, total 1055948
@q2[ksoftirqd/169]: count 230, average 700, total 161200
@q2[kworker/169:1]: count 2, average 8651, total 17302


@q4[openssl]: count 41241, average 967, total 39905949
@q4[ksoftirqd/169]: count 2392, average 976, total 2335077
@q4[kworker/169:1]: count 49, average 1718, total 84191

@q5[openssl]: count 323063, average 434, total 140271201
@q5[ksoftirqd/169]: count 18348, average 436, total 8001220
@q5[kworker/169:1]: count 387, average 521, total 201779

@uc: count 2401, average 6590, total 15823165

@q1[openssl]: count 1235, average 2592, total 3202173
@q1[ksoftirqd/169]: count 178, average 2806, total 499559
@q1[kworker/169:1]: count 1, average 19356, total 19356

@q2[openssl]: count 1680, average 630, total 1059115
@q2[ksoftirqd/169]: count 229, average 701, total 160717
@q2[kworker/169:1]: count 2, average 8035, total 16070


@q4[openssl]: count 41677, average 965, total 40245183
@q4[ksoftirqd/169]: count 2264, average 970, total 2196951
@q4[kworker/169:1]: count 54, average 1625, total 87798

@q5[openssl]: count 326399, average 433, total 141591785
@q5[ksoftirqd/169]: count 17335, average 436, total 7568719
@q5[kworker/169:1]: count 427, average 505, total 216038

@uc: count 2042, average 5938, total 12127124

@q1[openssl]: count 1159, average 2556, total 2963550
@q1[ksoftirqd/169]: count 187, average 2824, total 528241

@q2[openssl]: count 1652, average 635, total 1049296
@q2[ksoftirqd/169]: count 239, average 706, total 168962
@q2[kworker/169:1]: count 1, average 14818, total 14818


@q4[ksoftirqd/169]: count 2325, average 956, total 2224047
@q4[openssl]: count 41278, average 969, total 39999688
@q4[kworker/169:1]: count 50, average 1673, total 83668

@q5[openssl]: count 323325, average 434, total 140523386
@q5[ksoftirqd/169]: count 17813, average 435, total 7764090
@q5[kworker/169:1]: count 397, average 509, total 202123

@uc: count 1982, average 5645, total 11189526

@q1[openssl]: count 1160, average 2532, total 2938235
@q1[ksoftirqd/169]: count 181, average 2746, total 497180
@q1[kworker/169:1]: count 1, average 18625, total 18625

@q2[openssl]: count 1680, average 634, total 1065450
@q2[ksoftirqd/169]: count 242, average 674, total 163326
@q2[kworker/169:1]: count 1, average 14066, total 14066


@q4[openssl]: count 41281, average 966, total 39886568
@q4[ksoftirqd/169]: count 2337, average 969, total 2266215
@q4[kworker/169:1]: count 53, average 1663, total 88150

@q5[openssl]: count 323276, average 434, total 140348654
@q5[ksoftirqd/169]: count 17898, average 436, total 7818010
@q5[kworker/169:1]: count 417, average 512, total 213699

@uc: count 2269, average 10258, total 23275417

@q1[openssl]: count 1115, average 2512, total 2801628
@q1[ksoftirqd/169]: count 177, average 2767, total 489916

@q2[openssl]: count 1654, average 626, total 1036385
@q2[ksoftirqd/169]: count 247, average 685, total 169427
@q2[kworker/169:1]: count 1, average 15339, total 15339


@q4[ksoftirqd/169]: count 2121, average 953, total 2021461
@q4[openssl]: count 41428, average 966, total 40054850
@q4[kworker/169:1]: count 10, average 4584, total 45845

@q5[openssl]: count 324478, average 434, total 140863853
@q5[ksoftirqd/169]: count 16165, average 435, total 7045922
@q5[kworker/169:1]: count 79, average 808, total 63897

@uc: count 2540, average 6648, total 16886696

@q1[openssl]: count 1150, average 2602, total 2992836
@q1[ksoftirqd/169]: count 181, average 2714, total 491320

@q2[openssl]: count 1636, average 634, total 1038612
@q2[ksoftirqd/169]: count 248, average 691, total 171591


@q4[ksoftirqd/169]: count 2315, average 956, total 2213909
@q4[openssl]: count 41512, average 967, total 40153824

@q5[openssl]: count 325339, average 434, total 141304371
@q5[ksoftirqd/169]: count 17705, average 436, total 7721476

@uc: count 2323, average 9577, total 22248407

@q1[openssl]: count 1150, average 2596, total 2985957
@q1[ksoftirqd/169]: count 176, average 2689, total 473431

@q2[openssl]: count 1665, average 645, total 1075218
@q2[ksoftirqd/169]: count 235, average 654, total 153735


@q4[ksoftirqd/169]: count 2228, average 954, total 2127118
@q4[openssl]: count 41355, average 968, total 40060587

@q5[openssl]: count 324009, average 433, total 140597922
@q5[ksoftirqd/169]: count 17002, average 435, total 7407563

@uc: count 2415, average 5682, total 13722536

@q1[openssl]: count 1190, average 2547, total 3031580
@q1[ksoftirqd/169]: count 177, average 2747, total 486357

@q2[openssl]: count 1649, average 623, total 1028241
@q2[ksoftirqd/169]: count 234, average 703, total 164585


@q4[ksoftirqd/169]: count 2370, average 962, total 2282178
@q4[openssl]: count 41434, average 967, total 40094558

@q5[openssl]: count 324516, average 433, total 140825026
@q5[ksoftirqd/169]: count 18158, average 435, total 7913612

@uc: count 2273, average 5125, total 11649579

@q1[openssl]: count 1202, average 2622, total 3151693
@q1[ksoftirqd/169]: count 155, average 2779, total 430824

@q2[openssl]: count 1652, average 631, total 1042774
@q2[ksoftirqd/169]: count 229, average 708, total 162166


@q4[openssl]: count 41730, average 968, total 40423534
@q4[ksoftirqd/169]: count 2319, average 974, total 2260094

@q5[openssl]: count 326942, average 434, total 141992954
@q5[ksoftirqd/169]: count 17801, average 435, total 7756696

@uc: count 2389, average 6115, total 14609600

@q1[openssl]: count 1207, average 2641, total 3188623
@q1[ksoftirqd/169]: count 163, average 2765, total 450848

@q2[openssl]: count 1625, average 634, total 1031610
@q2[ksoftirqd/169]: count 234, average 668, total 156465


@q4[ksoftirqd/169]: count 2187, average 957, total 2094914
@q4[openssl]: count 41969, average 968, total 40654618

@q5[openssl]: count 328953, average 434, total 142893804
@q5[ksoftirqd/169]: count 16728, average 435, total 7292683

@uc: count 1933, average 5580, total 10786645

@q1[openssl]: count 1170, average 2620, total 3066038
@q1[ksoftirqd/169]: count 182, average 2707, total 492821

@q2[openssl]: count 1606, average 633, total 1016873
@q2[ksoftirqd/169]: count 253, average 659, total 166844
@q2[kworker/169:1]: count 2, average 8235, total 16470


@q4[ksoftirqd/169]: count 2701, average 965, total 2608247
@q4[openssl]: count 41199, average 966, total 39809279
@q4[kworker/169:1]: count 47, average 1756, total 82541

@q5[openssl]: count 322905, average 434, total 140256741
@q5[ksoftirqd/169]: count 20756, average 435, total 9042879
@q5[kworker/169:1]: count 367, average 522, total 191576

@uc: count 2342, average 5642, total 13213844

@q1[openssl]: count 1221, average 2624, total 3203982
@q1[ksoftirqd/169]: count 161, average 2744, total 441859
@q1[kworker/169:1]: count 1, average 17914, total 17914

@q2[openssl]: count 1656, average 630, total 1043562
@q2[ksoftirqd/169]: count 235, average 696, total 163787
@q2[kworker/169:1]: count 1, average 14778, total 14778


@q4[ksoftirqd/169]: count 2333, average 957, total 2233955
@q4[openssl]: count 41586, average 966, total 40197320
@q4[kworker/169:1]: count 50, average 1646, total 82304

