Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 108, average 1636, total 176775
@q1[ksoftirqd/169]: count 4, average 2662, total 10651

@q2[openssl]: count 533, average 644, total 343489
@q2[ksoftirqd/169]: count 21, average 957, total 20107


@q4[openssl]: count 4926, average 1005, total 4952660
@q4[ksoftirqd/169]: count 59, average 1052, total 62089

@q5[openssl]: count 36889, average 431, total 15936032
@q5[ksoftirqd/169]: count 402, average 440, total 177100

@uc: count 1891, average 37352, total 70634096

@q1[openssl]: count 388, average 1269, total 492385
@q1[ksoftirqd/169]: count 14, average 1993, total 27905

@q2[openssl]: count 1960, average 570, total 1119045
@q2[ksoftirqd/169]: count 55, average 708, total 38960
@q2[kworker/169:2]: count 2, average 5590, total 11180


@q4[openssl]: count 18027, average 943, total 17007003
@q4[ksoftirqd/169]: count 150, average 973, total 146081
@q4[kworker/169:2]: count 23, average 2042, total 46967

@q5[openssl]: count 134861, average 431, total 58164897
@q5[ksoftirqd/169]: count 1003, average 437, total 439306
@q5[kworker/169:2]: count 176, average 522, total 91984

@uc: count 2840, average 9127, total 25921515

@q1[openssl]: count 387, average 1287, total 498222
@q1[ksoftirqd/169]: count 13, average 2181, total 28364

@q2[openssl]: count 1964, average 569, total 1117565
@q2[ksoftirqd/169]: count 52, average 702, total 36542


@q4[ksoftirqd/169]: count 138, average 938, total 129533
@q4[openssl]: count 18059, average 941, total 17006430

@q5[openssl]: count 135105, average 431, total 58301402
@q5[ksoftirqd/169]: count 915, average 441, total 403675

@uc: count 2376, average 5272, total 12528200

@q1[openssl]: count 387, average 1270, total 491525
@q1[ksoftirqd/169]: count 15, average 2067, total 31017

@q2[openssl]: count 1966, average 570, total 1120843
@q2[ksoftirqd/169]: count 51, average 721, total 36819


@q4[openssl]: count 18065, average 941, total 17010935
@q4[ksoftirqd/169]: count 140, average 989, total 138524

@q5[openssl]: count 135163, average 431, total 58320061
@q5[ksoftirqd/169]: count 926, average 450, total 416738

@uc: count 2674, average 5683, total 15197327

@q1[openssl]: count 391, average 1281, total 501181
@q1[ksoftirqd/169]: count 10, average 3085, total 30857

@q2[openssl]: count 1969, average 574, total 1131026
@q2[ksoftirqd/169]: count 44, average 829, total 36518


@q4[openssl]: count 18070, average 943, total 17053267
@q4[ksoftirqd/169]: count 115, average 950, total 109300

@q5[openssl]: count 135223, average 431, total 58308652
@q5[ksoftirqd/169]: count 767, average 441, total 338535

@uc: count 2601, average 5295, total 13774698

@q1[openssl]: count 385, average 1330, total 512425
