Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 605, average 2737, total 1656198
@q1[ksoftirqd/169]: count 78, average 2829, total 220666
@q1[kworker/169:1]: count 4, average 6449, total 25799

@q2[openssl]: count 968, average 3561, total 3447959
@q2[kworker/169:1]: count 4, average 3649, total 14597
@q2[ksoftirqd/169]: count 148, average 54443, total 8057653


@q4[openssl]: count 28179, average 957, total 26983122
@q4[ksoftirqd/169]: count 4647, average 962, total 4471131
@q4[kworker/169:1]: count 70, average 1427, total 99953

@q5[ksoftirqd/169]: count 36351, average 431, total 15692179
@q5[openssl]: count 221027, average 432, total 95655696
@q5[kworker/169:1]: count 537, average 479, total 257263

@uc: count 5004, average 15176, total 75943232

@q1[openssl]: count 1243, average 2608, total 3242397
@q1[ksoftirqd/169]: count 189, average 2823, total 533734

@q2[openssl]: count 1692, average 628, total 1064052
@q2[ksoftirqd/169]: count 237, average 694, total 164572


@q4[ksoftirqd/169]: count 2203, average 956, total 2107327
@q4[openssl]: count 42023, average 957, total 40244579

@q5[openssl]: count 329160, average 432, total 142469565
@q5[ksoftirqd/169]: count 16825, average 433, total 7286314

@uc: count 1858, average 5492, total 10204844

@q1[openssl]: count 1290, average 2624, total 3385384
@q1[ksoftirqd/169]: count 171, average 2646, total 452545

@q2[openssl]: count 1715, average 633, total 1086634
@q2[ksoftirqd/169]: count 228, average 654, total 149123


@q4[openssl]: count 41881, average 957, total 40117616
@q4[ksoftirqd/169]: count 2293, average 959, total 2201074

@q5[ksoftirqd/169]: count 17544, average 431, total 7562553
@q5[openssl]: count 327938, average 865, total 283704168

@uc: count 1867, average 6407, total 11962025

@q1[openssl]: count 1251, average 2657, total 3324514
@q1[ksoftirqd/169]: count 166, average 2763, total 458742

@q2[openssl]: count 1696, average 633, total 1074259
@q2[ksoftirqd/169]: count 248, average 669, total 166140
@q2[kworker/169:1]: count 1, average 16761, total 16761


@q4[openssl]: count 41890, average 958, total 40154795
@q4[ksoftirqd/169]: count 2535, average 986, total 2501194
@q4[kworker/169:1]: count 11, average 4310, total 47418

@q5[openssl]: count 328146, average 432, total 141842688
@q5[ksoftirqd/169]: count 19471, average 433, total 8441661
@q5[kworker/169:1]: count 86, average 817, total 70331

@uc: count 2245, average 6234, total 13996562

@q1[ksoftirqd/169]: count 174, average 2573, total 447825
@q1[openssl]: count 1151, average 2678, total 3082505

@q2[openssl]: count 1638, average 633, total 1038048
@q2[ksoftirqd/169]: count 243, average 676, total 164418


@q4[ksoftirqd/169]: count 2356, average 956, total 2253950
@q4[openssl]: count 42520, average 958, total 40739807
@q4[kworker/169:1]: count 1, average 5491, total 5491

@q5[openssl]: count 333442, average 431, total 143937751
@q5[ksoftirqd/169]: count 18027, average 433, total 7813770
@q5[kworker/169:1]: count 8, average 993, total 7944

@uc: count 2249, average 5970, total 13428484

@q1[openssl]: count 1121, average 2641, total 2960634
@q1[ksoftirqd/169]: count 162, average 2901, total 470117

@q2[openssl]: count 1590, average 649, total 1033149
@q2[ksoftirqd/169]: count 236, average 656, total 154873


@q4[openssl]: count 42316, average 960, total 40642297
@q4[ksoftirqd/169]: count 2532, average 985, total 2495076

@q5[ksoftirqd/169]: count 19465, average 430, total 8387452
@q5[openssl]: count 331903, average 431, total 143362800

@uc: count 1866, average 5330, total 9947604

@q1[openssl]: count 1170, average 2690, total 3147855
@q1[ksoftirqd/169]: count 158, average 2755, total 435378

@q2[openssl]: count 1625, average 645, total 1049399
@q2[ksoftirqd/169]: count 227, average 666, total 151227


@q4[openssl]: count 84742, average 480, total 40715307
@q4[ksoftirqd/169]: count 2359, average 953, total 2248517

@q5[ksoftirqd/169]: count 18128, average 431, total 7819851
@q5[openssl]: count 332686, average 431, total 143596023

@uc: count 1957, average 6330, total 12389764

@q1[openssl]: count 1105, average 2627, total 2902901
@q1[ksoftirqd/169]: count 169, average 2651, total 448182

@q2[openssl]: count 1564, average 636, total 996162
@q2[ksoftirqd/169]: count 265, average 694, total 184130


@q4[ksoftirqd/169]: count 2533, average 953, total 2415813
@q4[openssl]: count 42317, average 957, total 40504256

@q5[ksoftirqd/169]: count 19391, average 432, total 8388088
