Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 559, average 2776, total 1552068
@q1[ksoftirqd/169]: count 81, average 2838, total 229894
@q1[kworker/169:0]: count 2, average 8145, total 16291

@q2[openssl]: count 921, average 2414, total 2223463
@q2[kworker/169:0]: count 3, average 3423, total 10269
@q2[ksoftirqd/169]: count 157, average 46379, total 7281528


@q4[openssl]: count 27389, average 956, total 26193707
@q4[ksoftirqd/169]: count 4864, average 970, total 4719291
@q4[kworker/169:0]: count 51, average 1331, total 67890

@q5[openssl]: count 214849, average 432, total 92916818
@q5[ksoftirqd/169]: count 38086, average 436, total 16633721
@q5[kworker/169:0]: count 395, average 470, total 185823

@uc: count 10924, average 7174, total 78377200

@q1[openssl]: count 1219, average 2664, total 3247977
@q1[ksoftirqd/169]: count 189, average 2731, total 516263
@q1[kworker/169:0]: count 2, average 10921, total 21842

@q2[openssl]: count 1692, average 655, total 1109003
@q2[ksoftirqd/169]: count 273, average 678, total 185145
@q2[kworker/169:0]: count 3, average 5072, total 15218
@q2[kworker/169:1]: count 1, average 12002, total 12002


@q4[ksoftirqd/169]: count 2871, average 953, total 2737235
@q4[openssl]: count 40862, average 953, total 38978740
@q4[kworker/169:1]: count 49, average 1516, total 74308
@q4[kworker/169:0]: count 16, average 3118, total 49891

@q5[openssl]: count 320017, average 431, total 138159148
@q5[ksoftirqd/169]: count 22065, average 433, total 9563880
@q5[kworker/169:1]: count 387, average 475, total 183923
@q5[kworker/169:0]: count 118, average 685, total 80853

@uc: count 5866, average 3407, total 19985589

@q1[ksoftirqd/169]: count 192, average 2627, total 504477
@q1[openssl]: count 1139, average 2644, total 3012637

@q2[openssl]: count 1571, average 655, total 1029465
@q2[ksoftirqd/169]: count 294, average 681, total 200228


@q4[openssl]: count 40699, average 957, total 38950210
@q4[ksoftirqd/169]: count 3045, average 961, total 2928142

@q5[openssl]: count 319057, average 432, total 137854302
@q5[ksoftirqd/169]: count 23367, average 435, total 10177650

@uc: count 3357, average 5637, total 18924788

@q1[openssl]: count 1125, average 2618, total 2946164
@q1[ksoftirqd/169]: count 205, average 2627, total 538717

@q2[openssl]: count 1586, average 644, total 1022772
@q2[ksoftirqd/169]: count 294, average 656, total 193120


@q4[ksoftirqd/169]: count 3024, average 957, total 2894357
@q4[openssl]: count 41036, average 960, total 39402515

