Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 254, average 1834, total 466010
@q1[ksoftirqd/169]: count 9, average 2502, total 22522

@q2[openssl]: count 1367, average 2921, total 3994070
@q2[ksoftirqd/169]: count 30, average 672981, total 20189448


@q4[openssl]: count 17801, average 965, total 17179255
@q4[ksoftirqd/169]: count 236, average 970, total 229081

@q5[openssl]: count 136692, average 430, total 58878052
@q5[ksoftirqd/169]: count 1692, average 471, total 797560

@uc: count 3212, average 40323, total 129518459

@q1[openssl]: count 532, average 1715, total 912738
@q1[ksoftirqd/169]: count 18, average 2194, total 39492

@q2[openssl]: count 2453, average 630, total 1547585
@q2[ksoftirqd/169]: count 42, average 766, total 32184


@q4[openssl]: count 24120, average 961, total 23193913
@q4[ksoftirqd/169]: count 213, average 1024, total 218221

@q5[openssl]: count 185505, average 429, total 79598911
@q5[ksoftirqd/169]: count 1557, average 437, total 680681

@uc: count 2914, average 5177, total 15086397

@q1[openssl]: count 603, average 1802, total 1086871
@q1[ksoftirqd/169]: count 18, average 2420, total 43561
@q1[kworker/169:0]: count 1, average 16851, total 16851

@q2[openssl]: count 2304, average 628, total 1447919
@q2[ksoftirqd/169]: count 36, average 805, total 29015
@q2[kworker/169:0]: count 1, average 11221, total 11221


@q4[ksoftirqd/169]: count 163, average 957, total 156007
@q4[openssl]: count 24199, average 963, total 23304557
@q4[kworker/169:0]: count 1, average 36329, total 36329

@q5[openssl]: count 185858, average 428, total 79638915
@q5[ksoftirqd/169]: count 1156, average 431, total 499180
@q5[kworker/169:0]: count 3, average 8445, total 25337

@uc: count 2661, average 5363, total 14273036

@q1[openssl]: count 877, average 1815, total 1592344
@q1[ksoftirqd/169]: count 18, average 2805, total 50495
@q1[kworker/169:0]: count 1, average 17843, total 17843

@q2[openssl]: count 2269, average 607, total 1379265
@q2[ksoftirqd/169]: count 28, average 825, total 23103
@q2[kworker/169:0]: count 2, average 7975, total 15951


@q4[openssl]: count 24414, average 957, total 23368501
@q4[ksoftirqd/169]: count 103, average 984, total 101354
@q4[kworker/169:0]: count 25, average 2382, total 59571

@q5[openssl]: count 186182, average 429, total 79889495
@q5[ksoftirqd/169]: count 696, average 444, total 309245
@q5[kworker/169:0]: count 192, average 575, total 110571

@uc: count 2759, average 5080, total 14017527

@q1[openssl]: count 773, average 1822, total 1408804
@q1[ksoftirqd/169]: count 28, average 2610, total 73100

@q2[openssl]: count 2185, average 612, total 1339220
@q2[ksoftirqd/169]: count 42, average 744, total 31248
@q2[kworker/169:0]: count 1, average 12112, total 12112


@q4[ksoftirqd/169]: count 150, average 954, total 143210
@q4[openssl]: count 24334, average 958, total 23321972
@q4[kworker/169:0]: count 19, average 2543, total 48318

@q5[openssl]: count 185955, average 429, total 79801318
@q5[ksoftirqd/169]: count 1022, average 435, total 444708
@q5[kworker/169:0]: count 148, average 585, total 86589

@uc: count 2972, average 5731, total 17032594

@q1[openssl]: count 844, average 1795, total 1515778
@q1[ksoftirqd/169]: count 28, average 2456, total 68769
@q1[kworker/169:0]: count 2, average 6202, total 12404

@q2[openssl]: count 2259, average 607, total 1372492
@q2[ksoftirqd/169]: count 41, average 919, total 37696
@q2[kworker/169:0]: count 3, average 2658, total 7974


@q4[openssl]: count 24359, average 957, total 23320891
@q4[ksoftirqd/169]: count 163, average 1101, total 179621
@q4[kworker/169:0]: count 34, average 1509, total 51337

@q5[openssl]: count 185712, average 429, total 79692914
@q5[ksoftirqd/169]: count 1133, average 445, total 504553
@q5[kworker/169:0]: count 260, average 485, total 126175

@uc: count 2564, average 4996, total 12811111

@q1[openssl]: count 723, average 1819, total 1315238
@q1[ksoftirqd/169]: count 28, average 2195, total 61487
@q1[kworker/169:0]: count 6, average 3630, total 21780

@q2[openssl]: count 2265, average 616, total 1395306
@q2[ksoftirqd/169]: count 46, average 831, total 38233
@q2[kworker/169:0]: count 6, average 1689, total 10139


@q4[openssl]: count 24270, average 959, total 23278679
@q4[ksoftirqd/169]: count 181, average 991, total 179471
@q4[kworker/169:0]: count 15, average 2216, total 33252

@q5[openssl]: count 185740, average 429, total 79742357
@q5[ksoftirqd/169]: count 1245, average 441, total 549519
@q5[kworker/169:0]: count 88, average 603, total 53088

@uc: count 2662, average 5058, total 13464595

@q1[openssl]: count 530, average 1701, total 901885
@q1[ksoftirqd/169]: count 20, average 2733, total 54672

@q2[openssl]: count 2445, average 636, total 1556081
@q2[ksoftirqd/169]: count 44, average 746, total 32852
@q2[kworker/169:0]: count 1, average 13695, total 13695


@q4[openssl]: count 24054, average 964, total 23188923
@q4[ksoftirqd/169]: count 261, average 973, total 254033
@q4[kworker/169:0]: count 15, average 3445, total 51676

@q5[openssl]: count 185035, average 429, total 79554992
@q5[ksoftirqd/169]: count 1923, average 436, total 838941
@q5[kworker/169:0]: count 116, average 667, total 77413

@uc: count 2979, average 4855, total 14465590

@q1[openssl]: count 533, average 1721, total 917447
@q1[ksoftirqd/169]: count 17, average 2026, total 34455

@q2[openssl]: count 2451, average 635, total 1556685
@q2[ksoftirqd/169]: count 43, average 857, total 36858


@q4[openssl]: count 24104, average 963, total 23225698
@q4[ksoftirqd/169]: count 222, average 974, total 216265

@q5[openssl]: count 185458, average 429, total 79715563
@q5[ksoftirqd/169]: count 1604, average 432, total 694469

@uc: count 3158, average 5291, total 16711101

@q1[openssl]: count 528, average 1695, total 895227
@q1[ksoftirqd/169]: count 22, average 2202, total 48462

@q2[openssl]: count 2455, average 632, total 1553771
@q2[ksoftirqd/169]: count 58, average 762, total 44231


@q4[openssl]: count 24125, average 960, total 23178614
@q4[ksoftirqd/169]: count 218, average 996, total 217158

@q5[openssl]: count 185494, average 430, total 79788190
@q5[ksoftirqd/169]: count 1550, average 434, total 673635

@uc: count 2779, average 5000, total 13897050

@q1[openssl]: count 538, average 1726, total 928661
@q1[ksoftirqd/169]: count 15, average 2043, total 30649

@q2[openssl]: count 2452, average 639, total 1567909
@q2[ksoftirqd/169]: count 36, average 752, total 27089


@q4[openssl]: count 24115, average 964, total 23265717
@q4[ksoftirqd/169]: count 210, average 966, total 202939

@q5[openssl]: count 185578, average 430, total 79817650
@q5[ksoftirqd/169]: count 1519, average 437, total 663804

@uc: count 3373, average 13148, total 44348607

@q1[openssl]: count 534, average 1739, total 928902
@q1[ksoftirqd/169]: count 17, average 2425, total 41228
@q1[kworker/169:0]: count 1, average 16210, total 16210

@q2[openssl]: count 2441, average 642, total 1567881
@q2[ksoftirqd/169]: count 42, average 753, total 31659
@q2[kworker/169:0]: count 2, average 4738, total 9477


@q4[ksoftirqd/169]: count 226, average 965, total 218108
@q4[openssl]: count 24090, average 965, total 23265652
@q4[kworker/169:0]: count 13, average 3803, total 49442

@q5[openssl]: count 185321, average 429, total 79673380
@q5[ksoftirqd/169]: count 1640, average 433, total 710451
@q5[kworker/169:0]: count 98, average 715, total 70152

@uc: count 2901, average 5000, total 14507312

@q1[openssl]: count 531, average 1710, total 908036
@q1[ksoftirqd/169]: count 18, average 1950, total 35116
@q1[kworker/169:0]: count 2, average 8476, total 16952

@q2[openssl]: count 2438, average 633, total 1544006
@q2[ksoftirqd/169]: count 46, average 839, total 38622
@q2[kworker/169:0]: count 3, average 3109, total 9328


@q4[ksoftirqd/169]: count 254, average 953, total 242303
@q4[openssl]: count 24070, average 960, total 23125686
@q4[kworker/169:0]: count 16, average 2320, total 37131

@q5[openssl]: count 185116, average 430, total 79603459
@q5[ksoftirqd/169]: count 1836, average 433, total 796407
@q5[kworker/169:0]: count 117, average 542, total 63500

@uc: count 3124, average 5718, total 17863264

@q1[openssl]: count 539, average 1720, total 927131
@q1[ksoftirqd/169]: count 19, average 2185, total 41531
@q1[kworker/169:0]: count 2, average 8405, total 16811

@q2[openssl]: count 2445, average 635, total 1554854
@q2[ksoftirqd/169]: count 42, average 731, total 30715
@q2[kworker/169:0]: count 4, average 2540, total 10161


@q4[openssl]: count 24118, average 961, total 23182738
@q4[ksoftirqd/169]: count 198, average 985, total 195163
@q4[kworker/169:0]: count 27, average 1330, total 35926

@q5[openssl]: count 185439, average 430, total 79810763
@q5[ksoftirqd/169]: count 1426, average 434, total 618911
@q5[kworker/169:0]: count 201, average 482, total 97021

@uc: count 2840, average 5517, total 15671021

@q1[openssl]: count 953, average 1804, total 1719573
@q1[ksoftirqd/169]: count 34, average 2157, total 73343
@q1[kworker/169:0]: count 3, average 3509, total 10529

@q2[openssl]: count 2348, average 608, total 1428703
@q2[ksoftirqd/169]: count 53, average 732, total 38844
@q2[kworker/169:0]: count 5, average 1761, total 8806


@q4[openssl]: count 24411, average 955, total 23335378
@q4[ksoftirqd/169]: count 192, average 957, total 183773
@q4[kworker/169:0]: count 17, average 1492, total 25377

@q5[openssl]: count 185652, average 429, total 79717877
@q5[ksoftirqd/169]: count 1321, average 435, total 574898
@q5[kworker/169:0]: count 115, average 472, total 54343

@uc: count 2734, average 5014, total 13708491

@q1[openssl]: count 725, average 1778, total 1289343
@q1[ksoftirqd/169]: count 24, average 2143, total 51445

@q2[openssl]: count 2333, average 626, total 1461218
@q2[ksoftirqd/169]: count 43, average 879, total 37830


@q4[openssl]: count 24245, average 960, total 23279760
@q4[ksoftirqd/169]: count 219, average 975, total 213614

@q5[openssl]: count 185419, average 429, total 79712015
@q5[ksoftirqd/169]: count 1581, average 435, total 688389

@uc: count 2738, average 5415, total 14827976

@q1[openssl]: count 530, average 1711, total 907230
@q1[ksoftirqd/169]: count 20, average 2043, total 40878
@q1[kworker/169:0]: count 1, average 18274, total 18274

@q2[openssl]: count 2447, average 644, total 1578071
@q2[ksoftirqd/169]: count 47, average 728, total 34229
@q2[kworker/169:0]: count 2, average 8005, total 16011


@q4[openssl]: count 24106, average 965, total 23274501
@q4[ksoftirqd/169]: count 220, average 973, total 214210
@q4[kworker/169:0]: count 16, average 3320, total 53132

@q5[openssl]: count 185433, average 430, total 79776252
@q5[ksoftirqd/169]: count 1557, average 437, total 681511
@q5[kworker/169:0]: count 122, average 671, total 81933

@uc: count 3043, average 5367, total 16333830

@q1[openssl]: count 529, average 1723, total 911569
@q1[ksoftirqd/169]: count 21, average 2200, total 46201

@q2[openssl]: count 2440, average 634, total 1549156
@q2[ksoftirqd/169]: count 47, average 1009, total 47453
@q2[kworker/169:0]: count 1, average 21491, total 21491


@q4[openssl]: count 24073, average 963, total 23190025
