Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[openssl]: count 1803, average 1061, total 1913989
@q4[ksoftirqd/169]: count 15582, average 1284, total 20009257

@q5[ksoftirqd/169]: count 123843, average 433, total 53647818
@q5[openssl]: count 14220, average 441, total 6282478

@uc: count 3616, average 33149, total 119868501




@q4[ksoftirqd/169]: count 21184, average 1241, total 26289508

@q5[ksoftirqd/169]: count 168481, average 430, total 72514775

@uc: count 5526, average 5394, total 29811300




@q4[ksoftirqd/169]: count 21249, average 1246, total 26476622

@q5[ksoftirqd/169]: count 169006, average 432, total 73016547

@uc: count 6904, average 4203, total 29021801




@q4[ksoftirqd/169]: count 21214, average 1244, total 26399662

@q5[ksoftirqd/169]: count 168664, average 430, total 72664586

@uc: count 7312, average 2428, total 17757633




@q4[ksoftirqd/169]: count 21947, average 1236, total 27145870

@q5[ksoftirqd/169]: count 174558, average 429, total 74998078

@uc: count 5526, average 2895, total 16003157




@q4[ksoftirqd/169]: count 21827, average 1243, total 27134820

@q5[ksoftirqd/169]: count 173562, average 429, total 74626449

@uc: count 4835, average 2684, total 12977664




@q4[ksoftirqd/169]: count 21983, average 1237, total 27193511

@q5[ksoftirqd/169]: count 174788, average 429, total 75103768

@uc: count 5526, average 3164, total 17484848




@q4[ksoftirqd/169]: count 21424, average 1244, total 26657927

@q5[ksoftirqd/169]: count 170389, average 430, total 73400243

@uc: count 4820, average 3164, total 15253264




@q4[ksoftirqd/169]: count 21408, average 1242, total 26594415

@q5[ksoftirqd/169]: count 170263, average 431, total 73437660

@uc: count 5214, average 3048, total 15894459




@q4[ksoftirqd/169]: count 21416, average 1243, total 26623350

@q5[ksoftirqd/169]: count 170326, average 430, total 73289118

@uc: count 5035, average 7546, total 37998739




@q4[ksoftirqd/169]: count 21401, average 1242, total 26584248

@q5[ksoftirqd/169]: count 170278, average 431, total 73399774

@uc: count 6331, average 4392, total 27810026




@q4[ksoftirqd/169]: count 21611, average 1252, total 27060302

@q5[ksoftirqd/169]: count 171937, average 430, total 74061728

@uc: count 3753, average 3738, total 14031042




@q4[ksoftirqd/169]: count 21635, average 1246, total 26968952

@q5[ksoftirqd/169]: count 172055, average 430, total 74001302

@uc: count 4375, average 3181, total 13917929




@q4[ksoftirqd/169]: count 21840, average 1240, total 27089036

@q5[ksoftirqd/169]: count 173698, average 430, total 74723273

@uc: count 5920, average 2442, total 14461558




@q4[ksoftirqd/169]: count 21648, average 1249, total 27057499

@q5[ksoftirqd/169]: count 172171, average 430, total 74108992

@uc: count 5604, average 12243, total 68612199




@q4[ksoftirqd/169]: count 21433, average 1248, total 26752215

@q5[ksoftirqd/169]: count 170527, average 430, total 73483379

@uc: count 5715, average 5292, total 30245096




@q4[ksoftirqd/169]: count 21095, average 1245, total 26278315

@q5[ksoftirqd/169]: count 167825, average 430, total 72245423

@uc: count 6471, average 2996, total 19391495




@q4[ksoftirqd/169]: count 21416, average 1244, total 26652018

@q5[ksoftirqd/169]: count 170318, average 430, total 73338482

@uc: count 5753, average 4762, total 27396680




@q4[ksoftirqd/169]: count 21547, average 1239, total 26710300

@q5[ksoftirqd/169]: count 171432, average 430, total 73827071

@uc: count 6168, average 2808, total 17325888




@q4[ksoftirqd/169]: count 21274, average 1247, total 26548989

@q5[ksoftirqd/169]: count 169256, average 431, total 73017062

@uc: count 8301, average 2287, total 18991020




@q4[ksoftirqd/169]: count 21051, average 1249, total 26307721

@q5[ksoftirqd/169]: count 336675, average 214, total 72378308

@uc: count 9767, average 2881, total 28143380




@q4[ksoftirqd/169]: count 21672, average 1227, total 26612926

@q5[ksoftirqd/169]: count 172362, average 429, total 73994565

@uc: count 9842, average 2194, total 21597143




@q4[ksoftirqd/169]: count 21339, average 1230, total 26250438

@q5[ksoftirqd/169]: count 169780, average 430, total 73071904

@uc: count 12186, average 2347, total 28606266




@q4[ksoftirqd/169]: count 20727, average 1255, total 26012938

@q5[ksoftirqd/169]: count 164903, average 432, total 71279619

@uc: count 9867, average 2038, total 20111814




@q4[ksoftirqd/169]: count 20885, average 1242, total 25949920

@q5[ksoftirqd/169]: count 166095, average 431, total 71635495

@uc: count 9888, average 1904, total 18830490




@q4[ksoftirqd/169]: count 21148, average 1245, total 26341041

@q5[ksoftirqd/169]: count 168255, average 431, total 72524589

@uc: count 8124, average 2170, total 17630351




@q4[ksoftirqd/169]: count 42659, average 622, total 26555371

@q5[ksoftirqd/169]: count 171084, average 429, total 73552946

@uc: count 8166, average 2178, total 17793274




@q4[ksoftirqd/169]: count 21624, average 1241, total 26854592

@q5[ksoftirqd/169]: count 172036, average 430, total 73991222

@uc: count 7154, average 2440, total 17461700




@q4[ksoftirqd/169]: count 21116, average 1249, total 26378517

@q5[ksoftirqd/169]: count 167931, average 431, total 72416540

@uc: count 7689, average 2228, total 17135095




@q4[ksoftirqd/169]: count 21551, average 1233, total 26590531

@q5[ksoftirqd/169]: count 171476, average 429, total 73658271

@uc: count 8360, average 1880, total 15717585




@q4[ksoftirqd/169]: count 21032, average 1250, total 26306133

@q5[ksoftirqd/169]: count 167259, average 431, total 72135529

@uc: count 8248, average 2195, total 18109737




@q4[ksoftirqd/169]: count 21201, average 1243, total 26354735

@q5[ksoftirqd/169]: count 168687, average 430, total 72666553

@uc: count 8808, average 2103, total 18526227




@q4[ksoftirqd/169]: count 21582, average 1248, total 26937146

@q5[ksoftirqd/169]: count 171639, average 430, total 73835869

@uc: count 6858, average 2373, total 16277544




@q4[ksoftirqd/169]: count 20627, average 1252, total 25831596

@q5[ksoftirqd/169]: count 164114, average 431, total 70842493

@uc: count 7902, average 3823, total 30211395




@q4[ksoftirqd/169]: count 21374, average 1250, total 26727807

@q5[ksoftirqd/169]: count 170049, average 430, total 73243602

@uc: count 5410, average 5208, total 28179791




@q4[ksoftirqd/169]: count 21456, average 1251, total 26844982

@q5[ksoftirqd/169]: count 170695, average 431, total 73643630

@uc: count 7299, average 2424, total 17698690




@q4[ksoftirqd/169]: count 21118, average 1245, total 26307219

@q5[ksoftirqd/169]: count 168013, average 431, total 72531776

@uc: count 12812, average 1294, total 16591319




@q4[ksoftirqd/169]: count 20507, average 1266, total 25963910

@q5[ksoftirqd/169]: count 163159, average 435, total 71002857

@uc: count 8352, average 2433, total 20321878




@q4[ksoftirqd/169]: count 21189, average 1256, total 26627242

@q5[ksoftirqd/169]: count 168512, average 431, total 72729346

@uc: count 7316, average 3180, total 23270156




@q4[ksoftirqd/169]: count 20779, average 1243, total 25845851

@q5[ksoftirqd/169]: count 165332, average 432, total 71447730

@uc: count 8274, average 3512, total 29061148




@q4[ksoftirqd/169]: count 21319, average 1256, total 26789025

@q5[ksoftirqd/169]: count 169618, average 431, total 73153851

@uc: count 7475, average 2857, total 21356771




@q4[ksoftirqd/169]: count 20825, average 1259, total 26239299

@q5[ksoftirqd/169]: count 165682, average 433, total 71782236

@uc: count 7520, average 2505, total 18844134




@q4[ksoftirqd/169]: count 20931, average 1259, total 26370387

@q5[ksoftirqd/169]: count 166459, average 432, total 71974216

@uc: count 7939, average 2781, total 22079928




@q4[ksoftirqd/169]: count 21224, average 1241, total 26345541

@q5[ksoftirqd/169]: count 168869, average 430, total 72651900

@uc: count 8366, average 2361, total 19760252




@q4[ksoftirqd/169]: count 21912, average 1241, total 27208989

@q5[ksoftirqd/169]: count 174256, average 430, total 74948249

@uc: count 6739, average 2306, total 15542827




@q4[ksoftirqd/169]: count 21411, average 1244, total 26648876

@q5[ksoftirqd/169]: count 170355, average 430, total 73372435

@uc: count 5755, average 4237, total 24385519




@q4[ksoftirqd/169]: count 21733, average 1246, total 27098960

@q5[ksoftirqd/169]: count 172836, average 430, total 74407762

@uc: count 6658, average 2608, total 17366556




@q4[ksoftirqd/169]: count 21299, average 1251, total 26658625

@q5[ksoftirqd/169]: count 169459, average 431, total 73052573

@uc: count 6249, average 2594, total 16210011




@q4[ksoftirqd/169]: count 21024, average 1253, total 26362338

@q5[ksoftirqd/169]: count 167272, average 431, total 72203455

@uc: count 5338, average 2955, total 15774897




@q4[ksoftirqd/169]: count 21572, average 1259, total 27175868

@q5[ksoftirqd/169]: count 171558, average 431, total 74009949

@uc: count 5439, average 2847, total 15488889




@q4[ksoftirqd/169]: count 21608, average 1248, total 26968209

@q5[ksoftirqd/169]: count 171853, average 430, total 73908707

@uc: count 4323, average 3553, total 15361760




@q4[ksoftirqd/169]: count 21448, average 1250, total 26819968

@q5[ksoftirqd/169]: count 170580, average 430, total 73499765

@uc: count 4405, average 4124, total 18170438




@q4[ksoftirqd/169]: count 21296, average 1250, total 26621491

@q5[ksoftirqd/169]: count 169372, average 430, total 72912907

@uc: count 6191, average 2789, total 17268696




@q4[ksoftirqd/169]: count 21504, average 1245, total 26782963

@q5[ksoftirqd/169]: count 171026, average 431, total 73767406

@uc: count 7650, average 2317, total 17731688




@q4[ksoftirqd/169]: count 21448, average 1256, total 26957087

@q5[ksoftirqd/169]: count 170581, average 430, total 73463502

@uc: count 4340, average 8677, total 37658545




@q4[ksoftirqd/169]: count 21520, average 1265, total 27243817

@q5[ksoftirqd/169]: count 171153, average 431, total 73857004

@uc: count 4475, average 3695, total 16537456




@q4[ksoftirqd/169]: count 21304, average 1251, total 26665168

@q5[ksoftirqd/169]: count 169435, average 431, total 73060092

@uc: count 5560, average 5118, total 28457290

@q1[ksoftirqd/169]: count 48, average 2806, total 134703
@q1[swapper/169]: count 243, average 3202, total 778266
@q1[kworker/169:1]: count 1, average 8116, total 8116

@q2[swapper/169]: count 353, average 683, total 241326
@q2[ksoftirqd/169]: count 74, average 1210, total 89566
@q2[kworker/169:1]: count 2, average 3110, total 6221


@q4[swapper/169]: count 7233, average 1033, total 7478872
@q4[kworker/169:1]: count 47, average 1069, total 50249
@q4[ksoftirqd/169]: count 24224, average 1256, total 30443595

@q5[kworker/169:1]: count 370, average 445, total 164761
@q5[swapper/169]: count 56730, average 461, total 26173806
@q5[ksoftirqd/169]: count 192516, average 487, total 93847238

@uc: count 15052, average 2952, total 44441414
