Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 506, average 2599, total 1315346
@q1[ksoftirqd/169]: count 66, average 2662, total 175742
@q1[kworker/169:2]: count 4, average 5870, total 23483

@q2[openssl]: count 979, average 1866, total 1827480
@q2[kworker/169:2]: count 6, average 2045, total 12273
@q2[ksoftirqd/169]: count 142, average 28230, total 4008776


@q4[openssl]: count 28024, average 957, total 26845717
@q4[ksoftirqd/169]: count 3726, average 996, total 3712138
@q4[kworker/169:2]: count 18, average 1169, total 21051
@q4[kworker/169:0]: count 10, average 3370, total 33703

@q5[openssl]: count 219482, average 433, total 95187932
@q5[ksoftirqd/169]: count 29074, average 440, total 12804104
@q5[kworker/169:2]: count 113, average 471, total 53236
@q5[kworker/169:0]: count 64, average 650, total 41659

@uc: count 4302, average 24540, total 105571341

@q1[openssl]: count 890, average 2442, total 2173554
@q1[ksoftirqd/169]: count 144, average 2559, total 368601
@q1[kworker/169:2]: count 1, average 16871, total 16871

@q2[openssl]: count 1568, average 643, total 1009251
@q2[ksoftirqd/169]: count 236, average 659, total 155628
@q2[kworker/169:2]: count 2, average 4288, total 8576


@q4[openssl]: count 39839, average 958, total 38174992
@q4[ksoftirqd/169]: count 2669, average 970, total 2590426
@q4[kworker/169:2]: count 46, average 1519, total 69902

@q5[openssl]: count 312343, average 431, total 134847703
@q5[ksoftirqd/169]: count 20533, average 432, total 8871529
@q5[kworker/169:2]: count 363, average 483, total 175545

@uc: count 2145, average 5801, total 12443462

@q1[openssl]: count 925, average 2495, total 2308207
@q1[ksoftirqd/169]: count 137, average 2596, total 355654

@q2[openssl]: count 1623, average 642, total 1043521
@q2[ksoftirqd/169]: count 215, average 724, total 155714


@q4[ksoftirqd/169]: count 2278, average 951, total 2168131
@q4[openssl]: count 40551, average 959, total 38889336

@q5[ksoftirqd/169]: count 17390, average 432, total 7522510
@q5[openssl]: count 317862, average 432, total 137325746

@uc: count 1907, average 6715, total 12805791

@q1[openssl]: count 967, average 2447, total 2366987
@q1[ksoftirqd/169]: count 150, average 2642, total 396365

@q2[openssl]: count 1617, average 635, total 1028127
@q2[ksoftirqd/169]: count 225, average 719, total 161949


@q4[openssl]: count 40422, average 954, total 38584946
@q4[ksoftirqd/169]: count 2605, average 971, total 2531309

@q5[openssl]: count 316692, average 431, total 136760994
@q5[ksoftirqd/169]: count 20101, average 432, total 8699221

@uc: count 2367, average 6318, total 14955856

@q1[openssl]: count 1149, average 2535, total 2913111
@q1[ksoftirqd/169]: count 166, average 2651, total 440074

@q2[openssl]: count 1654, average 636, total 1053146
@q2[ksoftirqd/169]: count 231, average 707, total 163317


@q4[openssl]: count 41168, average 957, total 39409591
