Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 579, average 2618, total 1515919
@q1[ksoftirqd/169]: count 100, average 2806, total 280684
@q1[kworker/169:0]: count 7, average 4534, total 31742

@q2[ksoftirqd/169]: count 170, average 680, total 115746
@q2[kworker/169:0]: count 8, average 1969, total 15759
@q2[openssl]: count 967, average 2866, total 2772091


@q4[openssl]: count 26994, average 972, total 26256391
@q4[ksoftirqd/169]: count 4965, average 992, total 4925572
@q4[kworker/169:0]: count 61, average 1431, total 87314

@q5[openssl]: count 211363, average 433, total 91623565
@q5[ksoftirqd/169]: count 38789, average 437, total 16963910
@q5[kworker/169:0]: count 457, average 693, total 316857

@uc: count 5119, average 15513, total 79413719

@q1[openssl]: count 115, average 2610, total 300211
@q1[ksoftirqd/169]: count 22, average 2900, total 63800

@q2[openssl]: count 182, average 701, total 127669
@q2[ksoftirqd/169]: count 31, average 824, total 25559


@q4[openssl]: count 4571, average 965, total 4411228
@q4[ksoftirqd/169]: count 19658, average 1242, total 24431465

@q5[ksoftirqd/169]: count 156277, average 432, total 67564058
@q5[openssl]: count 35777, average 432, total 15488569

@uc: count 4673, average 13108, total 61254881




@q4[ksoftirqd/169]: count 21468, average 1244, total 26712489

@q5[ksoftirqd/169]: count 170723, average 431, total 73629796

@uc: count 5055, average 6429, total 32503639




@q4[ksoftirqd/169]: count 22147, average 1240, total 27471152

@q5[ksoftirqd/169]: count 176212, average 431, total 76028789

@uc: count 3740, average 4090, total 15296797




@q4[ksoftirqd/169]: count 21540, average 1236, total 26637953

@q5[ksoftirqd/169]: count 171304, average 430, total 73776796

@uc: count 4820, average 2667, total 12856993




@q4[ksoftirqd/169]: count 21136, average 1249, total 26417503

@q5[ksoftirqd/169]: count 168099, average 433, total 72798020

@uc: count 7703, average 2028, total 15628707




@q4[ksoftirqd/169]: count 21347, average 1248, total 26652038

@q5[ksoftirqd/169]: count 169849, average 430, total 73201689

@uc: count 7474, average 3769, total 28175977




@q4[ksoftirqd/169]: count 20796, average 1249, total 25975929

@q5[ksoftirqd/169]: count 165379, average 432, total 71480161

@uc: count 6535, average 2740, total 17910972




@q4[ksoftirqd/169]: count 22208, average 1236, total 27452917

@q5[ksoftirqd/169]: count 176697, average 431, total 76175353
