Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 526, average 2609, total 1372418
@q1[ksoftirqd/169]: count 66, average 2862, total 188908
@q1[kworker/169:2]: count 3, average 7293, total 21880

@q2[openssl]: count 990, average 2587, total 2561907
@q2[kworker/169:2]: count 3, average 3099, total 9298
@q2[ksoftirqd/169]: count 120, average 32041, total 3844942


@q4[ksoftirqd/169]: count 3879, average 958, total 3719683
@q4[openssl]: count 27920, average 968, total 27049360
@q4[kworker/169:2]: count 24, average 1933, total 46413

@q5[openssl]: count 218686, average 434, total 95016326
@q5[ksoftirqd/169]: count 30311, average 437, total 13264414
@q5[kworker/169:2]: count 159, average 514, total 81777

@uc: count 5183, average 15976, total 82807143

@q1[openssl]: count 1009, average 2490, total 2513205
@q1[ksoftirqd/169]: count 163, average 2785, total 453959

@q2[openssl]: count 1614, average 636, total 1028029
@q2[ksoftirqd/169]: count 220, average 679, total 149556
@q2[kworker/169:2]: count 2, average 8136, total 16272


@q4[ksoftirqd/169]: count 2693, average 959, total 2584421
@q4[openssl]: count 40461, average 965, total 39073670
@q4[kworker/169:2]: count 49, average 1702, total 83414

@q5[openssl]: count 317014, average 432, total 137062117
@q5[ksoftirqd/169]: count 20789, average 435, total 9045986
@q5[kworker/169:2]: count 387, average 501, total 194111

@uc: count 2148, average 5509, total 11833748

@q1[openssl]: count 1069, average 2510, total 2683857
@q1[ksoftirqd/169]: count 173, average 2771, total 479427

@q2[openssl]: count 1654, average 639, total 1058328
@q2[ksoftirqd/169]: count 219, average 675, total 147993
@q2[kworker/169:2]: count 2, average 7158, total 14316


@q4[ksoftirqd/169]: count 2814, average 963, total 2711778
@q4[openssl]: count 40451, average 966, total 39077466
@q4[kworker/169:2]: count 53, average 1604, total 85040

@q5[ksoftirqd/169]: count 21740, average 432, total 9404891
@q5[openssl]: count 316839, average 432, total 137025554
@q5[kworker/169:2]: count 419, average 494, total 207075

@uc: count 1945, average 6061, total 11789360

@q1[openssl]: count 1173, average 2582, total 3029848
@q1[ksoftirqd/169]: count 161, average 2707, total 435978

@q2[openssl]: count 1684, average 639, total 1076772
