Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 565, average 2660, total 1503262
@q1[ksoftirqd/169]: count 70, average 2800, total 196039
@q1[kworker/169:1]: count 6, average 4722, total 28333

@q2[kworker/169:1]: count 7, average 1893, total 13255
@q2[openssl]: count 1002, average 2857, total 2863492
@q2[ksoftirqd/169]: count 131, average 52162, total 6833329


@q4[openssl]: count 28817, average 962, total 27745978
@q4[ksoftirqd/169]: count 3256, average 995, total 3242820
@q4[kworker/169:1]: count 11, average 3244, total 35688

@q5[ksoftirqd/169]: count 25352, average 434, total 11017785
@q5[openssl]: count 225710, average 434, total 98091636
@q5[kworker/169:1]: count 69, average 655, total 45238

@uc: count 3856, average 17971, total 69299190

@q1[openssl]: count 994, average 2513, total 2498299
@q1[ksoftirqd/169]: count 138, average 2697, total 372289
@q1[kworker/169:1]: count 1, average 19046, total 19046

@q2[openssl]: count 1651, average 634, total 1046816
@q2[ksoftirqd/169]: count 210, average 661, total 138882
@q2[kworker/169:1]: count 1, average 13716, total 13716


@q4[openssl]: count 40964, average 957, total 39210421
@q4[ksoftirqd/169]: count 2308, average 959, total 2215466
@q4[kworker/169:1]: count 1, average 35847, total 35847

@q5[ksoftirqd/169]: count 17764, average 430, total 7653093
@q5[openssl]: count 320966, average 431, total 138605109
@q5[kworker/169:1]: count 7, average 4243, total 29707

@uc: count 2379, average 11271, total 26815735

@q1[openssl]: count 995, average 2507, total 2494924
@q1[ksoftirqd/169]: count 138, average 2851, total 393474

@q2[openssl]: count 1633, average 637, total 1041083
@q2[ksoftirqd/169]: count 209, average 666, total 139281


@q4[openssl]: count 40879, average 958, total 39185657
@q4[ksoftirqd/169]: count 2318, average 972, total 2255399

@q5[ksoftirqd/169]: count 17869, average 430, total 7685824
@q5[openssl]: count 320287, average 431, total 138350224

@uc: count 2053, average 6152, total 12630975

@q1[openssl]: count 1015, average 2520, total 2558755
@q1[ksoftirqd/169]: count 129, average 2569, total 331509
@q1[kworker/169:1]: count 1, average 19417, total 19417

@q2[openssl]: count 1663, average 630, total 1048197
@q2[ksoftirqd/169]: count 197, average 706, total 139107
@q2[kworker/169:1]: count 1, average 14356, total 14356


@q4[ksoftirqd/169]: count 2117, average 956, total 2024417
@q4[openssl]: count 41334, average 959, total 39650222
@q4[kworker/169:1]: count 1, average 37501, total 37501

@q5[ksoftirqd/169]: count 16251, average 430, total 6999248
@q5[openssl]: count 323886, average 432, total 139926231
@q5[kworker/169:1]: count 7, average 4909, total 34364

@uc: count 1865, average 5911, total 11024036

@q1[openssl]: count 1102, average 2555, total 2816158
@q1[ksoftirqd/169]: count 145, average 2782, total 403472

@q2[openssl]: count 1681, average 632, total 1062423
@q2[ksoftirqd/169]: count 209, average 665, total 139117
@q2[kworker/169:1]: count 2, average 5500, total 11000


@q4[ksoftirqd/169]: count 2131, average 955, total 2036592
@q4[openssl]: count 41410, average 957, total 39636986
@q4[kworker/169:1]: count 48, average 1559, total 74861

@q5[ksoftirqd/169]: count 16383, average 430, total 7049849
@q5[openssl]: count 324329, average 431, total 140071294
