Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 541, average 2671, total 1445213
@q1[ksoftirqd/169]: count 109, average 2714, total 295902
@q1[kworker/169:0]: count 3, average 7036, total 21110

@q2[openssl]: count 916, average 1457, total 1334778
@q2[kworker/169:0]: count 3, average 3556, total 10669
@q2[ksoftirqd/169]: count 184, average 32070, total 5901005


@q4[ksoftirqd/169]: count 4506, average 955, total 4304167
@q4[openssl]: count 27986, average 959, total 26864197
@q4[kworker/169:0]: count 15, average 3332, total 49984

@q5[ksoftirqd/169]: count 35156, average 434, total 15278161
@q5[openssl]: count 219349, average 435, total 95499993
@q5[kworker/169:0]: count 113, average 701, total 79307

@uc: count 5384, average 16549, total 89105051

@q1[openssl]: count 1066, average 2554, total 2722834
@q1[ksoftirqd/169]: count 236, average 2746, total 648138

@q2[openssl]: count 1592, average 635, total 1010989
@q2[ksoftirqd/169]: count 295, average 684, total 201962


@q4[ksoftirqd/169]: count 3289, average 953, total 3135304
@q4[openssl]: count 40318, average 960, total 38725685

@q5[ksoftirqd/169]: count 25248, average 432, total 10914112
@q5[openssl]: count 315908, average 433, total 137021120

@uc: count 2383, average 4647, total 11074608

@q1[openssl]: count 1106, average 2503, total 2768832
@q1[ksoftirqd/169]: count 235, average 2717, total 638544

@q2[openssl]: count 1607, average 629, total 1011462
@q2[ksoftirqd/169]: count 292, average 690, total 201663


@q4[openssl]: count 40763, average 961, total 39178876
@q4[ksoftirqd/169]: count 3078, average 963, total 2965866

@q5[ksoftirqd/169]: count 23616, average 431, total 10188851
@q5[openssl]: count 319274, average 433, total 138509357

@uc: count 2054, average 5575, total 11451063

@q1[openssl]: count 1098, average 2554, total 2804890
@q1[ksoftirqd/169]: count 227, average 2692, total 611198

@q2[openssl]: count 1583, average 638, total 1011489
@q2[ksoftirqd/169]: count 304, average 687, total 208850


@q4[openssl]: count 40541, average 962, total 39037096
