Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 493, average 2634, total 1298746
@q1[ksoftirqd/169]: count 63, average 2695, total 169811
@q1[kworker/169:2]: count 4, average 6251, total 25006

@q2[openssl]: count 922, average 1621, total 1495266
@q2[kworker/169:2]: count 5, average 2825, total 14126
@q2[ksoftirqd/169]: count 132, average 71619, total 9453715


@q4[openssl]: count 28188, average 968, total 27299578
@q4[ksoftirqd/169]: count 3482, average 972, total 3385310
@q4[kworker/169:2]: count 17, average 2572, total 43733

@q5[openssl]: count 220829, average 433, total 95790212
@q5[ksoftirqd/169]: count 27172, average 434, total 11801248
@q5[kworker/169:2]: count 118, average 603, total 71178

@uc: count 5020, average 14914, total 74868366

@q1[openssl]: count 903, average 2424, total 2189729
@q1[ksoftirqd/169]: count 143, average 2496, total 356978
@q1[kworker/169:2]: count 1, average 17042, total 17042

@q2[openssl]: count 1593, average 638, total 1016818
@q2[ksoftirqd/169]: count 230, average 657, total 151147
@q2[kworker/169:2]: count 1, average 14387, total 14387


@q4[ksoftirqd/169]: count 2465, average 960, total 2366916
@q4[openssl]: count 40379, average 960, total 38772909
@q4[kworker/169:2]: count 47, average 1702, total 80030

@q5[openssl]: count 537397, average 254, total 136882755
@q5[ksoftirqd/169]: count 18910, average 432, total 8181499
@q5[kworker/169:2]: count 370, average 505, total 187187

@uc: count 2233, average 5967, total 13325801

@q1[openssl]: count 914, average 2431, total 2222788
@q1[ksoftirqd/169]: count 135, average 2533, total 342037

@q2[openssl]: count 1604, average 645, total 1035795
@q2[ksoftirqd/169]: count 214, average 662, total 141793


@q4[openssl]: count 40529, average 961, total 38973037
@q4[ksoftirqd/169]: count 2267, average 966, total 2191796

@q5[ksoftirqd/169]: count 17393, average 432, total 7517870
@q5[openssl]: count 317643, average 432, total 137298284

@uc: count 1923, average 5953, total 11449282

@q1[openssl]: count 904, average 2439, total 2205326
@q1[ksoftirqd/169]: count 135, average 2579, total 348212

@q2[openssl]: count 1564, average 644, total 1007994
@q2[ksoftirqd/169]: count 216, average 681, total 147273


@q4[ksoftirqd/169]: count 2182, average 956, total 2087980
@q4[openssl]: count 40630, average 963, total 39139546

@q5[openssl]: count 318637, average 432, total 137859381
@q5[ksoftirqd/169]: count 16717, average 433, total 7246691

@uc: count 1890, average 5721, total 10813026

@q1[openssl]: count 915, average 2452, total 2244064
@q1[ksoftirqd/169]: count 151, average 2679, total 404559

@q2[openssl]: count 1595, average 638, total 1019130
@q2[ksoftirqd/169]: count 238, average 669, total 159397


@q4[ksoftirqd/169]: count 2232, average 960, total 2143551
@q4[openssl]: count 40690, average 960, total 39064349

@q5[openssl]: count 318950, average 431, total 137767402
@q5[ksoftirqd/169]: count 17083, average 432, total 7384373

@uc: count 2323, average 6473, total 15038286

@q1[openssl]: count 1094, average 2491, total 2726235
@q1[ksoftirqd/169]: count 191, average 2666, total 509381

@q2[openssl]: count 1656, average 640, total 1060073
@q2[ksoftirqd/169]: count 249, average 659, total 164230


@q4[ksoftirqd/169]: count 2287, average 957, total 2190306
@q4[openssl]: count 41314, average 961, total 39718877

@q5[ksoftirqd/169]: count 17453, average 432, total 7551560
@q5[openssl]: count 323575, average 432, total 139954768

@uc: count 2007, average 5655, total 11350514

@q1[openssl]: count 1064, average 2482, total 2641351
@q1[ksoftirqd/169]: count 184, average 2822, total 519396

@q2[openssl]: count 1640, average 643, total 1055802
@q2[ksoftirqd/169]: count 246, average 667, total 164087


@q4[openssl]: count 41156, average 962, total 39604855
@q4[ksoftirqd/169]: count 2290, average 965, total 2210466

@q5[ksoftirqd/169]: count 17523, average 432, total 7581966
@q5[openssl]: count 322414, average 432, total 139397014

@uc: count 1911, average 7121, total 13608550

@q1[openssl]: count 1104, average 2490, total 2749359
@q1[ksoftirqd/169]: count 181, average 2687, total 486358

@q2[openssl]: count 1669, average 636, total 1062177
@q2[ksoftirqd/169]: count 242, average 674, total 163321


@q4[ksoftirqd/169]: count 2248, average 956, total 2150606
@q4[openssl]: count 41302, average 961, total 39700852

@q5[ksoftirqd/169]: count 17136, average 432, total 7417153
@q5[openssl]: count 323489, average 432, total 139756376

@uc: count 1891, average 5510, total 10420583

@q1[openssl]: count 1084, average 2544, total 2758507
@q1[ksoftirqd/169]: count 176, average 2724, total 479470

@q2[openssl]: count 1626, average 639, total 1039858
@q2[ksoftirqd/169]: count 241, average 678, total 163569
@q2[kworker/169:2]: count 1, average 15439, total 15439


@q4[ksoftirqd/169]: count 2216, average 960, total 2128206
@q4[openssl]: count 41335, average 962, total 39792746
@q4[kworker/169:2]: count 49, average 1698, total 83227

@q5[openssl]: count 323864, average 432, total 139917366
@q5[ksoftirqd/169]: count 16948, average 434, total 7367743
@q5[kworker/169:2]: count 389, average 510, total 198665

@uc: count 2232, average 6213, total 13868776

@q1[openssl]: count 1087, average 2533, total 2754242
@q1[ksoftirqd/169]: count 171, average 2653, total 453689

@q2[openssl]: count 1630, average 641, total 1045415
@q2[ksoftirqd/169]: count 247, average 664, total 164187
@q2[kworker/169:2]: count 2, average 5224, total 10449


@q4[openssl]: count 41188, average 963, total 39695269
@q4[ksoftirqd/169]: count 2447, average 986, total 2413661
@q4[kworker/169:2]: count 47, average 1366, total 64212

