Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q5[ksoftirqd/169]: count 168863, average 433, total 73187712

@uc: count 6293, average 2504, total 15763887




@q4[ksoftirqd/169]: count 21448, average 1262, total 27075491

@q5[ksoftirqd/169]: count 170580, average 432, total 73816465

@uc: count 5081, average 5066, total 25743518




@q4[ksoftirqd/169]: count 21051, average 1262, total 26570854

@q5[ksoftirqd/169]: count 167464, average 434, total 72738340

@uc: count 4583, average 6955, total 31878281




@q4[ksoftirqd/169]: count 17576, average 1287, total 22635703

@q5[ksoftirqd/169]: count 139840, average 439, total 61447752

@uc: count 6052, average 5497, total 33270985




@q4[ksoftirqd/169]: count 17873, average 1305, total 23339488

@q5[ksoftirqd/169]: count 142099, average 439, total 62462757

@uc: count 7680, average 3959, total 30406772




@q4[ksoftirqd/169]: count 17688, average 1297, total 22951358

@q5[ksoftirqd/169]: count 140677, average 440, total 61908366

@uc: count 6766, average 2850, total 19285985




@q4[ksoftirqd/169]: count 17648, average 1277, total 22542905

@q5[ksoftirqd/169]: count 140358, average 441, total 61913501

@uc: count 7073, average 2987, total 21131862




@q4[ksoftirqd/169]: count 17731, average 1314, total 23308120

@q5[ksoftirqd/169]: count 141067, average 440, total 62203777

@uc: count 5739, average 3550, total 20374986




@q4[ksoftirqd/169]: count 18047, average 1293, total 23346078

@q5[ksoftirqd/169]: count 143489, average 437, total 62813960

@uc: count 7983, average 2398, total 19150040




@q4[ksoftirqd/169]: count 17816, average 1287, total 22943587

@q5[ksoftirqd/169]: count 141695, average 438, total 62139654

@uc: count 5602, average 8920, total 49972797




@q4[ksoftirqd/169]: count 17752, average 1287, total 22851339

@q5[ksoftirqd/169]: count 141185, average 439, total 62084984

@uc: count 5394, average 6945, total 37464259




@q4[ksoftirqd/169]: count 17814, average 1262, total 22495614

@q5[ksoftirqd/169]: count 141728, average 438, total 62201853

@uc: count 9547, average 2464, total 23527408




