Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 585, average 2722, total 1592932
@q1[ksoftirqd/169]: count 68, average 2875, total 195549
@q1[kworker/169:1]: count 1, average 17783, total 17783

@q2[openssl]: count 1212, average 2403, total 2913146
@q2[kworker/169:1]: count 2, average 8060, total 16121
@q2[ksoftirqd/169]: count 136, average 141338, total 19222026


@q4[ksoftirqd/169]: count 2167, average 961, total 2083320
@q4[openssl]: count 30550, average 967, total 29542413
@q4[kworker/169:1]: count 34, average 1133, total 38525

@q5[openssl]: count 239040, average 432, total 103334068
@q5[ksoftirqd/169]: count 16752, average 434, total 7277104
@q5[kworker/169:1]: count 262, average 452, total 118527

@uc: count 4388, average 23609, total 103597801

@q1[openssl]: count 1212, average 2631, total 3189328
@q1[ksoftirqd/169]: count 210, average 2677, total 562290
@q1[kworker/169:1]: count 1, average 19336, total 19336

@q2[openssl]: count 1610, average 633, total 1019169
@q2[ksoftirqd/169]: count 305, average 682, total 208181
@q2[kworker/169:1]: count 1, average 14137, total 14137


@q4[openssl]: count 41220, average 963, total 39732584
@q4[ksoftirqd/169]: count 3096, average 969, total 3001442
@q4[kworker/169:1]: count 1, average 37750, total 37750

@q5[ksoftirqd/169]: count 23750, average 428, total 10176057
@q5[openssl]: count 323042, average 431, total 139248742
@q5[kworker/169:1]: count 4, average 8350, total 33401

@uc: count 2101, average 6942, total 14586555

@q1[openssl]: count 1230, average 2641, total 3248835
@q1[ksoftirqd/169]: count 204, average 2650, total 540606
@q1[kworker/169:1]: count 11, average 5266, total 57929

@q2[openssl]: count 1674, average 641, total 1073634
@q2[ksoftirqd/169]: count 307, average 658, total 202148
@q2[kworker/169:1]: count 12, average 2356, total 28281


@q4[openssl]: count 40664, average 963, total 39163229
@q4[ksoftirqd/169]: count 3579, average 1007, total 3606190
@q4[kworker/169:1]: count 28, average 2244, total 62839

@q5[openssl]: count 318497, average 429, total 136911135
@q5[ksoftirqd/169]: count 27591, average 430, total 11878061
@q5[kworker/169:1]: count 190, average 606, total 115320

@uc: count 2626, average 9114, total 23935090

@q1[openssl]: count 1168, average 2674, total 3124143
@q1[ksoftirqd/169]: count 214, average 2719, total 581868

@q2[openssl]: count 1562, average 640, total 999854
@q2[ksoftirqd/169]: count 312, average 669, total 208988


@q4[openssl]: count 41135, average 966, total 39766870
@q4[ksoftirqd/169]: count 3157, average 970, total 3064689
@q4[kworker/169:1]: count 1, average 33232, total 33232

@q5[ksoftirqd/169]: count 24212, average 429, total 10402598
@q5[openssl]: count 322546, average 432, total 139379234
@q5[kworker/169:1]: count 8, average 3655, total 29245

@uc: count 2064, average 7504, total 15489485

@q1[openssl]: count 1072, average 2593, total 2780497
@q1[ksoftirqd/169]: count 190, average 2619, total 497667

@q2[openssl]: count 1561, average 636, total 993975
@q2[ksoftirqd/169]: count 284, average 659, total 187297


@q4[openssl]: count 41451, average 965, total 40026928
@q4[ksoftirqd/169]: count 3230, average 974, total 3147055

@q5[openssl]: count 325013, average 428, total 139398512
@q5[ksoftirqd/169]: count 24888, average 429, total 10695758

@uc: count 2427, average 5909, total 14342799

@q1[openssl]: count 1025, average 2577, total 2642194
@q1[ksoftirqd/169]: count 191, average 2605, total 497609

@q2[openssl]: count 1538, average 639, total 984021
@q2[ksoftirqd/169]: count 304, average 673, total 204700


@q4[openssl]: count 41657, average 966, total 40265663
@q4[ksoftirqd/169]: count 3276, average 978, total 3207005

@q5[openssl]: count 326766, average 428, total 140128774
@q5[ksoftirqd/169]: count 25189, average 430, total 10843666

@uc: count 2085, average 7056, total 14713576

@q1[openssl]: count 1215, average 2702, total 3284131
@q1[ksoftirqd/169]: count 179, average 2747, total 491857

@q2[openssl]: count 1628, average 646, total 1053242
@q2[ksoftirqd/169]: count 278, average 663, total 184328
@q2[kworker/169:1]: count 2, average 16656, total 33312


