Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 302, average 2058, total 621567
@q1[ksoftirqd/169]: count 13, average 3493, total 45413

@q2[ksoftirqd/169]: count 52, average 765, total 39819
@q2[openssl]: count 1392, average 3021, total 4206306
@q2[kworker/169:0]: count 2, average 12143, total 24286


@q4[ksoftirqd/169]: count 397, average 980, total 389452
@q4[openssl]: count 20773, average 1004, total 20872709
@q4[kworker/169:0]: count 18, average 2598, total 46778

@q5[openssl]: count 160843, average 434, total 69948236
@q5[ksoftirqd/169]: count 2895, average 439, total 1270992
@q5[kworker/169:0]: count 137, average 585, total 80188

@uc: count 3259, average 43511, total 141802783

@q1[ksoftirqd/169]: count 33, average 2032, total 67065
@q1[openssl]: count 616, average 2037, total 1255148
@q1[kworker/169:2]: count 1, average 36178, total 36178
@q1[kworker/169:1]: count 1, average 36468, total 36468

@q2[openssl]: count 2445, average 664, total 1623911
@q2[ksoftirqd/169]: count 82, average 673, total 55191
@q2[kworker/169:2]: count 2, average 15850, total 31700
@q2[kworker/169:1]: count 1, average 27682, total 27682


@q4[ksoftirqd/169]: count 424, average 933, total 395678
@q4[openssl]: count 28047, average 969, total 27191810
@q4[kworker/169:2]: count 21, average 2584, total 54280
@q4[kworker/169:1]: count 1, average 32551, total 32551

@q5[openssl]: count 217960, average 432, total 94324603
@q5[ksoftirqd/169]: count 3016, average 435, total 1314847
@q5[kworker/169:2]: count 158, average 574, total 90761
@q5[kworker/169:1]: count 5, average 4083, total 20418

@uc: count 3231, average 6030, total 19484929

@q1[openssl]: count 623, average 2022, total 1260199
@q1[ksoftirqd/169]: count 29, average 2275, total 65993

@q2[openssl]: count 2418, average 655, total 1585238
@q2[ksoftirqd/169]: count 85, average 687, total 58418


@q4[ksoftirqd/169]: count 467, average 944, total 440973
@q4[openssl]: count 28013, average 971, total 27219295

@q5[openssl]: count 217645, average 432, total 94177911
@q5[ksoftirqd/169]: count 3376, average 435, total 1470200

@uc: count 3604, average 5191, total 18708417

@q1[openssl]: count 615, average 2069, total 1272676
@q1[ksoftirqd/169]: count 35, average 2303, total 80611

@q2[openssl]: count 2378, average 670, total 1593669
@q2[ksoftirqd/169]: count 97, average 719, total 69768
@q2[kworker/169:1]: count 2, average 9903, total 19807


@q4[ksoftirqd/169]: count 457, average 954, total 436038
@q4[openssl]: count 27994, average 972, total 27215332
@q4[kworker/169:1]: count 28, average 1654, total 46317

@q5[openssl]: count 217646, average 432, total 94208534
@q5[ksoftirqd/169]: count 3250, average 436, total 1420024
@q5[kworker/169:1]: count 220, average 485, total 106862

@uc: count 3648, average 5870, total 21413840

@q1[openssl]: count 616, average 2069, total 1274754
@q1[ksoftirqd/169]: count 33, average 2144, total 70774
@q1[kworker/169:1]: count 2, average 19221, total 38442

@q2[openssl]: count 2432, average 666, total 1620687
@q2[ksoftirqd/169]: count 81, average 697, total 56473
@q2[kworker/169:1]: count 2, average 14998, total 29996


@q4[ksoftirqd/169]: count 421, average 939, total 395496
@q4[openssl]: count 28043, average 969, total 27197024
@q4[kworker/169:1]: count 18, average 2872, total 51710

@q5[openssl]: count 217929, average 432, total 94266873
@q5[ksoftirqd/169]: count 2999, average 436, total 1310524
@q5[kworker/169:1]: count 134, average 619, total 82952

@uc: count 3167, average 4738, total 15005322

@q1[openssl]: count 619, average 2059, total 1274882
@q1[ksoftirqd/169]: count 29, average 2232, total 64728
