Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 525, average 2611, total 1370932
@q1[ksoftirqd/169]: count 100, average 2810, total 281040
@q1[kworker/169:2]: count 3, average 11588, total 34766

@q2[openssl]: count 936, average 3097, total 2899208
@q2[kworker/169:2]: count 3, average 15028, total 45084
@q2[ksoftirqd/169]: count 171, average 84387, total 14430338


@q4[openssl]: count 26933, average 969, total 26100721
@q4[ksoftirqd/169]: count 5038, average 983, total 4956578
@q4[kworker/169:2]: count 15, average 2515, total 37731

@q5[openssl]: count 210879, average 432, total 91245996
@q5[ksoftirqd/169]: count 39506, average 435, total 17202098
@q5[kworker/169:2]: count 114, average 579, total 66065

@uc: count 5433, average 16497, total 89628451




@q4[ksoftirqd/169]: count 21929, average 1246, total 27333713

@q5[ksoftirqd/169]: count 174374, average 433, total 75559743

@uc: count 5019, average 12589, total 63186376




@q4[ksoftirqd/169]: count 21605, average 1257, total 27177628

@q5[ksoftirqd/169]: count 171877, average 434, total 74717870

@uc: count 5375, average 2522, total 13559199




@q4[ksoftirqd/169]: count 21463, average 1254, total 26922582

@q5[ksoftirqd/169]: count 170754, average 434, total 74207381

@uc: count 6358, average 4373, total 27808630




@q4[ksoftirqd/169]: count 20907, average 1254, total 26221128

@q5[ksoftirqd/169]: count 166324, average 435, total 72417319

@uc: count 6090, average 659575, total 4016817279




@q4[ksoftirqd/169]: count 21592, average 1243, total 26842460

@q5[ksoftirqd/169]: count 171717, average 432, total 74323266

@uc: count 8912, average 1728, total 15400104




@q4[ksoftirqd/169]: count 21230, average 1254, total 26623589

@q5[ksoftirqd/169]: count 168934, average 435, total 73516829

@uc: count 5920, average 2506, total 14837640




@q4[ksoftirqd/169]: count 21304, average 1253, total 26707678

@q5[ksoftirqd/169]: count 169417, average 434, total 73569391

@uc: count 6312, average 2604, total 16438564




@q4[ksoftirqd/169]: count 21528, average 1241, total 26730853

@q5[ksoftirqd/169]: count 171217, average 433, total 74307007

@uc: count 7324, average 2440, total 17873191




@q4[ksoftirqd/169]: count 21834, average 1235, total 26982600

@q5[ksoftirqd/169]: count 173730, average 433, total 75347843

@uc: count 5706, average 2392, total 13653413




@q4[ksoftirqd/169]: count 20864, average 1243, total 25935078

@q5[ksoftirqd/169]: count 165998, average 433, total 72026952

@uc: count 6851, average 3150, total 21583768




@q4[ksoftirqd/169]: count 21868, average 1238, total 27085332

@q5[ksoftirqd/169]: count 173905, average 434, total 75486970

@uc: count 5646, average 4182, total 23613905




@q4[ksoftirqd/169]: count 21533, average 1252, total 26974782

@q5[ksoftirqd/169]: count 171326, average 435, total 74563840

@uc: count 6702, average 2578, total 17278262




@q4[ksoftirqd/169]: count 21395, average 1252, total 26790081

@q5[ksoftirqd/169]: count 170145, average 433, total 73841904

@uc: count 5899, average 4193, total 24738317




@q4[ksoftirqd/169]: count 21633, average 1246, total 26970741

@q5[ksoftirqd/169]: count 172136, average 433, total 74577155

@uc: count 4762, average 2885, total 13742413




@q4[ksoftirqd/169]: count 21448, average 1253, total 26885273

@q5[ksoftirqd/169]: count 170583, average 433, total 73937671

@uc: count 6166, average 2465, total 15203370




@q4[ksoftirqd/169]: count 21443, average 1256, total 26951608

@q5[ksoftirqd/169]: count 170485, average 434, total 74082698

@uc: count 5806, average 4772, total 27711842




@q4[ksoftirqd/169]: count 21312, average 1257, total 26796696

@q5[ksoftirqd/169]: count 169499, average 434, total 73655825

@uc: count 5092, average 2625, total 13368345




@q4[ksoftirqd/169]: count 20952, average 1251, total 26221082

@q5[ksoftirqd/169]: count 166635, average 435, total 72529645

@uc: count 4724, average 2938, total 13880740




@q4[ksoftirqd/169]: count 21844, average 1237, total 27022662

@q5[ksoftirqd/169]: count 173755, average 433, total 75313385

@uc: count 5407, average 2802, total 15152217




@q4[ksoftirqd/169]: count 20964, average 1263, total 26495887

@q5[ksoftirqd/169]: count 166739, average 436, total 72813737

@uc: count 7506, average 2267, total 17019081




@q4[ksoftirqd/169]: count 21500, average 1254, total 26974831

@q5[ksoftirqd/169]: count 171059, average 434, total 74260291

@uc: count 7320, average 4407, total 32265854




