Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 352, average 2006, total 706419
@q1[ksoftirqd/169]: count 27, average 2239, total 60463
@q1[kworker/169:0]: count 2, average 17878, total 35757

@q2[kworker/169:0]: count 9, average 1282, total 11540
@q2[ksoftirqd/169]: count 76, average 2864, total 217687
@q2[openssl]: count 1079, average 3104, total 3349276


@q4[openssl]: count 18351, average 1001, total 18376526
@q4[ksoftirqd/169]: count 779, average 1053, total 820363
@q4[kworker/169:0]: count 46, average 1082, total 49814

@q5[openssl]: count 141936, average 434, total 61675205
@q5[ksoftirqd/169]: count 5918, average 436, total 2580278
@q5[kworker/169:0]: count 327, average 452, total 147937

@uc: count 2238, average 39581, total 88583537

@q1[openssl]: count 671, average 1907, total 1279819
@q1[ksoftirqd/169]: count 101, average 2091, total 211290

@q2[openssl]: count 1692, average 615, total 1041345
@q2[ksoftirqd/169]: count 169, average 631, total 106726


@q4[ksoftirqd/169]: count 1465, average 952, total 1395586
@q4[openssl]: count 31442, average 952, total 29959668

@q5[openssl]: count 244102, average 431, total 105301769
@q5[ksoftirqd/169]: count 10974, average 439, total 4820816

@uc: count 2689, average 7124, total 19158661

@q1[openssl]: count 704, average 1914, total 1347905
@q1[ksoftirqd/169]: count 67, average 2462, total 164965
@q1[kworker/169:0]: count 1, average 35417, total 35417

@q2[openssl]: count 1715, average 615, total 1055699
@q2[ksoftirqd/169]: count 132, average 654, total 86366
@q2[kworker/169:0]: count 1, average 31288, total 31288


@q4[ksoftirqd/169]: count 1374, average 947, total 1302329
@q4[openssl]: count 31488, average 949, total 29899966
@q4[kworker/169:0]: count 33, average 2037, total 67222

@q5[ksoftirqd/169]: count 10475, average 429, total 4502022
@q5[openssl]: count 244248, average 430, total 105157106
@q5[kworker/169:0]: count 261, average 522, total 136469

@uc: count 1923, average 5405, total 10394127

@q1[openssl]: count 741, average 1961, total 1453515
@q1[ksoftirqd/169]: count 25, average 2955, total 73878

@q2[openssl]: count 1775, average 629, total 1117943
@q2[ksoftirqd/169]: count 90, average 714, total 64349


@q4[openssl]: count 31599, average 952, total 30098313
@q4[ksoftirqd/169]: count 1281, average 959, total 1228898

@q5[ksoftirqd/169]: count 9975, average 431, total 4306107
@q5[openssl]: count 245201, average 431, total 105758726

@uc: count 1973, average 6771, total 13359864

@q1[openssl]: count 682, average 1915, total 1306241
@q1[ksoftirqd/169]: count 88, average 2089, total 183860

@q2[openssl]: count 1713, average 621, total 1064133
@q2[ksoftirqd/169]: count 136, average 661, total 90019


@q4[ksoftirqd/169]: count 1249, average 945, total 1180615
@q4[openssl]: count 31639, average 949, total 30054505

@q5[openssl]: count 245635, average 430, total 105789373
@q5[ksoftirqd/169]: count 9367, average 437, total 4094223

@uc: count 1846, average 5879, total 10853841

@q1[openssl]: count 684, average 1973, total 1349836
@q1[ksoftirqd/169]: count 90, average 2069, total 186236

@q2[openssl]: count 1692, average 626, total 1060139
@q2[ksoftirqd/169]: count 152, average 644, total 97908
@q2[kworker/169:0]: count 2, average 13110, total 26220


@q4[ksoftirqd/169]: count 1478, average 952, total 1407669
@q4[openssl]: count 31370, average 952, total 29871945
@q4[kworker/169:0]: count 34, average 1785, total 60714

@q5[ksoftirqd/169]: count 11146, average 429, total 4792210
@q5[openssl]: count 243647, average 430, total 104992257
@q5[kworker/169:0]: count 268, average 481, total 128921

@uc: count 2333, average 6487, total 15134330

@q1[openssl]: count 753, average 1931, total 1454540
@q1[ksoftirqd/169]: count 20, average 2687, total 53752

@q2[openssl]: count 1775, average 621, total 1102592
@q2[ksoftirqd/169]: count 93, average 737, total 68588


@q4[openssl]: count 31426, average 950, total 29870546
@q4[ksoftirqd/169]: count 1475, average 963, total 1420832

@q5[ksoftirqd/169]: count 11542, average 429, total 4958946
@q5[openssl]: count 243626, average 430, total 104953984

@uc: count 1844, average 5689, total 10491596

@q1[openssl]: count 698, average 1942, total 1355857
@q1[ksoftirqd/169]: count 75, average 2244, total 168369
@q1[kworker/169:0]: count 1, average 32280, total 32280

@q2[openssl]: count 1734, average 625, total 1084466
@q2[ksoftirqd/169]: count 132, average 707, total 93405
@q2[kworker/169:0]: count 2, average 15278, total 30557


@q4[openssl]: count 31529, average 950, total 29982383
@q4[ksoftirqd/169]: count 1321, average 956, total 1263785
@q4[kworker/169:0]: count 37, average 1870, total 69190

@q5[openssl]: count 244770, average 430, total 105482234
@q5[ksoftirqd/169]: count 9998, average 436, total 4368826
@q5[kworker/169:0]: count 290, average 488, total 141689

@uc: count 1851, average 5814, total 10763173

@q1[openssl]: count 666, average 1960, total 1305475
@q1[ksoftirqd/169]: count 99, average 2007, total 198767

@q2[openssl]: count 1676, average 625, total 1047586
@q2[ksoftirqd/169]: count 161, average 635, total 102357


@q4[ksoftirqd/169]: count 1366, average 937, total 1280796
@q4[openssl]: count 31518, average 949, total 29917786

@q5[openssl]: count 244873, average 430, total 105458244
@q5[ksoftirqd/169]: count 10266, average 432, total 4439943

@uc: count 1911, average 5334, total 10194293

@q1[openssl]: count 734, average 1908, total 1401116
@q1[ksoftirqd/169]: count 37, average 2951, total 109198
@q1[kworker/169:0]: count 1, average 29585, total 29585

@q2[openssl]: count 1771, average 625, total 1107469
@q2[ksoftirqd/169]: count 95, average 701, total 66667
@q2[kworker/169:0]: count 1, average 25418, total 25418


@q4[openssl]: count 31588, average 948, total 29976731
@q4[ksoftirqd/169]: count 1276, average 951, total 1213789
@q4[kworker/169:0]: count 33, average 1861, total 61426

@q5[ksoftirqd/169]: count 9849, average 429, total 4232577
@q5[openssl]: count 245023, average 431, total 105647299
@q5[kworker/169:0]: count 259, average 494, total 128154

@uc: count 2310, average 6533, total 15091469

@q1[openssl]: count 716, average 1941, total 1390197
@q1[ksoftirqd/169]: count 49, average 2704, total 132504
@q1[kworker/169:0]: count 1, average 31279, total 31279

@q2[openssl]: count 1733, average 631, total 1095088
@q2[ksoftirqd/169]: count 116, average 714, total 82829
@q2[kworker/169:0]: count 1, average 28433, total 28433


@q4[ksoftirqd/169]: count 1471, average 954, total 1403388
@q4[openssl]: count 31396, average 954, total 29954541
@q4[kworker/169:0]: count 1, average 34024, total 34024

@q5[openssl]: count 243764, average 431, total 105185027
@q5[ksoftirqd/169]: count 11344, average 433, total 4922665
@q5[kworker/169:0]: count 6, average 3015, total 18094

@uc: count 1870, average 5995, total 11211840

@q1[openssl]: count 664, average 1940, total 1288204
@q1[ksoftirqd/169]: count 102, average 2128, total 217116

@q2[openssl]: count 1694, average 624, total 1057568
@q2[ksoftirqd/169]: count 157, average 658, total 103420


@q4[ksoftirqd/169]: count 1386, average 941, total 1305174
@q4[openssl]: count 31491, average 950, total 29931402

@q5[openssl]: count 244559, average 430, total 105360324
@q5[ksoftirqd/169]: count 10412, average 432, total 4504751

@uc: count 2247, average 11198, total 25163129

@q1[openssl]: count 721, average 1974, total 1423535
@q1[ksoftirqd/169]: count 53, average 2091, total 110837
@q1[kworker/169:0]: count 1, average 32821, total 32821

@q2[openssl]: count 1765, average 617, total 1090537
@q2[ksoftirqd/169]: count 112, average 702, total 78643
@q2[kworker/169:0]: count 1, average 32851, total 32851


@q4[openssl]: count 31586, average 950, total 30029673
@q4[ksoftirqd/169]: count 1293, average 951, total 1229843
@q4[kworker/169:0]: count 33, average 2059, total 67948

@q5[ksoftirqd/169]: count 9906, average 430, total 4262523
@q5[openssl]: count 244993, average 431, total 105598495
@q5[kworker/169:0]: count 259, average 510, total 132252

@uc: count 2191, average 9179, total 20112110

@q1[openssl]: count 732, average 1922, total 1407127
@q1[ksoftirqd/169]: count 34, average 2779, total 94519
@q1[kworker/169:0]: count 2, average 19742, total 39484

@q2[openssl]: count 1734, average 608, total 1055661
@q2[ksoftirqd/169]: count 98, average 942, total 92345
@q2[kworker/169:0]: count 4, average 6830, total 27321


@q4[openssl]: count 31369, average 957, total 30021842
@q4[ksoftirqd/169]: count 1467, average 972, total 1426582
@q4[kworker/169:0]: count 36, average 1696, total 61083

@q5[openssl]: count 243428, average 430, total 104851085
@q5[ksoftirqd/169]: count 11412, average 433, total 4942522
@q5[kworker/169:0]: count 277, average 468, total 129644

@uc: count 2295, average 6114, total 14032458

@q1[openssl]: count 680, average 1947, total 1324227
@q1[ksoftirqd/169]: count 91, average 2178, total 198208
@q1[kworker/169:0]: count 1, average 34585, total 34585

@q2[openssl]: count 1714, average 626, total 1073237
@q2[ksoftirqd/169]: count 140, average 655, total 91735
@q2[kworker/169:0]: count 2, average 16831, total 33663


@q4[ksoftirqd/169]: count 1387, average 950, total 1318375
@q4[openssl]: count 31438, average 954, total 30007603
@q4[kworker/169:0]: count 38, average 1912, total 72665

@q5[openssl]: count 244226, average 430, total 105218166
@q5[ksoftirqd/169]: count 10490, average 436, total 4574413
@q5[kworker/169:0]: count 297, average 512, total 152339

@uc: count 1970, average 5855, total 11535871

@q1[openssl]: count 676, average 1943, total 1313691
@q1[ksoftirqd/169]: count 92, average 2056, total 189198

@q2[openssl]: count 1698, average 614, total 1043516
@q2[ksoftirqd/169]: count 150, average 636, total 95431


@q4[ksoftirqd/169]: count 1317, average 948, total 1248873
@q4[openssl]: count 31587, average 952, total 30095502

@q5[ksoftirqd/169]: count 9887, average 430, total 4259701
@q5[openssl]: count 245252, average 430, total 105611278

@uc: count 1907, average 6026, total 11492761

@q1[openssl]: count 756, average 1893, total 1431110
@q1[ksoftirqd/169]: count 21, average 3796, total 79721

@q2[openssl]: count 1785, average 619, total 1105750
@q2[ksoftirqd/169]: count 79, average 734, total 58010


@q4[openssl]: count 31578, average 950, total 30014474
@q4[ksoftirqd/169]: count 1309, average 963, total 1260868

@q5[ksoftirqd/169]: count 10224, average 431, total 4407630
@q5[openssl]: count 244823, average 431, total 105545118

@uc: count 1883, average 5509, total 10374439

@q1[openssl]: count 701, average 1930, total 1353085
