Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 128, average 1846, total 236320
@q1[ksoftirqd/169]: count 6, average 3137, total 18825

@q2[openssl]: count 520, average 645, total 335763
@q2[ksoftirqd/169]: count 18, average 923, total 16627


@q4[openssl]: count 5821, average 956, total 5570222
@q4[ksoftirqd/169]: count 81, average 1021, total 82716

@q5[openssl]: count 44005, average 433, total 19063884
@q5[ksoftirqd/169]: count 592, average 441, total 261539

@uc: count 2060, average 49753, total 102492204

@q1[openssl]: count 571, average 1499, total 856440
@q1[ksoftirqd/169]: count 33, average 2791, total 92126

@q2[openssl]: count 2411, average 575, total 1387510
@q2[ksoftirqd/169]: count 91, average 696, total 63355


@q4[ksoftirqd/169]: count 356, average 936, total 333438
@q4[openssl]: count 26732, average 946, total 25310811
@q4[kworker/169:2]: count 15, average 3375, total 50634

@q5[openssl]: count 201351, average 431, total 86911057
@q5[ksoftirqd/169]: count 2521, average 432, total 1089367
@q5[kworker/169:2]: count 120, average 618, total 74194

@uc: count 3285, average 10733, total 35258630

@q1[openssl]: count 568, average 1548, total 879788
@q1[ksoftirqd/169]: count 32, average 2062, total 66003

@q2[openssl]: count 2421, average 581, total 1408426
@q2[ksoftirqd/169]: count 94, average 702, total 65991


@q4[openssl]: count 26729, average 949, total 25382836
@q4[ksoftirqd/169]: count 379, average 954, total 361898

@q5[openssl]: count 201351, average 432, total 87112465
@q5[ksoftirqd/169]: count 2712, average 434, total 1179486

@uc: count 3522, average 5638, total 19857676

@q1[openssl]: count 564, average 1626, total 917159
@q1[ksoftirqd/169]: count 37, average 2304, total 85267

@q2[openssl]: count 2427, average 577, total 1402284
@q2[ksoftirqd/169]: count 101, average 696, total 70345


@q4[openssl]: count 26734, average 947, total 25319333
@q4[ksoftirqd/169]: count 363, average 963, total 349800
@q4[kworker/169:0]: count 15, average 3449, total 51737

@q5[openssl]: count 201464, average 431, total 86936345
@q5[ksoftirqd/169]: count 2534, average 434, total 1101265
@q5[kworker/169:0]: count 120, average 615, total 73821

@uc: count 3068, average 4661, total 14300201

@q1[openssl]: count 564, average 1571, total 886395
@q1[ksoftirqd/169]: count 34, average 2108, total 71684
@q1[kworker/169:0]: count 2, average 19221, total 38442

@q2[openssl]: count 2441, average 585, total 1428597
@q2[ksoftirqd/169]: count 94, average 695, total 65342
@q2[kworker/169:0]: count 3, average 10740, total 32221


@q4[ksoftirqd/169]: count 351, average 942, total 330830
@q4[openssl]: count 26723, average 947, total 25317207
@q4[kworker/169:0]: count 30, average 2154, total 64642

@q5[openssl]: count 201317, average 431, total 86905026
@q5[ksoftirqd/169]: count 2466, average 433, total 1068593
@q5[kworker/169:0]: count 224, average 518, total 116142

@uc: count 2888, average 5353, total 15460886

@q1[openssl]: count 569, average 1549, total 881866
@q1[ksoftirqd/169]: count 31, average 2802, total 86886

@q2[openssl]: count 2435, average 575, total 1401462
@q2[ksoftirqd/169]: count 91, average 681, total 62048


@q4[ksoftirqd/169]: count 346, average 940, total 325241
@q4[openssl]: count 26769, average 947, total 25368636
@q4[kworker/169:0]: count 15, average 3341, total 50116

@q5[openssl]: count 201501, average 431, total 86987544
@q5[ksoftirqd/169]: count 2437, average 433, total 1056415
@q5[kworker/169:0]: count 120, average 635, total 76273

@uc: count 2960, average 5256, total 15559465

@q1[openssl]: count 578, average 1508, total 871911
@q1[ksoftirqd/169]: count 22, average 3318, total 73008

@q2[openssl]: count 2452, average 576, total 1413671
@q2[ksoftirqd/169]: count 88, average 721, total 63505


@q4[openssl]: count 26764, average 951, total 25454730
@q4[ksoftirqd/169]: count 354, average 991, total 350898

@q5[openssl]: count 201470, average 431, total 86989524
@q5[ksoftirqd/169]: count 2586, average 436, total 1129448

@uc: count 3360, average 5364, total 18024933

@q1[openssl]: count 571, average 1566, total 894194
@q1[ksoftirqd/169]: count 31, average 2831, total 87785

@q2[openssl]: count 2474, average 579, total 1434541
@q2[ksoftirqd/169]: count 96, average 690, total 66289


@q4[ksoftirqd/169]: count 374, average 946, total 353872
@q4[openssl]: count 26748, average 953, total 25512474

@q5[openssl]: count 201423, average 431, total 86921052
@q5[ksoftirqd/169]: count 2651, average 432, total 1145975

@uc: count 2917, average 5229, total 15254785

@q1[openssl]: count 573, average 1525, total 874284
@q1[ksoftirqd/169]: count 27, average 2403, total 64892

@q2[openssl]: count 2446, average 577, total 1411434
@q2[ksoftirqd/169]: count 88, average 682, total 60088


@q4[openssl]: count 26778, average 948, total 25396113
@q4[ksoftirqd/169]: count 344, average 952, total 327695

@q5[ksoftirqd/169]: count 2440, average 430, total 1051435
@q5[openssl]: count 201655, average 431, total 86920942

@uc: count 2876, average 5470, total 15732075

@q1[openssl]: count 568, average 1502, total 853398
@q1[ksoftirqd/169]: count 32, average 2036, total 65166

@q2[openssl]: count 2406, average 577, total 1388747
@q2[ksoftirqd/169]: count 104, average 677, total 70433


@q4[ksoftirqd/169]: count 409, average 944, total 386284
@q4[openssl]: count 26719, average 950, total 25390071

@q5[openssl]: count 201199, average 431, total 86829396
@q5[ksoftirqd/169]: count 2901, average 433, total 1258672

@uc: count 2915, average 5079, total 14807965

@q1[openssl]: count 569, average 1558, total 886552
@q1[ksoftirqd/169]: count 31, average 2070, total 64181

@q2[openssl]: count 2426, average 585, total 1420138
@q2[ksoftirqd/169]: count 90, average 702, total 63245


@q4[openssl]: count 26756, average 954, total 25543417
@q4[ksoftirqd/169]: count 350, average 967, total 338586

@q5[ksoftirqd/169]: count 2503, average 431, total 1079035
@q5[openssl]: count 201593, average 432, total 87175583

@uc: count 3374, average 6232, total 21030043

@q1[openssl]: count 570, average 1530, total 872239
@q1[ksoftirqd/169]: count 30, average 2071, total 62158

@q2[openssl]: count 2438, average 580, total 1415733
@q2[ksoftirqd/169]: count 90, average 698, total 62861


@q4[ksoftirqd/169]: count 355, average 950, total 337377
@q4[openssl]: count 26767, average 952, total 25506077

@q5[openssl]: count 201520, average 431, total 87039954
@q5[ksoftirqd/169]: count 2535, average 435, total 1103280

@uc: count 3198, average 6855, total 21924532

@q1[openssl]: count 578, average 1537, total 888770
@q1[ksoftirqd/169]: count 24, average 2105, total 50523

@q2[openssl]: count 2424, average 581, total 1409153
@q2[ksoftirqd/169]: count 88, average 686, total 60391
@q2[kworker/169:0]: count 1, average 34114, total 34114


@q4[openssl]: count 26756, average 950, total 25424123
@q4[ksoftirqd/169]: count 350, average 954, total 333936
@q4[kworker/169:0]: count 15, average 3403, total 51045

@q5[ksoftirqd/169]: count 2506, average 431, total 1080194
@q5[openssl]: count 201446, average 431, total 86901567
@q5[kworker/169:0]: count 118, average 629, total 74251

@uc: count 2945, average 5459, total 16078698

@q1[openssl]: count 574, average 1545, total 887332
@q1[ksoftirqd/169]: count 27, average 1931, total 52148

@q2[openssl]: count 2460, average 572, total 1407727
@q2[ksoftirqd/169]: count 89, average 687, total 61165


@q4[ksoftirqd/169]: count 343, average 948, total 325196
@q4[openssl]: count 26788, average 952, total 25525213

@q5[ksoftirqd/169]: count 2430, average 429, total 1044264
@q5[openssl]: count 201627, average 431, total 86923570

@uc: count 2865, average 5280, total 15128614

@q1[openssl]: count 577, average 1578, total 910925
@q1[ksoftirqd/169]: count 24, average 2199, total 52799

@q2[openssl]: count 2464, average 576, total 1421168
@q2[ksoftirqd/169]: count 78, average 713, total 55622


@q4[openssl]: count 26800, average 951, total 25500810
@q4[ksoftirqd/169]: count 314, average 979, total 307585

@q5[openssl]: count 201787, average 431, total 87054566
@q5[ksoftirqd/169]: count 2257, average 434, total 980396

@uc: count 3751, average 10565, total 39632335

@q1[openssl]: count 570, average 1534, total 874404
@q1[ksoftirqd/169]: count 31, average 2622, total 81283

@q2[openssl]: count 2445, average 576, total 1409721
@q2[ksoftirqd/169]: count 98, average 673, total 66025


@q4[ksoftirqd/169]: count 387, average 949, total 367550
@q4[openssl]: count 26734, average 950, total 25407455

@q5[openssl]: count 201362, average 431, total 86815634
@q5[ksoftirqd/169]: count 2741, average 435, total 1193106

@uc: count 2969, average 5923, total 17587484

@q1[openssl]: count 567, average 1574, total 892845
@q1[ksoftirqd/169]: count 32, average 2103, total 67297

@q2[openssl]: count 2446, average 570, total 1395882
@q2[ksoftirqd/169]: count 98, average 665, total 65187
@q2[kworker/169:0]: count 3, average 8369, total 25107


@q4[ksoftirqd/169]: count 372, average 941, total 350374
@q4[openssl]: count 26727, average 951, total 25419991
@q4[kworker/169:0]: count 30, average 1858, total 55743

@q5[ksoftirqd/169]: count 2618, average 429, total 1123402
@q5[openssl]: count 201197, average 431, total 86813336
@q5[kworker/169:0]: count 225, average 482, total 108484

@uc: count 3001, average 5067, total 15207071

@q1[openssl]: count 576, average 1525, total 878600
@q1[ksoftirqd/169]: count 25, average 2336, total 58406

@q2[openssl]: count 2459, average 571, total 1404366
@q2[ksoftirqd/169]: count 91, average 672, total 61220


@q4[ksoftirqd/169]: count 372, average 954, total 354964
@q4[openssl]: count 26770, average 954, total 25551029

@q5[ksoftirqd/169]: count 2651, average 431, total 1144352
@q5[openssl]: count 201394, average 431, total 86953481

@uc: count 2902, average 4739, total 13752758

@q1[openssl]: count 567, average 1548, total 878212
@q1[ksoftirqd/169]: count 33, average 2138, total 70562

@q2[openssl]: count 2458, average 572, total 1406961
@q2[ksoftirqd/169]: count 97, average 690, total 67007
@q2[kworker/169:0]: count 1, average 20979, total 20979


@q4[ksoftirqd/169]: count 379, average 956, total 362701
@q4[openssl]: count 26724, average 956, total 25565840
@q4[kworker/169:0]: count 14, average 2433, total 34073

@q5[openssl]: count 201255, average 432, total 87037221
@q5[ksoftirqd/169]: count 2712, average 435, total 1182410
@q5[kworker/169:0]: count 111, average 500, total 55575

@uc: count 3324, average 5265, total 17502056

@q1[openssl]: count 566, average 1529, total 865564
@q1[ksoftirqd/169]: count 32, average 1964, total 62851

@q2[openssl]: count 2447, average 577, total 1412909
@q2[ksoftirqd/169]: count 93, average 674, total 62768
@q2[kworker/169:0]: count 2, average 13114, total 26229


@q4[ksoftirqd/169]: count 338, average 941, total 318076
@q4[openssl]: count 26769, average 951, total 25462186
@q4[kworker/169:0]: count 17, average 2760, total 46929

@q5[ksoftirqd/169]: count 2368, average 430, total 1019343
@q5[openssl]: count 201560, average 431, total 87046774
@q5[kworker/169:0]: count 126, average 502, total 63313

@uc: count 2930, average 4711, total 13804369

@q1[openssl]: count 571, average 1505, total 859519
@q1[ksoftirqd/169]: count 29, average 2379, total 69012
@q1[kworker/169:0]: count 1, average 14167, total 14167

@q2[openssl]: count 2452, average 570, total 1399740
@q2[ksoftirqd/169]: count 91, average 676, total 61593
@q2[kworker/169:0]: count 4, average 2845, total 11380


@q4[openssl]: count 26761, average 950, total 25423633
@q4[ksoftirqd/169]: count 340, average 951, total 323355
@q4[kworker/169:0]: count 41, average 1216, total 49861

@q5[openssl]: count 201375, average 431, total 86868595
@q5[ksoftirqd/169]: count 2395, average 435, total 1043411
