Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 1348, average 2070, total 2790744
@q1[ksoftirqd/169]: count 44, average 2160, total 95050
@q1[kworker/169:1]: count 5, average 4215, total 21078

@q2[openssl]: count 1430, average 618, total 883895
@q2[ksoftirqd/169]: count 75, average 716, total 53754
@q2[kworker/169:1]: count 6, average 1595, total 9570


@q4[openssl]: count 13174, average 1630, total 21475887
@q4[ksoftirqd/169]: count 604, average 1637, total 988966
@q4[kworker/169:1]: count 42, average 1868, total 78484

@q5[openssl]: count 99233, average 426, total 42324680
@q5[ksoftirqd/169]: count 4568, average 428, total 1958081
@q5[kworker/169:1]: count 315, average 438, total 138210

@uc: count 842, average 83127, total 69993157

@q1[ksoftirqd/169]: count 117, average 2241, total 262243
@q1[openssl]: count 807, average 2294, total 1851794

@q2[openssl]: count 1510, average 636, total 960455
@q2[ksoftirqd/169]: count 219, average 741, total 162373


@q4[ksoftirqd/169]: count 2441, average 950, total 2319928
@q4[openssl]: count 36710, average 955, total 35078693

@q5[openssl]: count 287365, average 428, total 123221829
@q5[ksoftirqd/169]: count 18694, average 430, total 8048888

@uc: count 2934, average 12338, total 36201694

@q1[openssl]: count 802, average 2233, total 1791025
@q1[ksoftirqd/169]: count 109, average 2609, total 284419
@q1[kworker/169:1]: count 1, average 36328, total 36328

@q2[openssl]: count 1476, average 633, total 934859
@q2[ksoftirqd/169]: count 205, average 794, total 162808
@q2[kworker/169:1]: count 1, average 30297, total 30297


@q4[openssl]: count 36934, average 956, total 35340533
@q4[ksoftirqd/169]: count 2223, average 957, total 2128097
@q4[kworker/169:1]: count 1, average 35547, total 35547

@q5[openssl]: count 289161, average 428, total 124034099
@q5[ksoftirqd/169]: count 17025, average 432, total 7358829
@q5[kworker/169:1]: count 6, average 4672, total 28034

@uc: count 2571, average 7447, total 19148757

@q1[openssl]: count 792, average 2259, total 1789564
@q1[ksoftirqd/169]: count 119, average 2501, total 297660

@q2[openssl]: count 1516, average 634, total 962351
@q2[ksoftirqd/169]: count 221, average 775, total 171447
@q2[kworker/169:1]: count 2, average 15043, total 30086


@q4[ksoftirqd/169]: count 2249, average 952, total 2141141
@q4[openssl]: count 36863, average 958, total 35344585
@q4[kworker/169:1]: count 42, average 1752, total 73605

@q5[openssl]: count 288626, average 428, total 123792011
@q5[ksoftirqd/169]: count 17141, average 432, total 7405903
@q5[kworker/169:1]: count 331, average 475, total 157266

@uc: count 2187, average 6994, total 15297098

@q1[ksoftirqd/169]: count 107, average 2235, total 239212
@q1[openssl]: count 799, average 2287, total 1827693
@q1[kworker/169:1]: count 1, average 36097, total 36097

@q2[openssl]: count 1500, average 658, total 987505
@q2[ksoftirqd/169]: count 214, average 678, total 145126
@q2[kworker/169:1]: count 1, average 33683, total 33683


@q4[ksoftirqd/169]: count 2420, average 953, total 2308603
@q4[openssl]: count 36733, average 956, total 35146007
@q4[kworker/169:1]: count 1, average 36608, total 36608

@q5[openssl]: count 287555, average 428, total 123207574
@q5[ksoftirqd/169]: count 18564, average 430, total 7991013
@q5[kworker/169:1]: count 6, average 4739, total 28434

@uc: count 1963, average 6500, total 12760588

@q1[ksoftirqd/169]: count 107, average 2239, total 239654
@q1[openssl]: count 802, average 2259, total 1811878

@q2[openssl]: count 1490, average 652, total 972883
@q2[ksoftirqd/169]: count 207, average 658, total 136406


@q4[ksoftirqd/169]: count 2182, average 949, total 2072401
@q4[openssl]: count 36953, average 958, total 35410161

@q5[openssl]: count 289292, average 428, total 123966720
@q5[ksoftirqd/169]: count 16675, average 430, total 7178306

@uc: count 2008, average 7239, total 14537201

@q1[openssl]: count 794, average 2237, total 1776299
@q1[ksoftirqd/169]: count 118, average 2520, total 297392

@q2[openssl]: count 1471, average 638, total 938832
@q2[ksoftirqd/169]: count 224, average 789, total 176792


@q4[openssl]: count 36771, average 957, total 35222813
@q4[ksoftirqd/169]: count 2405, average 969, total 2332557

@q5[openssl]: count 287801, average 428, total 123454147
@q5[ksoftirqd/169]: count 18391, average 432, total 7955143

@uc: count 2331, average 6744, total 15722505

@q1[openssl]: count 798, average 2298, total 1834364
@q1[ksoftirqd/169]: count 118, average 2368, total 279512

@q2[ksoftirqd/169]: count 216, average 657, total 141970
@q2[openssl]: count 1448, average 657, total 951767
@q2[kworker/169:1]: count 2, average 18224, total 36449


@q4[openssl]: count 36519, average 958, total 34995631
@q4[ksoftirqd/169]: count 2583, average 961, total 2484450
@q4[kworker/169:1]: count 44, average 1800, total 79237

@q5[openssl]: count 285943, average 428, total 122595474
@q5[ksoftirqd/169]: count 19855, average 433, total 8609635
@q5[kworker/169:1]: count 347, average 509, total 176700

@uc: count 2069, average 6695, total 13852250

@q1[openssl]: count 802, average 2295, total 1841273
@q1[ksoftirqd/169]: count 107, average 2432, total 260275
@q1[kworker/169:1]: count 1, average 33623, total 33623

@q2[openssl]: count 1452, average 655, total 952046
@q2[ksoftirqd/169]: count 219, average 665, total 145661
@q2[kworker/169:1]: count 1, average 33342, total 33342


