Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@uc: count 5333, average 2916, total 15552369




@q4[ksoftirqd/169]: count 21459, average 1256, total 26964449

@q5[ksoftirqd/169]: count 170652, average 434, total 74080510

@uc: count 4519, average 6071, total 27439095




@q4[ksoftirqd/169]: count 21415, average 1261, total 27011453

@q5[ksoftirqd/169]: count 170334, average 433, total 73890336

@uc: count 5218, average 3230, total 16854861




@q4[ksoftirqd/169]: count 18041, average 1282, total 23131131

@q5[ksoftirqd/169]: count 143476, average 440, total 63254662

@uc: count 5902, average 8986, total 53035565




@q4[ksoftirqd/169]: count 17546, average 1286, total 22571540

@q5[ksoftirqd/169]: count 139587, average 445, total 62155441

@uc: count 6740, average 3334, total 22477413




@q4[ksoftirqd/169]: count 17911, average 1264, total 22652974

@q5[ksoftirqd/169]: count 142487, average 443, total 63201467

@uc: count 4676, average 3532, total 16519116




@q4[ksoftirqd/169]: count 17953, average 1282, total 23026643

@q5[ksoftirqd/169]: count 142828, average 441, total 63057596

@uc: count 5861, average 3101, total 18175848




@q4[ksoftirqd/169]: count 17573, average 1301, total 22877902

@q5[ksoftirqd/169]: count 139745, average 444, total 62098210

@uc: count 5748, average 3573, total 20537811




@q4[ksoftirqd/169]: count 17992, average 1297, total 23335832

@q5[ksoftirqd/169]: count 143095, average 441, total 63136870

@uc: count 5783, average 3369, total 19488591




@q4[ksoftirqd/169]: count 17962, average 1282, total 23036002

@q5[ksoftirqd/169]: count 142870, average 442, total 63226319

@uc: count 5663, average 3620, total 20504782




@q4[ksoftirqd/169]: count 17979, average 1273, total 22901111

@q5[ksoftirqd/169]: count 143007, average 442, total 63257232

@uc: count 6699, average 3565, total 23884080




@q4[ksoftirqd/169]: count 19747, average 1208, total 23862522

@q5[ksoftirqd/169]: count 157036, average 431, total 67801214

@uc: count 2190, average 6757, total 14799615




@q4[ksoftirqd/169]: count 17902, average 1279, total 22899951

@q5[ksoftirqd/169]: count 142427, average 441, total 62915396

@uc: count 5901, average 4123, total 24332713




@q4[ksoftirqd/169]: count 18084, average 1263, total 22840131

@q5[ksoftirqd/169]: count 143786, average 441, total 63421301

@uc: count 7313, average 2956, total 21623370




@q4[ksoftirqd/169]: count 17620, average 1275, total 22468136

@q5[ksoftirqd/169]: count 140192, average 442, total 62102191

@uc: count 7841, average 5102, total 40007055




@q4[ksoftirqd/169]: count 17837, average 1259, total 22463053

@q5[ksoftirqd/169]: count 141853, average 442, total 62753611

@uc: count 6807, average 5850, total 39826435




@q4[ksoftirqd/169]: count 17856, average 1259, total 22486106

@q5[ksoftirqd/169]: count 142013, average 440, total 62487375

@uc: count 8088, average 2713, total 21946783




@q4[ksoftirqd/169]: count 17920, average 1277, total 22896108

@q5[ksoftirqd/169]: count 142585, average 442, total 63158415

@uc: count 6640, average 3124, total 20747566




@q4[ksoftirqd/169]: count 17865, average 1284, total 22950027
