Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 214, average 1561, total 334182
@q1[ksoftirqd/169]: count 5, average 8936, total 44683

@q2[ksoftirqd/169]: count 17, average 969, total 16479
@q2[openssl]: count 1155, average 5023, total 5802672


@q4[openssl]: count 14589, average 1205, total 17584090
@q4[ksoftirqd/169]: count 159, average 1326, total 210923

@q5[openssl]: count 112089, average 434, total 48650816
@q5[ksoftirqd/169]: count 1169, average 435, total 509042

@uc: count 2590, average 33912, total 87833127

@q1[openssl]: count 467, average 1624, total 758566
@q1[ksoftirqd/169]: count 17, average 2147, total 36508

@q2[openssl]: count 2179, average 655, total 1427793
@q2[ksoftirqd/169]: count 37, average 1284, total 47526
@q2[kworker/169:1]: count 2, average 17528, total 35056


@q4[openssl]: count 19681, average 965, total 18999466
@q4[ksoftirqd/169]: count 193, average 1023, total 197532
@q4[kworker/169:1]: count 15, average 3141, total 47120

@q5[openssl]: count 151609, average 431, total 65458391
@q5[ksoftirqd/169]: count 1354, average 447, total 605823
@q5[kworker/169:1]: count 112, average 726, total 81420

@uc: count 2846, average 6184, total 17600136

@q1[openssl]: count 445, average 1593, total 708936
@q1[ksoftirqd/169]: count 23, average 1861, total 42811
@q1[kworker/169:1]: count 1, average 14216, total 14216

@q2[openssl]: count 2104, average 652, total 1372011
@q2[ksoftirqd/169]: count 58, average 708, total 41109
@q2[kworker/169:1]: count 2, average 5905, total 11811


@q4[ksoftirqd/169]: count 271, average 949, total 257316
@q4[openssl]: count 19584, average 966, total 18920893
@q4[kworker/169:1]: count 13, average 1720, total 22372

@q5[openssl]: count 151098, average 431, total 65263456
@q5[ksoftirqd/169]: count 1889, average 438, total 828272
@q5[kworker/169:1]: count 96, average 529, total 50863

@uc: count 2754, average 5673, total 15624872

@q1[openssl]: count 461, average 1624, total 748881
@q1[ksoftirqd/169]: count 16, average 1831, total 29304

@q2[openssl]: count 2140, average 665, total 1424275
@q2[ksoftirqd/169]: count 50, average 948, total 47437


@q4[openssl]: count 19600, average 966, total 18943355
@q4[ksoftirqd/169]: count 280, average 967, total 270941

@q5[openssl]: count 151009, average 432, total 65239126
@q5[ksoftirqd/169]: count 2007, average 437, total 878810

@uc: count 3137, average 6406, total 20098504

@q1[openssl]: count 441, average 1566, total 690809
@q1[ksoftirqd/169]: count 17, average 2036, total 34626

@q2[openssl]: count 2124, average 658, total 1399252
@q2[ksoftirqd/169]: count 39, average 1094, total 42697
@q2[kworker/169:1]: count 1, average 27562, total 27562


@q4[openssl]: count 19660, average 962, total 18926456
@q4[ksoftirqd/169]: count 203, average 994, total 201846
@q4[kworker/169:1]: count 13, average 2568, total 33391

@q5[openssl]: count 151533, average 431, total 65353656
@q5[ksoftirqd/169]: count 1449, average 439, total 637341
@q5[kworker/169:1]: count 100, average 691, total 69160

@uc: count 2641, average 5214, total 13771694

@q1[openssl]: count 442, average 1567, total 692683
@q1[ksoftirqd/169]: count 22, average 2618, total 57600

@q2[openssl]: count 2119, average 657, total 1394294
@q2[ksoftirqd/169]: count 50, average 757, total 37880


@q4[ksoftirqd/169]: count 255, average 958, total 244401
@q4[openssl]: count 19602, average 969, total 19003323

@q5[openssl]: count 151164, average 431, total 65225542
@q5[ksoftirqd/169]: count 1817, average 433, total 786884

@uc: count 2630, average 6024, total 15845050

@q1[openssl]: count 452, average 1631, total 737528
@q1[ksoftirqd/169]: count 22, average 2394, total 52672

@q2[openssl]: count 2134, average 658, total 1405480
@q2[ksoftirqd/169]: count 47, average 723, total 34019
@q2[kworker/169:1]: count 1, average 35406, total 35406


@q4[ksoftirqd/169]: count 243, average 963, total 234119
@q4[openssl]: count 19625, average 965, total 18951520
@q4[kworker/169:1]: count 13, average 3519, total 45747

@q5[openssl]: count 151237, average 432, total 65355490
@q5[ksoftirqd/169]: count 1728, average 438, total 756941
@q5[kworker/169:1]: count 102, average 731, total 74579

@uc: count 2725, average 4756, total 12961375

@q1[openssl]: count 438, average 1590, total 696593
@q1[ksoftirqd/169]: count 24, average 1737, total 41705
@q1[kworker/169:1]: count 1, average 15239, total 15239

@q2[openssl]: count 2099, average 654, total 1373830
@q2[ksoftirqd/169]: count 54, average 723, total 39042
@q2[kworker/169:1]: count 1, average 33784, total 33784


@q4[ksoftirqd/169]: count 281, average 945, total 265730
@q4[openssl]: count 19592, average 966, total 18943186
@q4[kworker/169:1]: count 1, average 28594, total 28594

@q5[openssl]: count 151060, average 431, total 65206341
@q5[ksoftirqd/169]: count 1972, average 434, total 856032
@q5[kworker/169:1]: count 3, average 10219, total 30658

@uc: count 2899, average 5430, total 15741778

@q1[openssl]: count 465, average 1618, total 752681
@q1[ksoftirqd/169]: count 13, average 2235, total 29065
@q1[kworker/169:1]: count 1, average 14948, total 14948

@q2[openssl]: count 2169, average 656, total 1424509
@q2[ksoftirqd/169]: count 33, average 778, total 25697
@q2[kworker/169:1]: count 3, average 11124, total 33373


@q4[openssl]: count 19658, average 965, total 18971145
@q4[ksoftirqd/169]: count 205, average 973, total 199564
@q4[kworker/169:1]: count 31, average 1884, total 58417

@q5[openssl]: count 151355, average 431, total 65341946
@q5[ksoftirqd/169]: count 1487, average 435, total 647127
@q5[kworker/169:1]: count 236, average 558, total 131708

@uc: count 2645, average 4954, total 13105192

@q1[openssl]: count 441, average 1567, total 691262
@q1[ksoftirqd/169]: count 21, average 1874, total 39364
@q1[kworker/169:1]: count 2, average 8401, total 16802

@q2[openssl]: count 2115, average 660, total 1396458
@q2[ksoftirqd/169]: count 49, average 764, total 37446
@q2[kworker/169:1]: count 3, average 11227, total 33683


@q4[openssl]: count 19644, average 965, total 18959877
@q4[ksoftirqd/169]: count 215, average 967, total 207917
@q4[kworker/169:1]: count 15, average 2664, total 39963

@q5[openssl]: count 151468, average 431, total 65384718
@q5[ksoftirqd/169]: count 1498, average 438, total 657486
@q5[kworker/169:1]: count 107, average 710, total 76055

@uc: count 2581, average 4852, total 12523948

@q1[openssl]: count 447, average 1602, total 716455
@q1[ksoftirqd/169]: count 20, average 1776, total 35538

@q2[openssl]: count 2122, average 659, total 1399031
@q2[ksoftirqd/169]: count 54, average 800, total 43202
@q2[kworker/169:1]: count 2, average 17513, total 35026


@q4[ksoftirqd/169]: count 258, average 953, total 246072
@q4[openssl]: count 19601, average 967, total 18958666
@q4[kworker/169:1]: count 25, average 2109, total 52749

@q5[openssl]: count 151058, average 431, total 65190745
@q5[ksoftirqd/169]: count 1808, average 437, total 791826
@q5[kworker/169:1]: count 196, average 585, total 114722

@uc: count 2790, average 5667, total 15812263

@q1[openssl]: count 450, average 1597, total 718659
@q1[ksoftirqd/169]: count 17, average 1876, total 31900

@q2[openssl]: count 2108, average 659, total 1390658
@q2[ksoftirqd/169]: count 49, average 820, total 40219


@q4[ksoftirqd/169]: count 238, average 956, total 227752
@q4[openssl]: count 19613, average 970, total 19037645

@q5[openssl]: count 151368, average 432, total 65400509
@q5[ksoftirqd/169]: count 1653, average 438, total 725429

@uc: count 3208, average 9096, total 29181758

@q1[openssl]: count 450, average 1593, total 717083
@q1[ksoftirqd/169]: count 17, average 2147, total 36508

@q2[openssl]: count 2131, average 658, total 1404316
@q2[ksoftirqd/169]: count 40, average 1274, total 50987
@q2[kworker/169:1]: count 1, average 31058, total 31058


@q4[openssl]: count 19626, average 968, total 19014156
@q4[ksoftirqd/169]: count 225, average 1042, total 234457
@q4[kworker/169:1]: count 13, average 2901, total 37721

@q5[openssl]: count 151406, average 431, total 65376874
@q5[ksoftirqd/169]: count 1609, average 446, total 718498
@q5[kworker/169:1]: count 100, average 716, total 71675

@uc: count 2874, average 9255, total 26600345

@q1[openssl]: count 455, average 1636, total 744410
@q1[ksoftirqd/169]: count 20, average 1883, total 37673
@q1[kworker/169:1]: count 2, average 7448, total 14897

@q2[openssl]: count 2136, average 658, total 1407180
