ues,clock_nanosleep,epoll_wait,futex,io_getevents,poll,ppoll,read,sched_yield,select,sendmsg
0,922.0719066423841,315.2252098561279,54.811331878793126,500.1583923693046,508.999867631728,695.6109913085106,0.977259784789398,,414.71817078612713,0.5965933438836613
5,909.4258110789474,292.45718132470455,53.4039778814884,500.1500241470823,348.0017059663093,1487.0196812045453,0.9775433856694383,0.0027224490500863557,392.11125296531793,0.8004460318416523
10,921.54674824,308.30201891972865,58.797549151544814,500.1579303461231,350.61788713312694,726.7692254444445,0.9764226304313282,0.64540865,390.8823368731988,0.07221340222984562
50,927.4897847181207,316.46405519104667,55.84180760053274,500.1550569104716,433.7829559763113,948.3802726376812,0.9776265793720926,2.8580046666666665,385.14994652272725,0.6760477821522309
100,1385.0730873636364,406.81473873219,45.71961550348224,500.1420127897682,651.71249034375,826.5172971898735,0.9806397033192817,,439.76359772402594,0.7232265365111562
200,927.4292161677853,336.7127141889014,53.459845237902705,500.14817293067733,436.55123810895526,1189.4374386545455,0.9775815980533232,1.0987614186046513,394.2214961133721,0.618874933014354
300,921.5481267600001,333.62997751302936,57.16198928953084,500.1426788425259,440.0402778390177,1362.1753475416667,0.9768200443420103,,392.0697295606936,0.45982464358772623
