ues,read,write
0,0.004035,0.01760225
5,0.00562,0.021555038461538462
10,0.005223,0.008466240384615385
50,,0.00827151897689769
100,0.006389,0.006270619521912351
200,,0.0068494027377521615
300,0.009458,0.006386656474545177
