ues,epoll_wait,poll
0,60051.67902,0.08625
5,60041.318602,0.072069
10,60038.000145,12.012561
50,60056.014129,0.079744
100,59738.595788,0.094116
200,50046.144568,382.013543
300,60054.16988,0.057976
