ues,epoll_wait,poll
0,60655.729319,0.484388
5,61533.12809,0.525177
10,61263.530475,1.218275
50,61518.615389,0.545467
100,60017.481518,0.665016
200,68747.712082,47.906241
300,68610.021418,1.201413
