ues,clock_nanosleep,epoll_wait,futex,io_getevents,openat,poll,ppoll,read,select,sendmsg
0,139232.857903,532415.379447,1266196.577732,625698.148854,203.88613,359353.906548,65387.433183,276307.499772,143492.487092,697.417619
5,138232.723284,519696.411214,1257236.447286,625687.680208,198.295063,227245.113996,65428.865973,276511.832244,135670.493526,930.118289
10,138232.012236,545386.271469,1381624.809963,625697.570863,125.066356,226499.155088,65409.23029,276518.006825,135636.170895,84.200827
50,138195.977923,501911.991533,1257836.716202,625693.976195,208.039209,256365.726982,65438.238812,276578.380317,135572.781176,772.722615
100,198065.451493,616731.143918,1030657.292295,625677.658,166.981658,291967.195674,65294.866478,276824.78185,135447.188099,713.101365
200,138186.953209,600695.482113,1242887.941936,627685.957028,229.227415,292489.329533,65419.059126,276500.156775,135612.194663,776.069166
300,138232.219014,614546.418579,1315868.993445,625678.491232,335.436681,322549.523656,65384.416682,276334.575984,135656.126428,584.437122
