ues,read,write
0,0.0016825,0.0034464
5,0.0039696666666666665,0.0024571
10,0.00193,0.0027023
50,0.0019116666666666665,0.0024126
100,0.0020276666666666668,0.0025228
200,0.0018261666666666667,0.003962363636363636
300,0.002349333333333333,0.0030385
