ues,recvfrom,recvmsg
0,,0.009359131578947369
5,0.005350909090909091,0.007325973684210526
10,0.006399650000000001,0.003341125
50,0.00575175,0.003986894204231831
100,,0.007353999999999999
200,0.00508204347826087,0.00614
300,,0.0067060789473684206
