ues,free5gc,oai,open5gs
0,4061.0,2.0,4.0
5,11145.0,2.0,2.0
10,15577.0,2.0,4.0
50,53302.0,,4.0
100,97348.0,2.0,
200,180118.0,2.0,2.0
300,272030.0,2.0,4.0
