ues,clock_nanosleep,epoll_pwait,epoll_wait,futex,nanosleep,poll,ppoll,recvmsg,select,write
0,202952.444617,263915.076085,281774.158645,1621020.969481,5324.207969,223813.477334,65009.407623,470696.029,160139.164429,6.048152
5,262960.91498,262439.475151,260023.269988,2108657.563864,8530.204749,220403.301778,65007.57385,426215.328142,135158.623336,63.632418
10,206967.369134,256917.946259,210215.657503,2187372.733139,7715.719173,223204.281712,65006.858203,426624.951503,135151.317616,113.21181
50,202952.454888,265301.058812,268000.514488,1681340.738525,16177.114629,316344.172006,65007.792238,429255.444442,135783.150394,647.867068
100,202846.755369,266128.466294,252534.816434,1673278.868772,25492.688054,223071.218612,65009.319503,432242.960133,135948.40518,1269.597879
200,202840.557009,291674.393699,252838.849247,1769982.307322,42258.366124,223545.612333,65006.885729,435369.777805,136828.877713,2595.357939
300,262626.482103,274886.680171,256815.906554,2126845.526164,55841.208036,223072.516036,65004.424687,440339.442213,151348.52405,4028.096194
