ues,clock_nanosleep,epoll_wait,futex,nanosleep,openat,poll,ppoll,recvmsg,select,sendmsg
0,262965.536647,1235280.57072,2984934.033412,94.642612,65.219906,340236.939008,65008.002509,279691.784887,144960.095446,89.758779
5,266974.154748,1138033.010966,2882692.740309,117.029166,82.145082,268818.291214,65008.978993,279913.734841,135216.277823,155.263813
10,202978.969615,1216316.369186,2865490.549557,168.440079,132.796106,341643.807738,70010.770181,280065.34789,145046.068072,202.628934
50,262972.528575,1216887.953936,2990883.290974,206.329819,146.373945,341750.643608,65009.823216,280452.957122,145282.879779,257.444972
100,326974.605343,1169721.830471,3279210.485237,286.876398,243.135054,227055.961326,65006.317653,279816.759051,143741.5782,374.893933
200,266961.713915,1076971.172216,3119840.849274,12.948301,20.760377,224430.251995,65007.016396,279732.6443,135111.882289,25.007174
300,266872.249683,1055570.605999,2835621.282501,0.439432,19.455304,223020.47726,65007.649775,279482.611335,135071.656052,36.915831
