ues,clock_nanosleep,epoll_wait,fdatasync,fsync,futex,nanosleep,poll,ppoll,recvmsg,select
0,335.41522531505103,801.6097149383517,0.69285525,2.361057,391.31279934609336,0.3479507794117647,815.915920882494,2708.666771208333,79.95762861263579,674.2330020744186
5,340.09446464713375,417.01466140197874,1.9605957777777776,4.930098,367.31558872438836,0.292572915,273.4672341953205,2826.477347521739,71.80957794792201,582.8287837198276
10,259.2324005300128,278.52447199129836,1.8295449000000001,2.679619,342.352514881362,0.3416634462474645,180.95540664088983,2800.43080724,59.235479672165816,426.60608256470584
50,335.42414359056124,121.25228715982462,3.2560285714285717,,216.22927204843842,0.3088769745508982,19.29922315382878,2708.7426339999997,36.91627709911807,410.4036151949153
100,415.9982256272264,286.6965270762255,2.2820505,2.018962,373.8696254973207,0.435982367781155,147.7267152413793,2600.25270612,52.33154274378156,270.69977062146893
200,340.07861645222926,268.50440593767144,0.79451825,2.440496,311.1129686152772,0.1523329529411765,97.74836759364112,2708.6256831666665,60.15755791397849,9650.848734928572
300,340.39827765688773,189.06870965412858,1.0356705,2.626954,247.2206872276373,0.14647733333333332,93.54885791107384,2826.4195554347825,50.484575746929195,9647.975432285715
