Number of UEs,OAI,Open5gs,Free5gc
1,106348,106351,106348
2,106261,106347,106330.6667
3,106138,106295.3333,106178.6667
4,106015,106217,106033.3333
5,105934,106210.6667,105874.6667
10,105730.6667,105959.6667,105121.3333
20,105322.6667,105448,103601.3333
30,104282.6667,105209.3333,102074.6667
40,104262.3333,104848.6667,100574.6667
50,104246,105066,99034.66667
100,104244.3333,103872,91693.66667
200,104226,103856,76241.33333
300,104200,103842.3333,55273.33333
