ues,epoll_wait,poll
0,60033.838077,0.077142
5,50056.459061,0.105834
10,50049.508953,0.194405
50,50041.360439,0.07718
100,60585.357643,0.064257
200,60445.042369,17.210406
300,60654.813072,0.090761
