ues,epoll_wait,poll
0,60047.556553,0.089447
5,50055.766625,0.098642
10,50042.053087,0.086845
50,60068.087056,0.095475
100,60051.99288,0.106456
200,50051.030527,0.068465
300,60044.803238,0.065176
