,cn,comm,ues,count,pid,time,time (ms),tool,diff
338,open5gs,open5gs-bsfd,100,105,61588,15:44:24,50050.54086,sysprocess,0.04
339,open5gs,open5gs-ausfd,100,151,61598,15:44:24,50029.310195,sysprocess,-98.88
340,free5gc,ModemManager,100,50,772,07:23:53,4.067553,sysprocess,0.12
341,free5gc,pcf,100,73516,18629,07:23:53,225438.658809,sysprocess,747.8
342,open5gs,open5gs-nssfd,100,99,61600,15:44:24,60036.480172,sysprocess,0.02
343,open5gs,open5gs-amfd,100,3558,61576,15:44:24,56759.55081,sysprocess,-270.28
344,open5gs,systemd-network,100,100,15336,15:44:24,66274.904872,sysprocess,0.0
345,free5gc,upf,100,132,18565,07:23:53,10.593414,sysprocess,-0.08
346,free5gc,polkitd,100,80,691,07:23:53,9.806254,sysprocess,0.18
347,free5gc,multipathd,100,436,460,07:23:53,263024.16102,sysprocess,0.04
348,oai,dbus-daemon,100,312,587,23:11:20,624.702671,sysprocess,1.4
349,open5gs,multipathd,100,293,459,15:44:24,263029.975369,sysprocess,0.0
350,open5gs,[unknown],100,186,61796,15:44:24,3982.486141,sysprocess,-24.58
351,open5gs,systemd-logind,100,89,693,15:44:24,5.594802,sysprocess,
352,open5gs,open5gs-pcfd,100,155,61601,15:44:24,60020.99468,sysprocess,-41.14
353,open5gs,mongod,100,7048,13249,15:44:24,1072840.448746,sysprocess,-36.0
354,oai,[unknown],100,3388,99980,23:11:20,4367.448193,sysprocess,27.1
355,oai,irqbalance,100,130,593,23:11:20,59999.512088,sysprocess,0.92
356,free5gc,python3,100,71,77337,07:23:53,70067.750654,sysprocess,-0.44
357,free5gc,mongod,100,38071,13372,07:23:53,1267798.164776,sysprocess,303.64
358,open5gs,systemd-journal,100,2973,328,15:44:24,68455.794893,sysprocess,-5.64
359,oai,sshd,100,724,100045,23:11:20,86.147507,sysprocess,3.94
360,oai,mysqld,100,41761,717,23:11:20,1654187.044009,sysprocess,376.68
361,open5gs,udisksd,100,37,698,15:44:24,3.423297,sysprocess,
362,open5gs,open5gs-upfd,100,49,61582,15:44:24,66274.70994,sysprocess,-0.28
363,free5gc,systemd-logind,100,116,695,07:23:53,6.127165,sysprocess,-0.02
364,oai,systemd-resolve,100,1747,547,23:11:20,65089.951645,sysprocess,17.11111111111111
365,free5gc,accounts-daemon,100,481,36853,07:23:53,68109.979926,sysprocess,0.0
366,free5gc,amf,100,427930,18598,07:23:53,291200.432806,sysprocess,3802.68
367,free5gc,systemd,100,191,1,07:23:53,31306.270588,sysprocess,0.54
368,free5gc,cron,100,6,682,07:23:53,0.038987,sysprocess,0.0
369,oai,systemd,100,4970,1,23:11:20,68484.643627,sysprocess,34.28
370,free5gc,ausf,100,115474,18654,07:23:53,20598.998634,sysprocess,1248.18
371,oai,systemd-network,100,81,545,23:11:20,31487.67955,sysprocess,1.2
372,open5gs,open5gs-udmd,100,170,61591,15:44:24,50044.433923,sysprocess,-229.2
373,oai,smf,100,1900,100146,23:11:20,180066.30025,sysprocess,9.7
374,oai,rsyslogd,100,1490,599,23:11:20,135080.765029,sysprocess,2.14
375,open5gs,open5gs-mmed,100,1521,61612,15:44:24,545347.796211,sysprocess,-1.26
376,oai,systemd-logind,100,737,608,23:11:20,553.608556,sysprocess,5.82
377,open5gs,rsyslogd,100,1659,691,15:44:24,130116.33774,sysprocess,-33.82
378,free5gc,systemd-udevd,100,153,54380,07:23:53,16.981914,sysprocess,-1.7
379,free5gc,systemd-journal,100,1485,43813,07:23:53,65378.136676,sysprocess,0.02
380,oai,systemd-journal,100,5938,332,23:11:20,67760.203628,sysprocess,56.38
381,oai,systemd-timesyn,100,826,85902,23:11:20,130107.324445,sysprocess,
382,open5gs,open5gs-smfd,100,1734,61606,15:44:24,605378.886678,sysprocess,-1.46
383,oai,systemctl,100,648,100126,23:11:20,389.84658,sysprocess,1.3
384,oai,python3,100,67,100103,23:11:20,70068.341177,sysprocess,-0.74
385,open5gs,systemd,100,158,1,15:44:24,60564.832619,sysprocess,-0.44
386,open5gs,ModemManager,100,57,770,15:44:24,3.787953,sysprocess,
387,open5gs,open5gs-sgwcd,100,38,61590,15:44:24,55045.839764,sysprocess,0.06
388,open5gs,polkitd,100,81,689,15:44:24,8.613685,sysprocess,
389,free5gc,systemd-network,100,45,43784,07:23:53,32511.952709,sysprocess,-0.96
390,oai,udr,100,70071,100145,23:11:20,67414.486633,sysprocess,8.44
391,free5gc,snapd,100,302,60466,07:23:53,96.753207,sysprocess,5.74
392,open5gs,snapd,100,3808,692,15:44:24,77805.236135,sysprocess,-16.6
393,oai,nrf,100,69796,100128,23:11:20,128093.439708,sysprocess,5.68
394,oai,udm,100,69339,100131,23:11:20,67857.441051,sysprocess,-5.22
395,open5gs,python3,100,52,61569,15:44:24,70070.482645,sysprocess,-0.68
396,free5gc,udisksd,100,51,700,07:23:53,3.921759,sysprocess,0.18
397,free5gc,sshd,100,3,59763,07:23:53,0.03268,sysprocess,0.0
398,oai,snapd,100,5382,85885,23:11:20,69825.947015,sysprocess,51.94
399,free5gc,dbus-daemon,100,171,683,07:23:53,5.660948,sysprocess,0.26
400,oai,systemd-udevd,100,4047,364,23:11:20,4041.370961,sysprocess,34.08
401,open5gs,open5gs-sgwud,100,41,61603,15:44:24,58546.879057,sysprocess,-0.02
402,open5gs,open5gs-udrd,100,102,61604,15:44:24,50034.504692,sysprocess,-78.06
403,open5gs,systemd-udevd,200,3748,364,17:29:10,14334.552162,sysprocess,-0.44
404,free5gc,nrf,200,397211,18587,08:05:22,274692.358991,sysprocess,2013.51
405,open5gs,open5gs-mmed,200,1522,71438,17:29:10,545234.324186,sysprocess,0.01
406,open5gs,python3,200,118,71402,17:29:10,70049.006175,sysprocess,0.66
407,open5gs,open5gs-nrfd,200,8387,71418,17:29:10,61161.258276,sysprocess,66.61
408,open5gs,open5gs-upfd,200,47,71417,17:29:10,65487.860392,sysprocess,-0.02
409,free5gc,ausf,200,198638,18654,08:05:22,27943.19687,sysprocess,831.64
410,open5gs,open5gs-udrd,200,15254,71434,17:29:10,60651.672334,sysprocess,151.52
411,free5gc,amf,200,756351,18598,08:05:22,326016.441962,sysprocess,3284.21
412,open5gs,systemd-network,200,88,15336,17:29:10,63775.255548,sysprocess,-0.12
413,free5gc,irqbalance,200,138,688,08:05:22,59999.618794,sysprocess,0.32
414,open5gs,open5gs-sgwcd,200,36,71428,17:29:10,55044.775953,sysprocess,-0.02
415,free5gc,[unknown],200,124,82265,08:05:22,2.608819,sysprocess,0.08
416,free5gc,dbus-daemon,200,168,683,08:05:22,4.972853,sysprocess,-0.03
417,open5gs,open5gs-scpd,200,114968,71427,17:29:10,59029.621598,sysprocess,1117.81
418,open5gs,snapd,200,2964,692,17:29:10,21600.38059,sysprocess,-8.44
419,open5gs,open5gs-sgwud,200,42,71429,17:29:10,58544.129646,sysprocess,0.01
420,open5gs,open5gs-pcrfd,200,1527,71441,17:29:10,545366.829218,sysprocess,-1.1
421,free5gc,multipathd,200,442,460,08:05:22,265025.129976,sysprocess,0.06
422,open5gs,systemd-journal,200,20070,328,17:29:10,68408.772173,sysprocess,170.97
423,open5gs,open5gs-smfd,200,1657,71440,17:29:10,605381.178046,sysprocess,-0.77
424,free5gc,cron,200,6,682,08:05:22,0.045542,sysprocess,0.0
425,open5gs,open5gs-pcfd,200,8165,71426,17:29:10,59894.087688,sysprocess,80.1
426,free5gc,accounts-daemon,200,474,36853,08:05:22,65483.442199,sysprocess,-0.07
427,open5gs,systemd,200,158,1,17:29:10,60405.405113,sysprocess,0.0
428,open5gs,open5gs-udmd,200,51806,71433,17:29:10,60135.560977,sysprocess,516.36
429,open5gs,rsyslogd,200,38337,691,17:29:10,129888.922788,sysprocess,366.78
430,open5gs,open5gs-nssfd,200,100,71425,17:29:10,60051.092551,sysprocess,0.01
431,free5gc,mongod,200,64780,13372,08:05:22,1280097.530725,sysprocess,267.09
432,free5gc,ModemManager,200,50,772,08:05:22,2.752577,sysprocess,0.0
433,oai,[unknown],200,660,125256,00:45:16,3818.176853,sysprocess,-27.28
434,oai,sshd,200,737,125337,00:45:16,100.024396,sysprocess,0.13
435,oai,multipathd,200,436,459,00:45:16,263017.572185,sysprocess,0.0
436,free5gc,rsyslogd,200,106,35679,08:05:22,130137.545916,sysprocess,0.0
437,open5gs,cron,200,13,680,17:29:10,60000.313043,sysprocess,0.0
438,oai,systemd-logind,200,737,608,00:45:16,578.035663,sysprocess,0.0
439,free5gc,udm,200,517270,18639,08:05:22,67168.021417,sysprocess,2356.48
440,open5gs,accounts-daemon,200,517,677,17:29:10,68583.196758,sysprocess,0.92
441,oai,mysqld,200,41768,717,00:45:16,1629543.286767,sysprocess,0.07
442,open5gs,[unknown],200,538,71628,17:29:10,5288.545098,sysprocess,3.52
443,free5gc,smf,200,137,18610,08:05:22,11.368306,sysprocess,0.01
444,oai,sudo,200,1212,125413,00:45:16,4.070828,sysprocess,
445,oai,smf,200,1895,125437,00:45:16,180077.701719,sysprocess,-0.05
446,free5gc,systemd-udevd,200,97,54380,08:05:22,6.518619,sysprocess,-0.56
447,oai,udr,200,70066,125447,00:45:16,67310.946328,sysprocess,-0.05
448,oai,nrf,200,69731,125420,00:45:16,127935.605961,sysprocess,-0.65
449,free5gc,systemd,200,166,1,08:05:22,22384.619805,sysprocess,-0.25
450,oai,udm,200,70024,125423,00:45:16,67680.483792,sysprocess,6.85
451,oai,systemd-network,200,134,545,00:45:16,27515.373243,sysprocess,0.53
452,free5gc,udisksd,200,42,700,08:05:22,2.777083,sysprocess,-0.09
453,oai,python3,200,81,125395,00:45:16,70038.478321,sysprocess,0.14
454,oai,systemd-udevd,200,4055,364,00:45:16,3480.953473,sysprocess,0.08
455,free5gc,sshd,200,3,59763,08:05:22,0.03045,sysprocess,0.0
456,oai,rsyslogd,200,1521,599,00:45:16,135021.218269,sysprocess,0.31
457,oai,systemd-resolve,200,1814,547,00:45:16,65049.888456,sysprocess,0.67
458,oai,systemd-timesyn,200,806,85902,00:45:16,130137.128201,sysprocess,-0.2
459,free5gc,snapd,200,1318,60466,08:05:22,6.315316,sysprocess,10.16
460,oai,irqbalance,200,138,593,00:45:16,60008.216852,sysprocess,0.08
461,free5gc,systemd-journal,200,1486,43813,08:05:22,65512.603448,sysprocess,0.01
462,oai,dbus-daemon,200,285,587,00:45:16,640.454644,sysprocess,-0.27
463,oai,systemctl,200,733,125418,00:45:16,414.523848,sysprocess,0.85
464,open5gs,open5gs-ausfd,200,30972,71423,17:29:10,60505.338667,sysprocess,308.21
465,free5gc,systemd-logind,200,122,695,08:05:22,10822.3321,sysprocess,0.06
466,free5gc,pcf,200,132785,18629,08:05:22,258351.256365,sysprocess,592.69
467,oai,systemd,200,4977,1,00:45:16,69065.98191,sysprocess,0.07
468,free5gc,systemd-network,200,45,43784,08:05:22,27392.12464,sysprocess,0.0
469,open5gs,irqbalance,200,92,687,17:29:10,60001.627532,sysprocess,0.0
470,open5gs,open5gs-amfd,200,117909,71409,17:29:10,63974.806487,sysprocess,1143.51
471,free5gc,upf,200,129,18565,08:05:22,10.999945,sysprocess,-0.03
472,oai,ausf,200,69259,125422,00:45:16,67834.170719,sysprocess,-8.06
473,open5gs,open5gs-bsfd,200,99,71424,17:29:10,60046.964702,sysprocess,-0.06
474,free5gc,polkitd,200,74,691,08:05:22,8.088574,sysprocess,-0.06
475,free5gc,nssf,200,131,18646,08:05:22,10.905083,sysprocess,-0.01
476,oai,snapd,200,3774,85885,00:45:16,263556.282195,sysprocess,-16.08
477,open5gs,open5gs-hssd,200,1522,71439,17:29:10,545242.580895,sysprocess,-0.36
478,open5gs,mongod,200,16872,13249,17:29:10,899855.248753,sysprocess,98.24
479,oai,accounts-daemon,200,9002,583,00:45:16,69568.075445,sysprocess,14.74
480,oai,systemd-journal,200,6152,332,00:45:16,67920.373901,sysprocess,2.14
481,free5gc,udr,200,546774,18620,08:05:22,273981.850952,sysprocess,2458.82
482,free5gc,python3,200,33,82420,08:05:22,70061.952474,sysprocess,-0.38
483,open5gs,multipathd,200,292,459,17:29:10,233027.748288,sysprocess,-0.01
484,open5gs,systemd-udevd,300,2761,364,18:39:47,16716.657449,sysprocess,-9.87
485,oai,snapd,300,4752,85885,02:16:05,71206.70775,sysprocess,9.78
486,oai,rsyslogd,300,1891,599,02:16:05,135026.586948,sysprocess,3.7
487,oai,smf,300,1912,165171,02:16:05,180110.716769,sysprocess,0.17
488,open5gs,python3,300,82,81220,18:39:47,70066.335901,sysprocess,-0.36
489,free5gc,systemd-resolve,300,46,43809,08:54:38,0.138542,sysprocess,0.010344827586206896
490,free5gc,systemd-network,300,110,43784,08:54:38,11750.532737,sysprocess,0.65
491,open5gs,rsyslogd,300,47339,691,18:39:47,129843.074643,sysprocess,90.02
492,open5gs,open5gs-hssd,300,1572,81265,18:39:47,545355.345585,sysprocess,0.5
493,free5gc,systemd-udevd,300,37,54380,08:54:38,1.131141,sysprocess,-0.6
494,oai,accounts-daemon,300,20567,583,02:16:05,189474.690926,sysprocess,115.65
495,oai,amf,300,115805,165173,02:16:05,336396.293646,sysprocess,
496,oai,ausf,300,169938,165158,02:16:05,81379.119863,sysprocess,1006.79
497,oai,cron,300,13,586,02:16:05,60000.264476,sysprocess,
498,open5gs,systemd-network,300,135,15336,18:39:47,63575.121925,sysprocess,0.47
499,free5gc,upf,300,6,18565,08:54:38,10.133226,sysprocess,-1.23
500,oai,dbus-daemon,300,569,587,02:16:05,60640.744942,sysprocess,2.84
501,free5gc,ModemManager,300,44,772,08:54:38,3.604511,sysprocess,-0.06
502,free5gc,udr,300,827999,18620,08:54:38,283451.233573,sysprocess,2812.25
503,open5gs,systemd-journal,300,27289,328,18:39:47,68335.654245,sysprocess,72.19
504,oai,irqbalance,300,138,593,02:16:05,60002.358082,sysprocess,0.0
505,oai,multipathd,300,434,459,02:16:05,233015.038695,sysprocess,-0.02
506,free5gc,udm,300,761115,18639,08:54:38,104630.044464,sysprocess,2438.45
507,open5gs,systemd,300,159,1,18:39:47,58514.905591,sysprocess,0.01
508,free5gc,udisksd,300,42,700,08:54:38,3.038283,sysprocess,0.0
509,free5gc,[unknown],300,127,87327,08:54:38,1.542533,sysprocess,0.03
510,oai,nrf,300,69717,165153,02:16:05,128153.315028,sysprocess,-0.14
511,open5gs,snapd,300,2202,692,18:39:47,26324.332813,sysprocess,-7.62
512,oai,python3,300,85,165128,02:16:05,70061.845312,sysprocess,0.04
513,free5gc,accounts-daemon,300,481,36853,08:54:38,68711.858806,sysprocess,0.07
514,oai,mysqld,300,137348,717,02:16:05,1871777.492489,sysprocess,955.8
515,oai,systemd-logind,300,1004,608,02:16:05,60810.941541,sysprocess,2.67
516,open5gs,open5gs-upfd,300,47,81246,18:39:47,64971.254856,sysprocess,0.0
517,open5gs,accounts-daemon,300,648,677,18:39:47,186622.607354,sysprocess,1.31
518,free5gc,rsyslogd,300,99,35679,08:54:38,130117.512653,sysprocess,-0.07
519,free5gc,irqbalance,300,130,688,08:54:38,59999.585387,sysprocess,-0.08
520,open5gs,open5gs-pcrfd,300,1527,81266,18:39:47,545348.233906,sysprocess,0.0
521,open5gs,dbus-daemon,300,112,681,18:39:47,59308.797627,sysprocess,0.03
522,free5gc,python3,300,9,87483,08:54:38,70047.146832,sysprocess,-0.24
523,oai,[unknown],300,312,164976,02:16:05,60897.745925,sysprocess,-3.48
524,free5gc,mongod,300,95199,13372,08:54:38,1290114.787415,sysprocess,304.19
525,open5gs,open5gs-pcfd,300,13921,81248,18:39:47,59750.247722,sysprocess,57.56
526,open5gs,mongod,300,18771,13249,18:39:47,902394.091286,sysprocess,18.99
527,free5gc,polkitd,300,79,691,08:54:38,6.142327,sysprocess,0.05
528,open5gs,multipathd,300,293,459,18:39:47,263027.357309,sysprocess,0.01
529,open5gs,open5gs-nssfd,300,99,81245,18:39:47,60032.959815,sysprocess,-0.01
530,open5gs,open5gs-amfd,300,341087,81227,18:39:47,62762.474698,sysprocess,2231.78
531,free5gc,pcf,300,196086,18629,08:54:38,245119.979544,sysprocess,633.01
532,free5gc,multipathd,300,442,460,08:54:38,233017.92733,sysprocess,0.0
533,open5gs,open5gs-nrfd,300,11347,81252,18:39:47,60930.124772,sysprocess,29.6
534,open5gs,open5gs-ausfd,300,44338,81238,18:39:47,60200.324907,sysprocess,133.66
535,open5gs,open5gs-bsfd,300,99,81247,18:39:47,60045.690699,sysprocess,0.0
536,free5gc,nssf,300,7,18646,08:54:38,10.063983,sysprocess,-1.24
537,open5gs,open5gs-mmed,300,1537,81255,18:39:47,545328.407637,sysprocess,0.15
538,open5gs,open5gs-scpd,300,185640,81249,18:39:47,56995.921994,sysprocess,706.72
539,free5gc,amf,300,1202866,18598,08:54:38,316348.05203,sysprocess,4465.15
540,open5gs,[unknown],300,450,81451,18:39:47,6682.900567,sysprocess,-0.88
541,oai,udr,300,130567,165183,02:16:05,80436.078891,sysprocess,605.01
542,free5gc,systemd-logind,300,116,695,08:54:38,3.747786,sysprocess,-0.06
543,oai,systemd,300,4375,1,02:16:05,67709.949095,sysprocess,-6.02
544,free5gc,systemd-journal,300,1485,43813,08:54:38,65529.172953,sysprocess,-0.01
545,open5gs,open5gs-udrd,300,23964,81251,18:39:47,60411.041464,sysprocess,87.1
546,oai,systemd-journal,300,7788,332,02:16:05,67871.544759,sysprocess,16.36
547,free5gc,ausf,300,286136,18654,08:54:38,43350.334728,sysprocess,874.98
548,free5gc,nrf,300,586459,18587,08:54:38,271540.162865,sysprocess,1892.48
549,open5gs,open5gs-udmd,300,87709,81250,18:39:47,59641.489808,sysprocess,359.03
550,free5gc,systemd,300,192,1,08:54:38,5431.831171,sysprocess,0.26
551,oai,systemd-network,300,79,545,02:16:05,57855.745711,sysprocess,-0.55
552,free5gc,cron,300,6,682,08:54:38,0.037583,sysprocess,0.0
553,open5gs,open5gs-smfd,300,1670,81269,18:39:47,605385.614213,sysprocess,0.13
554,oai,systemd-resolve,300,1777,547,02:16:05,65532.257,sysprocess,-0.37
555,oai,systemd-timesyn,300,806,85902,02:16:05,130269.042545,sysprocess,0.0
556,free5gc,sshd,300,6960,1675,08:54:38,16943.64602,sysprocess,69.57
557,open5gs,open5gs-sgwud,300,41,81239,18:39:47,58531.4874,sysprocess,-0.01
558,oai,systemd-udevd,300,4845,364,02:16:05,3228.315004,sysprocess,7.9
559,free5gc,snapd,300,5,60466,08:54:38,0.124693,sysprocess,-13.13
560,oai,udm,300,253783,165159,02:16:05,81166.429051,sysprocess,1837.59
561,free5gc,dbus-daemon,300,162,683,08:54:38,1.602136,sysprocess,-0.06
562,open5gs,open5gs-sgwcd,300,39,81237,18:39:47,55031.407979,sysprocess,0.03
563,free5gc,smf,300,6,18610,08:54:38,10.184007,sysprocess,-1.31
564,open5gs,irqbalance,300,108,687,18:39:47,59993.691857,sysprocess,0.16
