,count
541,60501.0
542,-6.0
543,-602.0
544,-1.0
545,8710.0
546,1636.0
547,87498.0
548,189248.0
549,35903.0
550,26.0
551,-55.0
552,0.0
553,13.0
554,-37.0
555,0.0
556,6957.0
557,-1.0
558,790.0
559,-1313.0
560,183759.0
561,-6.0
562,3.0
563,-131.0
564,16.0
