Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[ksoftirqd/169]: count 17448, average 1286, total 22452541

@q5[ksoftirqd/169]: count 138831, average 439, total 60975819

@uc: count 6167, average 3279, total 20227073




@q4[ksoftirqd/169]: count 17201, average 1282, total 22059831

@q5[ksoftirqd/169]: count 136789, average 438, total 59924018

@uc: count 7109, average 3008, total 21386537




@q4[ksoftirqd/169]: count 17248, average 1272, total 21940288

@q5[ksoftirqd/169]: count 137177, average 439, total 60236808

@uc: count 6767, average 3455, total 23385904




@q4[ksoftirqd/169]: count 17216, average 1300, total 22386458

@q5[ksoftirqd/169]: count 136922, average 441, total 60394299

@uc: count 7809, average 2730, total 21318975




@q4[ksoftirqd/169]: count 17449, average 1307, total 22807862

@q5[ksoftirqd/169]: count 138832, average 440, total 61103628

@uc: count 8040, average 2694, total 21666199




@q4[ksoftirqd/169]: count 17211, average 1301, total 22405385

@q5[ksoftirqd/169]: count 136931, average 441, total 60479261

@uc: count 6224, average 3416, total 21263173




@q4[ksoftirqd/169]: count 17150, average 1304, total 22376572

@q5[ksoftirqd/169]: count 136388, average 442, total 60386169

@uc: count 6419, average 3388, total 21749973




@q4[ksoftirqd/169]: count 17360, average 1304, total 22652931

@q5[ksoftirqd/169]: count 138126, average 440, total 60860197

@uc: count 6772, average 3092, total 20944863




@q4[ksoftirqd/169]: count 17425, average 1294, total 22554588

@q5[ksoftirqd/169]: count 138576, average 440, total 61005093

@uc: count 7567, average 4891, total 37015482




@q4[ksoftirqd/169]: count 17272, average 1279, total 22091052

@q5[ksoftirqd/169]: count 137368, average 439, total 60342078

@uc: count 7754, average 5371, total 41648279




@q4[ksoftirqd/169]: count 17290, average 1300, total 22486037

@q5[ksoftirqd/169]: count 137567, average 440, total 60664088

@uc: count 6822, average 3418, total 23321464




@q4[ksoftirqd/169]: count 17578, average 1304, total 22932298

@q5[ksoftirqd/169]: count 139857, average 440, total 61577279

@uc: count 6789, average 3096, total 21023642




@q4[ksoftirqd/169]: count 17445, average 1290, total 22511229

@q5[ksoftirqd/169]: count 138736, average 439, total 60958595

@uc: count 6410, average 3035, total 19459256




@q4[ksoftirqd/169]: count 17160, average 1304, total 22383320

@q5[ksoftirqd/169]: count 136477, average 439, total 60035210

@uc: count 6797, average 3393, total 23062516




@q4[ksoftirqd/169]: count 17320, average 1300, total 22526156

@q5[ksoftirqd/169]: count 137750, average 439, total 60505251

@uc: count 6838, average 3387, total 23163664




@q4[ksoftirqd/169]: count 17272, average 1311, total 22652479

@q5[ksoftirqd/169]: count 137368, average 441, total 60711958

@uc: count 7186, average 2927, total 21040192




@q4[ksoftirqd/169]: count 17432, average 1314, total 22906835

@q5[ksoftirqd/169]: count 138640, average 441, total 61186827

@uc: count 6029, average 3170, total 19114026




@q4[ksoftirqd/169]: count 17256, average 1294, total 22339457

@q5[ksoftirqd/169]: count 137241, average 439, total 60286885

@uc: count 5630, average 3449, total 19421815




@q4[ksoftirqd/169]: count 17332, average 1287, total 22311127

@q5[ksoftirqd/169]: count 137902, average 439, total 60661857

@uc: count 6272, average 3672, total 23033046




@q4[ksoftirqd/169]: count 17261, average 1307, total 22562595

@q5[ksoftirqd/169]: count 275239, average 220, total 60735962

@uc: count 7394, average 4029, total 29793466




@q4[ksoftirqd/169]: count 17380, average 1290, total 22428854

@q5[ksoftirqd/169]: count 138280, average 440, total 60980640

@uc: count 7453, average 3597, total 26812791




@q4[ksoftirqd/169]: count 17277, average 1269, total 21928625

@q5[ksoftirqd/169]: count 137400, average 440, total 60582642

@uc: count 8518, average 2878, total 24519711




@q4[ksoftirqd/169]: count 17368, average 1287, total 22369782

@q5[ksoftirqd/169]: count 138132, average 441, total 60946391

@uc: count 6314, average 4229, total 26705367
