Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[openssl]: count 34844, average 955, total 33295158

@q5[ksoftirqd/169]: count 17688, average 436, total 7727172
@q5[openssl]: count 271446, average 439, total 119165569

@uc: count 2786, average 8405, total 23418824

@q1[openssl]: count 1591, average 2615, total 4161374
@q1[ksoftirqd/169]: count 152, average 2680, total 407361

@q2[openssl]: count 1665, average 648, total 1078928
@q2[ksoftirqd/169]: count 210, average 676, total 142056
@q2[kworker/169:1]: count 2, average 18880, total 37761


@q4[ksoftirqd/169]: count 2090, average 947, total 1980380
@q4[openssl]: count 35020, average 956, total 33489311
@q4[kworker/169:1]: count 41, average 1516, total 62173

@q5[ksoftirqd/169]: count 15943, average 438, total 6989526
@q5[openssl]: count 272811, average 438, total 119703355
@q5[kworker/169:1]: count 320, average 490, total 157018

@uc: count 2110, average 5930, total 12512728

@q1[ksoftirqd/169]: count 144, average 2582, total 371875
@q1[openssl]: count 1623, average 2616, total 4246186

@q2[openssl]: count 1698, average 640, total 1088239
@q2[ksoftirqd/169]: count 201, average 665, total 133745


@q4[ksoftirqd/169]: count 2162, average 953, total 2061868
@q4[openssl]: count 34989, average 953, total 33373810

@q5[ksoftirqd/169]: count 16538, average 437, total 7236530
@q5[openssl]: count 272486, average 438, total 119611670

@uc: count 2185, average 5700, total 12456149

@q1[ksoftirqd/169]: count 150, average 2442, total 366398
@q1[openssl]: count 1543, average 2638, total 4071277
@q1[kworker/169:1]: count 1, average 32301, total 32301

@q2[openssl]: count 1629, average 651, total 1061621
@q2[ksoftirqd/169]: count 231, average 657, total 151926
@q2[kworker/169:1]: count 1, average 31760, total 31760


@q4[ksoftirqd/169]: count 2338, average 953, total 2229602
@q4[openssl]: count 34782, average 957, total 33299383
@q4[kworker/169:1]: count 37, average 1385, total 51253

@q5[ksoftirqd/169]: count 17783, average 438, total 7798002
@q5[openssl]: count 271197, average 439, total 119191355
@q5[kworker/169:1]: count 289, average 501, total 144909

@uc: count 2183, average 6059, total 13228075

@q1[ksoftirqd/169]: count 137, average 2378, total 325857
@q1[openssl]: count 1590, average 2606, total 4144613
@q1[kworker/169:1]: count 1, average 35958, total 35958

@q2[openssl]: count 1674, average 643, total 1076511
@q2[ksoftirqd/169]: count 213, average 652, total 138905
@q2[kworker/169:1]: count 1, average 31339, total 31339


@q4[ksoftirqd/169]: count 2188, average 954, total 2087707
@q4[openssl]: count 34934, average 955, total 33390700
@q4[kworker/169:1]: count 38, average 1589, total 60402

@q5[ksoftirqd/169]: count 16641, average 437, total 7285437
@q5[openssl]: count 272098, average 438, total 119426048
@q5[kworker/169:1]: count 298, average 499, total 148929

@uc: count 2536, average 5812, total 14741468

@q1[ksoftirqd/169]: count 164, average 2479, total 406682
@q1[openssl]: count 1550, average 2603, total 4034891

@q2[openssl]: count 1647, average 647, total 1066857
@q2[ksoftirqd/169]: count 237, average 659, total 156267


@q4[openssl]: count 34868, average 956, total 33351843
@q4[ksoftirqd/169]: count 2290, average 957, total 2192085

@q5[ksoftirqd/169]: count 17426, average 437, total 7624145
@q5[openssl]: count 271618, average 439, total 119240774

@uc: count 2116, average 5120, total 10835457

