Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.

@q5[ksoftirqd/169]: count 137781, average 446, total 61504541

@uc: count 6616, average 3232, total 21383625




@q4[ksoftirqd/169]: count 17101, average 1281, total 21916936

@q5[ksoftirqd/169]: count 135992, average 442, total 60174166

@uc: count 6917, average 3263, total 22573254




@q4[ksoftirqd/169]: count 17066, average 1294, total 22090843

@q5[ksoftirqd/169]: count 135778, average 446, total 60637541

@uc: count 7594, average 3005, total 22823620




@q4[ksoftirqd/169]: count 17234, average 1305, total 22505818

@q5[ksoftirqd/169]: count 137105, average 445, total 61058273

@uc: count 7464, average 2999, total 22391803




@q4[ksoftirqd/169]: count 16968, average 1323, total 22456866

@q5[ksoftirqd/169]: count 134935, average 449, total 60600573

@uc: count 6036, average 3294, total 19885421




@q4[ksoftirqd/169]: count 17368, average 1323, total 22980706

@q5[ksoftirqd/169]: count 138132, average 447, total 61875585

@uc: count 7737, average 3078, total 23817645




@q4[ksoftirqd/169]: count 17223, average 1282, total 22092720

@q5[ksoftirqd/169]: count 137026, average 445, total 60982562

@uc: count 7893, average 3066, total 24204206




@q4[ksoftirqd/169]: count 17283, average 1274, total 22030190

@q5[ksoftirqd/169]: count 137439, average 443, total 60906217

@uc: count 7701, average 4284, total 32995000




@q4[ksoftirqd/169]: count 17256, average 1294, total 22329633

@q5[ksoftirqd/169]: count 137241, average 445, total 61148411

@uc: count 6504, average 5380, total 34996703




@q4[ksoftirqd/169]: count 17710, average 1293, total 22907890

@q5[ksoftirqd/169]: count 140899, average 444, total 62653031

@uc: count 9576, average 2622, total 25108425




@q4[ksoftirqd/169]: count 17532, average 1307, total 22922239

@q5[ksoftirqd/169]: count 139469, average 442, total 61772899

@uc: count 9582, average 2874, total 27544611




@q4[ksoftirqd/169]: count 17567, average 1287, total 22616309

@q5[ksoftirqd/169]: count 139746, average 443, total 61962765

@uc: count 8237, average 2679, total 22074237




