Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@uc: count 5464, average 3435, total 18771479




@q4[ksoftirqd/169]: count 21230, average 1271, total 27002066

@q5[ksoftirqd/169]: count 168791, average 428, total 72385227

@uc: count 3984, average 6235, total 24841404




@q4[ksoftirqd/169]: count 20936, average 1276, total 26722777

@q5[ksoftirqd/169]: count 166508, average 430, total 71630011

@uc: count 4998, average 3062, total 15308015




@q4[ksoftirqd/169]: count 21310, average 1266, total 26995642

@q5[ksoftirqd/169]: count 169555, average 429, total 72804557

@uc: count 4517, average 3086, total 13942084




@q4[ksoftirqd/169]: count 20732, average 1268, total 26299505

@q5[ksoftirqd/169]: count 164894, average 430, total 71001451

@uc: count 7518, average 2671, total 20082736




@q4[ksoftirqd/169]: count 20864, average 1268, total 26473513

@q5[ksoftirqd/169]: count 165942, average 429, total 71297700

@uc: count 4951, average 5236, total 25928091




@q4[ksoftirqd/169]: count 21269, average 1281, total 27249871

@q5[ksoftirqd/169]: count 169101, average 429, total 72683354

@uc: count 3987, average 3641, total 14517161




@q4[ksoftirqd/169]: count 20752, average 1263, total 26228682

@q5[ksoftirqd/169]: count 165045, average 429, total 70825008

@uc: count 5408, average 2729, total 14762420




@q4[ksoftirqd/169]: count 21265, average 1273, total 27079143

@q5[ksoftirqd/169]: count 169189, average 430, total 72801842

@uc: count 5475, average 3574, total 19568935




@q4[ksoftirqd/169]: count 20655, average 1271, total 26262795

@q5[ksoftirqd/169]: count 164218, average 430, total 70714524

@uc: count 5118, average 7831, total 40080196




@q4[ksoftirqd/169]: count 21268, average 1266, total 26938040

@q5[ksoftirqd/169]: count 169220, average 429, total 72629485

@uc: count 4201, average 6686, total 28091787




@q4[ksoftirqd/169]: count 21007, average 1273, total 26749876

@q5[ksoftirqd/169]: count 167096, average 429, total 71746572

@uc: count 4580, average 3294, total 15087149




@q4[ksoftirqd/169]: count 21011, average 1270, total 26692366

