Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 460, average 2570, total 1182248
@q1[ksoftirqd/169]: count 73, average 2991, total 218378
@q1[kworker/169:0]: count 11, average 4576, total 50337

@q2[openssl]: count 928, average 2723, total 2527125
@q2[kworker/169:0]: count 11, average 3509, total 38603
@q2[ksoftirqd/169]: count 156, average 124336, total 19396441


@q4[openssl]: count 27358, average 973, total 26620976
@q4[ksoftirqd/169]: count 3896, average 997, total 3887046
@q4[kworker/169:0]: count 17, average 1524, total 25919

@q5[openssl]: count 214390, average 434, total 93249275
@q5[ksoftirqd/169]: count 30347, average 436, total 13249692
@q5[kworker/169:0]: count 96, average 527, total 50657

@uc: count 4224, average 13955, total 58945925

@q1[openssl]: count 880, average 2531, total 2227817
@q1[ksoftirqd/169]: count 154, average 2586, total 398357

@q2[openssl]: count 1521, average 634, total 964541
@q2[ksoftirqd/169]: count 275, average 769, total 211519


@q4[ksoftirqd/169]: count 2931, average 967, total 2837179
@q4[openssl]: count 39413, average 971, total 38280681

@q5[ksoftirqd/169]: count 22415, average 433, total 9722578
@q5[openssl]: count 309057, average 433, total 134013869

@uc: count 2961, average 4979, total 14745715

@q1[openssl]: count 821, average 2474, total 2031722
@q1[ksoftirqd/169]: count 143, average 2533, total 362290

@q2[openssl]: count 1535, average 635, total 974862
@q2[ksoftirqd/169]: count 248, average 786, total 195097
@q2[kworker/169:0]: count 1, average 37460, total 37460


@q4[openssl]: count 39055, average 970, total 37885888
@q4[ksoftirqd/169]: count 2903, average 972, total 2824408
@q4[kworker/169:0]: count 48, average 1421, total 68250

@q5[ksoftirqd/169]: count 22380, average 433, total 9698392
@q5[openssl]: count 306167, average 433, total 132699322
@q5[kworker/169:0]: count 379, average 478, total 181522

@uc: count 2006, average 5397, total 10826454

@q1[openssl]: count 835, average 2436, total 2034882
@q1[ksoftirqd/169]: count 147, average 2526, total 371336

@q2[openssl]: count 1546, average 632, total 977875
@q2[ksoftirqd/169]: count 255, average 790, total 201632
@q2[kworker/169:0]: count 1, average 11100, total 11100


@q4[ksoftirqd/169]: count 2870, average 960, total 2756284
@q4[kworker/169:0]: count 41, average 1143, total 46890
@q4[openssl]: count 39124, average 1938, total 75845730

@q5[ksoftirqd/169]: count 22029, average 433, total 9545731
@q5[openssl]: count 306658, average 433, total 132947062
@q5[kworker/169:0]: count 326, average 443, total 144453

@uc: count 2007, average 5672, total 11385382

@q1[openssl]: count 968, average 2584, total 2501785
@q1[ksoftirqd/169]: count 191, average 2764, total 527990

@q2[openssl]: count 1572, average 636, total 1000131
@q2[ksoftirqd/169]: count 279, average 760, total 212192
@q2[kworker/169:0]: count 1, average 25538, total 25538


@q4[ksoftirqd/169]: count 2916, average 965, total 2814746
@q4[openssl]: count 40387, average 971, total 39215936
@q4[kworker/169:0]: count 47, average 1263, total 59380

@q5[openssl]: count 316705, average 433, total 137396099
@q5[ksoftirqd/169]: count 22300, average 434, total 9689629
@q5[kworker/169:0]: count 374, average 451, total 168712

@uc: count 2441, average 6151, total 15017021

@q1[openssl]: count 961, average 2538, total 2439363
@q1[ksoftirqd/169]: count 212, average 2825, total 599065

@q2[openssl]: count 1544, average 638, total 985997
@q2[ksoftirqd/169]: count 298, average 763, total 227393


@q4[openssl]: count 80792, average 485, total 39220347
@q4[ksoftirqd/169]: count 3042, average 976, total 2971626

@q5[ksoftirqd/169]: count 23334, average 433, total 10124351
@q5[openssl]: count 316816, average 433, total 137453247

@uc: count 1966, average 5487, total 10788917

@q1[openssl]: count 904, average 2555, total 2310460
@q1[ksoftirqd/169]: count 198, average 2646, total 523977
@q1[kworker/169:0]: count 2, average 19691, total 39383

@q2[openssl]: count 1544, average 638, total 985989
@q2[ksoftirqd/169]: count 265, average 781, total 207125
@q2[kworker/169:0]: count 5, average 7920, total 39604


@q4[openssl]: count 39918, average 969, total 38708139
@q4[ksoftirqd/169]: count 3206, average 991, total 3179102
@q4[kworker/169:0]: count 96, average 1231, total 118207

@q5[ksoftirqd/169]: count 24693, average 433, total 10698714
@q5[openssl]: count 313102, average 433, total 135604612
@q5[kworker/169:0]: count 754, average 453, total 342024

@uc: count 1987, average 5553, total 11035377

@q1[openssl]: count 890, average 2524, total 2247137
@q1[ksoftirqd/169]: count 214, average 2674, total 572397

@q2[openssl]: count 1535, average 635, total 975724
@q2[ksoftirqd/169]: count 298, average 758, total 225983


@q4[openssl]: count 39942, average 970, total 38754293
@q4[ksoftirqd/169]: count 3185, average 979, total 3120499

@q5[ksoftirqd/169]: count 24415, average 432, total 10564993
@q5[openssl]: count 313239, average 433, total 135692265

@uc: count 2115, average 5548, total 11734811

@q1[openssl]: count 861, average 2600, total 2239354
@q1[ksoftirqd/169]: count 210, average 2718, total 570943

@q2[openssl]: count 1529, average 641, total 981456
@q2[ksoftirqd/169]: count 289, average 890, total 257432


@q4[openssl]: count 39705, average 968, total 38464658
@q4[ksoftirqd/169]: count 3376, average 996, total 3363468

@q5[ksoftirqd/169]: count 25991, average 433, total 11279442
@q5[openssl]: count 311500, average 433, total 134968985

@uc: count 2467, average 5905, total 14569001

@q1[openssl]: count 975, average 2563, total 2499775
@q1[ksoftirqd/169]: count 213, average 2794, total 595255

@q2[openssl]: count 1519, average 640, total 973009
@q2[ksoftirqd/169]: count 312, average 747, total 233140


@q4[openssl]: count 79999, average 489, total 39133426
@q4[ksoftirqd/169]: count 3396, average 982, total 3337791

@q5[ksoftirqd/169]: count 26057, average 433, total 11288468
@q5[openssl]: count 316001, average 433, total 137087177

@uc: count 2964, average 9383, total 27812143

@q1[ksoftirqd/169]: count 180, average 2605, total 469077
@q1[openssl]: count 955, average 2625, total 2507190
@q1[kworker/169:0]: count 1, average 35497, total 35497

@q2[openssl]: count 1612, average 634, total 1022451
@q2[ksoftirqd/169]: count 287, average 779, total 223694
@q2[kworker/169:0]: count 1, average 35507, total 35507


@q4[openssl]: count 39760, average 973, total 38716999
@q4[ksoftirqd/169]: count 3494, average 997, total 3486528
@q4[kworker/169:0]: count 46, average 1300, total 59814

@q5[openssl]: count 311731, average 433, total 135195297
@q5[ksoftirqd/169]: count 26842, average 434, total 11652666
@q5[kworker/169:0]: count 362, average 456, total 165088

@uc: count 2639, average 14363, total 37904654

@q1[openssl]: count 870, average 2568, total 2234920
@q1[ksoftirqd/169]: count 178, average 2577, total 458781

@q2[openssl]: count 1502, average 635, total 955239
@q2[ksoftirqd/169]: count 280, average 768, total 215247


@q4[ksoftirqd/169]: count 2995, average 964, total 2888109
@q4[openssl]: count 39787, average 969, total 38580634
@q4[kworker/169:0]: count 1, average 22252, total 22252

@q5[ksoftirqd/169]: count 22947, average 433, total 9956223
@q5[openssl]: count 312117, average 433, total 135267646
@q5[kworker/169:0]: count 8, average 2543, total 20349

@uc: count 1947, average 6786, total 13212673

@q1[openssl]: count 849, average 2517, total 2137303
@q1[ksoftirqd/169]: count 178, average 2619, total 466305

@q2[openssl]: count 1522, average 657, total 1001070
@q2[ksoftirqd/169]: count 272, average 660, total 179752


@q4[ksoftirqd/169]: count 2943, average 966, total 2845353
@q4[openssl]: count 39763, average 970, total 38579247

@q5[ksoftirqd/169]: count 22604, average 433, total 9795048
@q5[openssl]: count 311945, average 433, total 135206780

@uc: count 2501, average 5744, total 14366563

@q1[ksoftirqd/169]: count 187, average 2631, total 492094
@q1[openssl]: count 924, average 2633, total 2433522

@q2[openssl]: count 1510, average 660, total 997136
@q2[ksoftirqd/169]: count 274, average 661, total 181203


@q4[openssl]: count 40346, average 969, total 39127744
@q4[ksoftirqd/169]: count 3218, average 995, total 3202531

@q5[ksoftirqd/169]: count 24779, average 432, total 10724905
@q5[openssl]: count 316669, average 433, total 137273080

@uc: count 2026, average 7245, total 14680302
