Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[ksoftirqd/169]: count 31407, average 979, total 30758561

@q5[ksoftirqd/169]: count 249701, average 431, total 107707415

@uc: count 16324, average 2890, total 47177878




@q4[ksoftirqd/169]: count 32471, average 978, total 31776738

@q5[ksoftirqd/169]: count 258265, average 430, total 111300437

@uc: count 13604, average 3221, total 43822415




@q4[ksoftirqd/169]: count 29492, average 983, total 29018773

@q5[ksoftirqd/169]: count 234493, average 431, total 101182242

@uc: count 19060, average 3477, total 66283314




@q4[ksoftirqd/169]: count 30602, average 981, total 30034602

@q5[ksoftirqd/169]: count 243312, average 432, total 105143720

@uc: count 15397, average 3785, total 58279513




@q4[ksoftirqd/169]: count 33048, average 978, total 32323751

@q5[ksoftirqd/169]: count 262934, average 431, total 113329105

@uc: count 11431, average 2925, total 33439139




@q4[ksoftirqd/169]: count 33652, average 979, total 32957410

@q5[ksoftirqd/169]: count 267633, average 431, total 115477661

@uc: count 15501, average 1930, total 29930017




@q4[ksoftirqd/169]: count 34047, average 977, total 33296953

@q5[ksoftirqd/169]: count 270895, average 430, total 116748373

@uc: count 10992, average 2326, total 25572163




@q4[ksoftirqd/169]: count 33059, average 978, total 32363876

@q5[ksoftirqd/169]: count 262915, average 431, total 113450253

@uc: count 11072, average 3632, total 40222223




@q4[ksoftirqd/169]: count 31992, average 979, total 31348535

@q5[ksoftirqd/169]: count 254439, average 431, total 109813945

@uc: count 13260, average 3878, total 51427822




@q4[ksoftirqd/169]: count 32655, average 982, total 32087573

@q5[ksoftirqd/169]: count 259729, average 431, total 112179997

@uc: count 16182, average 2903, total 46983295




@q4[ksoftirqd/169]: count 32068, average 982, total 31493805

@q5[ksoftirqd/169]: count 254988, average 431, total 110064243

@uc: count 12860, average 2929, total 37675625




@q4[ksoftirqd/169]: count 26089, average 1071, total 27966674

@q5[ksoftirqd/169]: count 207420, average 433, total 90010850

@uc: count 9560, average 6747, total 64506259




@q4[ksoftirqd/169]: count 17576, average 1311, total 23051316

@q5[ksoftirqd/169]: count 139785, average 441, total 61748954

@uc: count 5080, average 6777, total 34430838




@q4[ksoftirqd/169]: count 17704, average 1297, total 22970397

@q5[ksoftirqd/169]: count 140804, average 440, total 61989194

@uc: count 7494, average 5010, total 37549507




@q4[ksoftirqd/169]: count 17990, average 1280, total 23033914

@q5[ksoftirqd/169]: count 143134, average 440, total 63020772

@uc: count 7879, average 2383, total 18777411




@q4[ksoftirqd/169]: count 17690, average 1292, total 22856424

@q5[ksoftirqd/169]: count 140732, average 442, total 62219386

@uc: count 6363, average 2879, total 18320667




@q4[ksoftirqd/169]: count 17503, average 1279, total 22398684

@q5[ksoftirqd/169]: count 139245, average 437, total 60932788

@uc: count 8561, average 2498, total 21391044




@q4[ksoftirqd/169]: count 17454, average 1291, total 22534128

@q5[ksoftirqd/169]: count 138807, average 441, total 61280780

@uc: count 5556, average 5263, total 29243927




@q4[ksoftirqd/169]: count 17872, average 1286, total 22984081

@q5[ksoftirqd/169]: count 142139, average 440, total 62576989

@uc: count 5563, average 4114, total 22887519




@q4[ksoftirqd/169]: count 17704, average 1285, total 22755052

@q5[ksoftirqd/169]: count 140804, average 441, total 62198163

@uc: count 6290, average 4387, total 27597506




@q4[ksoftirqd/169]: count 18131, average 1284, total 23295661

@q5[ksoftirqd/169]: count 144248, average 437, total 63130456

@uc: count 11138, average 2034, total 22661732




@q4[ksoftirqd/169]: count 17591, average 1322, total 23258849

@q5[ksoftirqd/169]: count 139897, average 440, total 61617852

@uc: count 5273, average 17389, total 91697352




