Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 216, average 1370, total 296084
@q1[ksoftirqd/169]: count 5, average 3426, total 17132
@q1[kworker/169:2]: count 2, average 4508, total 9016

@q2[ksoftirqd/169]: count 29, average 2011, total 58322
@q2[kworker/169:2]: count 2, average 5881, total 11762
@q2[openssl]: count 952, average 9145, total 8706178


@q4[openssl]: count 9913, average 965, total 9572359
@q4[ksoftirqd/169]: count 112, average 969, total 108580
@q4[kworker/169:2]: count 2, average 15444, total 30888

@q5[openssl]: count 75045, average 430, total 32337842
@q5[ksoftirqd/169]: count 792, average 442, total 350166
@q5[kworker/169:2]: count 3, average 9090, total 27271

@uc: count 2834, average 37471, total 106193927

@q1[openssl]: count 362, average 1196, total 433239
@q1[ksoftirqd/169]: count 10, average 2229, total 22293
@q1[kworker/169:2]: count 1, average 12132, total 12132

@q2[openssl]: count 1630, average 628, total 1023752
@q2[ksoftirqd/169]: count 53, average 773, total 40993
@q2[kworker/169:2]: count 1, average 11572, total 11572


@q4[openssl]: count 13355, average 951, total 12700917
@q4[ksoftirqd/169]: count 111, average 1034, total 114844
@q4[kworker/169:2]: count 1, average 30998, total 30998

@q5[openssl]: count 101253, average 430, total 43563748
@q5[ksoftirqd/169]: count 765, average 437, total 334835
@q5[kworker/169:2]: count 1, average 25929, total 25929

@uc: count 2188, average 7478, total 16361925

@q1[openssl]: count 366, average 1214, total 444458
@q1[ksoftirqd/169]: count 7, average 2085, total 14599
@q1[kworker/169:1]: count 4, average 3874, total 15499

@q2[openssl]: count 1644, average 621, total 1020982
@q2[ksoftirqd/169]: count 44, average 798, total 35126
@q2[kworker/169:1]: count 4, average 2800, total 11202


@q4[openssl]: count 13384, average 955, total 12785092
@q4[ksoftirqd/169]: count 87, average 978, total 85099
@q4[kworker/169:1]: count 4, average 8959, total 35838

@q5[openssl]: count 101386, average 430, total 43667004
@q5[ksoftirqd/169]: count 597, average 436, total 260788
@q5[kworker/169:1]: count 4, average 7524, total 30097

@uc: count 2106, average 11555, total 24335658

@q1[openssl]: count 379, average 1212, total 459531
@q1[ksoftirqd/169]: count 9, average 2452, total 22072
@q1[kworker/169:1]: count 2, average 5370, total 10740

@q2[openssl]: count 1655, average 623, total 1032270
@q2[ksoftirqd/169]: count 42, average 805, total 33842
@q2[kworker/169:1]: count 3, average 3980, total 11942


@q4[openssl]: count 13384, average 955, total 12790867
@q4[ksoftirqd/169]: count 96, average 985, total 94588
@q4[kworker/169:1]: count 4, average 7789, total 31158

@q5[openssl]: count 101356, average 430, total 43627734
