Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[openssl]: count 618, average 2675, total 1653172
@q1[ksoftirqd/169]: count 96, average 2826, total 271371
@q1[kworker/169:1]: count 1, average 15419, total 15419

@q2[openssl]: count 982, average 1907, total 1872846
@q2[kworker/169:1]: count 2, average 7358, total 14717
@q2[ksoftirqd/169]: count 161, average 12145, total 1955386


@q4[openssl]: count 27588, average 960, total 26495445
@q4[ksoftirqd/169]: count 4814, average 967, total 4657385
@q4[kworker/169:1]: count 62, average 3878, total 240443

@q5[openssl]: count 216013, average 430, total 92940398
@q5[ksoftirqd/169]: count 37648, average 435, total 16382530
@q5[kworker/169:1]: count 475, average 491, total 233642

@uc: count 4960, average 15355, total 76163369

@q1[openssl]: count 1176, average 2561, total 3011856
@q1[ksoftirqd/169]: count 205, average 2775, total 568928

@q2[openssl]: count 1628, average 636, total 1035863
@q2[ksoftirqd/169]: count 270, average 662, total 178935


@q4[openssl]: count 41066, average 957, total 39310264
@q4[ksoftirqd/169]: count 2795, average 960, total 2684287

@q5[openssl]: count 321675, average 430, total 138332895
@q5[ksoftirqd/169]: count 21445, average 431, total 9259653

@uc: count 1854, average 6625, total 12283963

@q1[openssl]: count 1150, average 2573, total 2959622
@q1[ksoftirqd/169]: count 201, average 2672, total 537218

@q2[openssl]: count 1638, average 642, total 1052478
@q2[ksoftirqd/169]: count 283, average 674, total 190841
@q2[kworker/169:1]: count 2, average 4328, total 8656


@q4[openssl]: count 40621, average 957, total 38874646
@q4[ksoftirqd/169]: count 3291, average 971, total 3196744
@q4[kworker/169:1]: count 46, average 1299, total 59754

@q5[openssl]: count 318275, average 429, total 136810781
@q5[ksoftirqd/169]: count 25363, average 432, total 10979199
@q5[kworker/169:1]: count 363, average 456, total 165796

@uc: count 2437, average 6692, total 16309069

@q1[openssl]: count 1116, average 2628, total 2933100
@q1[ksoftirqd/169]: count 211, average 2791, total 588990

@q2[openssl]: count 1559, average 651, total 1016402
@q2[ksoftirqd/169]: count 298, average 666, total 198597
@q2[kworker/169:1]: count 1, average 13235, total 13235


@q4[openssl]: count 40629, average 960, total 39022890
@q4[ksoftirqd/169]: count 3679, average 984, total 3621737
@q4[kworker/169:1]: count 10, average 4153, total 41538

@q5[openssl]: count 318541, average 430, total 137016342
@q5[ksoftirqd/169]: count 28420, average 431, total 12266719
@q5[kworker/169:1]: count 79, average 789, total 62387

@uc: count 2006, average 6179, total 12395396

@q1[openssl]: count 1055, average 2570, total 2711867
@q1[ksoftirqd/169]: count 184, average 2607, total 479783

@q2[openssl]: count 1548, average 649, total 1005606
@q2[ksoftirqd/169]: count 292, average 660, total 192996


@q4[openssl]: count 41096, average 960, total 39454366
