Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[openssl]: count 4006, average 963, total 3859780
@q4[ksoftirqd/169]: count 14651, average 1294, total 18969434
@q4[kworker/169:1]: count 24, average 7592, total 182208

@q5[openssl]: count 31311, average 437, total 13699294
@q5[ksoftirqd/169]: count 116343, average 438, total 51045094
@q5[kworker/169:1]: count 191, average 524, total 100205

@uc: count 6007, average 16576, total 99575304




@q4[ksoftirqd/169]: count 21848, average 1244, total 27182186

@q5[ksoftirqd/169]: count 173762, average 432, total 75157143

@uc: count 4044, average 11592, total 46881369




@q4[ksoftirqd/169]: count 21270, average 1242, total 26436824

@q5[ksoftirqd/169]: count 169177, average 433, total 73376580

@uc: count 7186, average 2457, total 17661990




@q4[ksoftirqd/169]: count 22019, average 1233, total 27170532

@q5[ksoftirqd/169]: count 175126, average 431, total 75641371

@uc: count 5201, average 2733, total 14214596




@q4[ksoftirqd/169]: count 21485, average 1232, total 26487094

@q5[ksoftirqd/169]: count 170915, average 432, total 73853247

@uc: count 6866, average 2491, total 17105492




@q4[ksoftirqd/169]: count 21594, average 1239, total 26776449

@q5[ksoftirqd/169]: count 171790, average 433, total 74508229

@uc: count 7957, average 3610, total 28727636




@q4[ksoftirqd/169]: count 21855, average 1236, total 27032732

@q5[ksoftirqd/169]: count 173862, average 432, total 75139622

@uc: count 4710, average 2981, total 14041401




@q4[ksoftirqd/169]: count 21820, average 1235, total 26957233

@q5[ksoftirqd/169]: count 173578, average 432, total 74997649

@uc: count 6364, average 4153, total 26434130




@q4[ksoftirqd/169]: count 22125, average 1234, total 27312456

@q5[ksoftirqd/169]: count 175905, average 431, total 75912157

@uc: count 4749, average 9014, total 42807723




@q4[ksoftirqd/169]: count 20968, average 1245, total 26113390

@q5[ksoftirqd/169]: count 166763, average 433, total 72292882

@uc: count 7341, average 2557, total 18774040




@q4[ksoftirqd/169]: count 20946, average 1245, total 26082160

@q5[ksoftirqd/169]: count 166649, average 434, total 72488860

@uc: count 5862, average 2844, total 16676162




@q4[ksoftirqd/169]: count 20975, average 1230, total 25802693

@q5[ksoftirqd/169]: count 166818, average 433, total 72261261

@uc: count 9459, average 4127, total 39037935




@q4[ksoftirqd/169]: count 21305, average 1236, total 26333050

@q5[ksoftirqd/169]: count 336258, average 218, total 73492395

@uc: count 7255, average 2196, total 15935895




@q4[ksoftirqd/169]: count 21104, average 1216, total 25682152

@q5[ksoftirqd/169]: count 167845, average 433, total 72695723

