Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.



@q4[openssl]: count 3776, average 986, total 3723721
@q4[ksoftirqd/169]: count 14233, average 1288, total 18334183
@q4[kworker/169:2]: count 25, average 1914, total 47856

@q5[ksoftirqd/169]: count 113133, average 432, total 48905336
@q5[openssl]: count 29637, average 436, total 12933901
@q5[kworker/169:2]: count 196, average 507, total 99535

@uc: count 3789, average 42878, total 162466305




@q4[ksoftirqd/169]: count 20754, average 1263, total 26232513

@q5[ksoftirqd/169]: count 165078, average 433, total 71554937

@uc: count 6559, average 7071, total 46382297




@q4[ksoftirqd/169]: count 20903, average 1275, total 26662356

@q5[ksoftirqd/169]: count 166251, average 433, total 72072116

@uc: count 6318, average 2303, total 14550556




@q4[ksoftirqd/169]: count 20701, average 1262, total 26130785

@q5[ksoftirqd/169]: count 164709, average 432, total 71194737

@uc: count 5347, average 6491, total 34712440




@q4[ksoftirqd/169]: count 21267, average 1263, total 26863366

@q5[ksoftirqd/169]: count 169124, average 431, total 72953025

@uc: count 5460, average 2795, total 15262051




@q4[ksoftirqd/169]: count 21126, average 1259, total 26599969

@q5[ksoftirqd/169]: count 168084, average 430, total 72436623

@uc: count 5214, average 5579, total 29090884




@q4[ksoftirqd/169]: count 20842, average 1268, total 26442631

@q5[ksoftirqd/169]: count 165750, average 433, total 71796317

@uc: count 5713, average 2487, total 14213028




@q4[ksoftirqd/169]: count 20612, average 1267, total 26123005

@q5[ksoftirqd/169]: count 163995, average 433, total 71112656

@uc: count 7345, average 2591, total 19032663




@q4[ksoftirqd/169]: count 20932, average 1266, total 26507837

@q5[ksoftirqd/169]: count 166468, average 432, total 71925499

@uc: count 6096, average 2415, total 14725100




@q4[ksoftirqd/169]: count 20968, average 1255, total 26332071

@q5[ksoftirqd/169]: count 166763, average 431, total 72012026

@uc: count 11789, average 2956, total 34848462




@q4[ksoftirqd/169]: count 21165, average 1254, total 26554941

@q5[ksoftirqd/169]: count 168369, average 431, total 72712148

@uc: count 4214, average 8961, total 37763584




@q4[ksoftirqd/169]: count 21782, average 1247, total 27167852

@q5[ksoftirqd/169]: count 173226, average 431, total 74830739

@uc: count 5708, average 9952, total 56806826




@q4[ksoftirqd/169]: count 21328, average 1262, total 26930428

@q5[ksoftirqd/169]: count 169627, average 432, total 73320098

@uc: count 4962, average 2846, total 14125805




@q4[ksoftirqd/169]: count 21312, average 1266, total 27001724

@q5[ksoftirqd/169]: count 169498, average 432, total 73290743

@uc: count 3837, average 3682, total 14128247




@q4[ksoftirqd/169]: count 21504, average 1259, total 27082340

@q5[ksoftirqd/169]: count 171026, average 431, total 73805600

@uc: count 3054, average 4407, total 13460937




@q4[ksoftirqd/169]: count 21558, average 1250, total 26949550

@q5[ksoftirqd/169]: count 171523, average 431, total 73994687

@uc: count 6093, average 2877, total 17531793




@q4[ksoftirqd/169]: count 20967, average 1247, total 26162161

@q5[ksoftirqd/169]: count 166828, average 432, total 72100223

@uc: count 12617, average 1539, total 19429213




@q4[ksoftirqd/169]: count 20671, average 1250, total 25848751

