Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q1[ksoftirqd/169]: count 88, average 2621, total 230731
@q1[openssl]: count 545, average 2661, total 1450569

@q2[ksoftirqd/169]: count 156, average 878, total 136998
@q2[openssl]: count 930, average 2772, total 2578241


@q4[ksoftirqd/169]: count 5024, average 958, total 4816369
@q4[openssl]: count 27658, average 967, total 26769122
@q4[kworker/169:1]: count 9, average 3584, total 32260

@q5[ksoftirqd/169]: count 39270, average 431, total 16932927
@q5[openssl]: count 216937, average 431, total 93510283
@q5[kworker/169:1]: count 63, average 687, total 43294

@uc: count 4555, average 16459, total 74970898

@q1[openssl]: count 917, average 2496, total 2289574
@q1[ksoftirqd/169]: count 193, average 2729, total 526752

@q2[openssl]: count 1565, average 646, total 1011199
@q2[ksoftirqd/169]: count 260, average 671, total 174604


@q4[openssl]: count 40407, average 962, total 38898947
@q4[ksoftirqd/169]: count 3006, average 978, total 2940951

@q5[openssl]: count 316794, average 430, total 136316421
@q5[ksoftirqd/169]: count 23146, average 432, total 10002017

@uc: count 2349, average 6765, total 15891245

@q1[openssl]: count 947, average 2567, total 2431475
@q1[ksoftirqd/169]: count 202, average 2752, total 556064

@q2[openssl]: count 1569, average 645, total 1012304
@q2[ksoftirqd/169]: count 265, average 662, total 175612


@q4[ksoftirqd/169]: count 2921, average 962, total 2811894
@q4[openssl]: count 40968, average 963, total 39458511

@q5[openssl]: count 321446, average 429, total 138197452
@q5[ksoftirqd/169]: count 22455, average 431, total 9694354

@uc: count 2143, average 5331, total 11426475

@q1[openssl]: count 993, average 2536, total 2518773
@q1[ksoftirqd/169]: count 233, average 2689, total 626678

@q2[openssl]: count 1556, average 639, total 995628
@q2[ksoftirqd/169]: count 293, average 659, total 193100


@q4[openssl]: count 40704, average 963, total 39204245
@q4[ksoftirqd/169]: count 3398, average 980, total 3330945
@q4[kworker/169:1]: count 11, average 4349, total 47841

@q5[openssl]: count 319117, average 429, total 137171759
@q5[ksoftirqd/169]: count 26136, average 430, total 11258982
